Unnamed: 0,system,snr,iinit,TE,TEinf,expr_model,method,data_version,exp_version,benchmark,duration,dM
0,shearflow,inf,0,0.0001347473421583,0.0001347473421583,"[['1.000 cos(x) * cot(y)', '0.100 sin(x) + 0.900 cos^2(y) * sin(x)']]",sindy,allonger,e2,strogatz,0.0467543601989746,7
1,shearflow,30.0,0,57.10466976203168,57.37916841216357,"[['-0.041 cos(y)/(x) + -0.062 cos^2(x) * sin(y) + 0.985 cos(x) * cot(y)', '0.005 y/x + 0.111 sin(x) + -0.044 cos(x) + 0.004 cos(y)/(x) + 0.888 cos^2(y) * sin(x)']]",sindy,allonger,e2,strogatz,5.93982458114624,12
2,shearflow,13.0,0,25.887081329271,30.0814021209299,"[['-12.716 1 + -0.654 x^3 + -0.530 y^3 + -2.765 x/y + -1.934 y/x + -1.293 x^2*y + 0.141 y^2*x + 0.501 sin(x) + -5.590 sin(y) + 3.927 cos(x) + 6.761 cos(y) + 0.003 tan(x) + 0.016 tan(y) + -1.997 cot(x) + 0.182 cot(y) + 1.677 sin(y)/(x) + 0.239 cos(x)/(y) + 3.014 sin(x)/(y) + -4.151 cos^2(x) * sin(y) + -2.612 cos^2(y) * sin(x) + 0.193 sin(x) * cot(y) + -0.089 cos(x) * cot(y) + 2.287 cos(y) * cot(x)', '3.344 1 + 1.651 x^2 + -0.727 x^3 + 0.221 y^3 + 31.672 x*y + -0.119 x/y + 0.005 x^2*y + 10.130 y^2*x + 4.379 sin(x) + 2.920 sin(y) + -2.737 cos(y) + -0.002 tan(x) + -0.012 tan(y) + -0.505 cot(x) + -53.755 sin(y)/(x) + 0.651 cos(x)/(y) + 3.245 sin^2(y) * sin(x) + 3.717 sin^2(x) * sin(y) + -0.007 sin(x) * cot(y) + 52.969 sin(y) * cot(x) + -0.231 cos(x) * cot(y) + -0.057 cos(y) * cot(x)']]",sindy,allonger,e2,strogatz,9.49128007888794,47
3,shearflow,inf,1,2.3455296438133533e-05,2.3455296438133533e-05,"[['0.030 x + 0.014 x^2 + 0.002 x^3 + -0.010 sin(x) + 0.001 cot(x) + -0.006 sin^2(x) * sin(y) + -0.004 cos^2(y) * sin(x) + -0.001 sin(y) * cot(x) + 1.000 cos(x) * cot(y)', '0.013 x + 0.006 x^2 + 0.001 x^3 + 0.994 sin(x) + 0.001 cot(x) + -0.901 sin^2(x) * sin(y) + -0.002 sin(y) * cot(x)']]",sindy,allonger,e2,strogatz,9.03484582901001,22
4,shearflow,30.0,1,8.456448269446781,8.506566283992267,"[['20107.907 1 + 1438.795 x + 7401.329 y + 229.496 x^2 + -18356.595 y^2 + -0.576 x^3 + 3876.547 y^3 + -91.315 x*y + -366.915 y/x + -14.957 x^2*y + 49.727 sin(x) + -707.293 cos(x) + -22168.005 cos(y) + 0.184 tan(x) + 695.526 cot(y) + -380.688 cos(y)/(x) + 494.053 sin(y)/(x) + 93.245 cos(x)/(y) + -83.174 sin(x)/(y) + -5.418 sin^2(x) * sin(y) + -129.779 cos^2(x) * sin(y) + 55.144 cos^2(y) * sin(x) + 31.688 sin(x) * cot(y) + -0.017 sin(y) * cot(x) + -67.724 cos(x) * cot(y) + 0.030 cos(y) * cot(x)', '-1099.158 1 + 5332.844 x + -3186.619 y + 1315.521 x^2 + 6897.127 y^2 + 88.811 x^3 + -1416.722 y^3 + 703.160 y/x + -297.573 sin(x) + -1358.878 cos(x) + 8231.079 cos(y) + -0.211 tan(x) + -263.237 cot(y) + 639.517 cos(y)/(x) + 441.716 sin(y)/(x) + 263.673 cos(x)/(y) + 581.099 sin^2(y) * sin(x) + -164.741 sin^2(x) * sin(y) + 395.981 cos^2(x) * sin(y) + -132.832 cos^2(y) * sin(x) + 9.746 sin(x) * cot(y) + -115.208 cos(x) * cot(y) + -0.009 cos(y) * cot(x)']]",sindy,allonger,e2,strogatz,8.794484853744507,51
5,shearflow,13.0,1,2356.200577113392,3118.127331345242,"[['2568.003 1 + 455.223 y + -1927.132 y^2 + -0.089 x^3 + 402.102 y^3 + 5.529 x/y + 2.792 y/x + 0.085 x^2*y + -20.009 sin(x) + -80.234 sin(y) + 0.277 cos(x) + -2621.763 cos(y) + 0.006 tan(x) + 0.004 tan(y) + -0.084 cot(x) + 7.091 cot(y) + 19.137 cos(y)/(x) + -3.786 cos(x)/(y) + 31.120 sin(x)/(y) + 0.235 sin^2(y) * sin(x) + -18.452 cos^2(y) * sin(x) + -7.766 sin(x) * cot(y) + 0.100 sin(y) * cot(x) + 5.292 cos(x) * cot(y) + -0.016 cos(y) * cot(x)', '0.012 x^3 + 0.135 y^3 + 1.577 x/y + 1.144 y/x + -0.227 y^2*x + 7.351 sin(x) + 1.488 cos(x) + 5.211 cos(y) + 0.005 tan(x) + -0.003 tan(y) + -0.050 cot(x) + 4.685 cot(y) + 8.148 cos(y)/(x) + -4.968 cos(x)/(y) + -11.415 sin(x)/(y) + 3.270 sin^2(y) * sin(x) + -0.914 cos^2(x) * sin(y) + 10.419 cos^2(y) * sin(x) + 5.061 sin(x) * cot(y) + 0.059 sin(y) * cot(x) + 5.189 cos(x) * cot(y) + -0.009 cos(y) * cot(x)']]",sindy,allonger,e2,strogatz,8.880496501922607,49
6,shearflow,inf,2,0.0001471408032223,0.0001471408032223,"[['1.000 cos(x) * cot(y)', '0.100 sin(x) + 0.900 cos^2(y) * sin(x)']]",sindy,allonger,e2,strogatz,0.3017406463623047,7
7,shearflow,30.0,2,4.112849334406597,4.122268752385278,"[['-0.013 y^3 + 0.006 y/x + 0.023 x^2*y + -1.951 cos(y) + -0.015 cot(x) + -1.515 cot(y) + 0.021 sin(x) * cot(y) + 2.050 cos(x) * cot(y)', '0.030 x^3 + -0.013 y/x + 0.063 cos(x) + 0.055 cos(y) + 0.002 tan(y) + 0.997 cos^2(y) * sin(x) + -0.047 sin(x) * cot(y)']]",sindy,allonger,e2,strogatz,2.260648250579834,21
8,shearflow,13.0,2,22.81805267650628,25.876413343673487,"[['1.794 y + 1.572 x^2 + 0.838 x^3 + 6.108 x*y + -0.041 x/y + -0.426 y/x + 0.861 y^2*x + 3.359 cos(x) + -4.537 cos(y) + -0.002 tan(x) + -0.001 tan(y) + -0.253 cot(x) + 0.154 cot(y) + -10.138 cos(y)/(x) + 0.690 sin(y)/(x) + -0.300 cos(x)/(y) + 0.127 sin(x)/(y) + 1.752 sin^2(y) * sin(x) + 8.863 sin^2(x) * sin(y) + -2.598 cos^2(x) * sin(y) + 5.377 cos^2(y) * sin(x) + -0.198 sin(x) * cot(y) + 11.084 cos(y) * cot(x)', '0.677 x^2 + 0.150 y^2 + 1.441 x^3 + 3.951 x*y + 0.673 x/y + -1.212 y/x + 0.688 x^2*y + 0.919 y^2*x + -0.617 sin(y) + -1.594 cos(x) + -0.903 cos(y) + -0.001 tan(x) + -1.778 cot(x) + 0.165 cot(y) + -3.182 cos(y)/(x) + -0.264 cos(x)/(y) + -0.642 sin(x)/(y) + -0.211 sin^2(y) * sin(x) + -1.980 cos^2(y) * sin(x) + -0.209 sin(x) * cot(y) + -1.021 sin(y) * cot(x) + 5.503 cos(y) * cot(x)']]",sindy,allonger,e2,strogatz,4.149128437042236,48
9,shearflow,inf,3,23.223714883661074,23.223714883661074,"[['-7716.141 1 + 2586.352 x + 7182.488 y + -1199.924 x^2 + -672.483 y^2 + -51.353 x^3 + -6778.524 y^3 + 7668.176 x*y + -7108.651 x/y + 4275.165 y/x + -1621.170 x^2*y + -558.528 y^2*x + 38.848 sin(x) + -1126.019 sin(y) + -3952.313 cos(y) + -13.437 tan(x) + -22614.502 cot(y) + 5229.881 cos(y)/(x) + -5915.161 sin(y)/(x) + 4230.098 cos(x)/(y) + -1493.358 sin(x)/(y) + -3004.807 sin^2(y) * sin(x) + -278.693 sin^2(x) * sin(y) + 1878.825 cos^2(x) * sin(y) + 317.537 cos^2(y) * sin(x) + -568.618 sin(x) * cot(y) + -5262.655 cos(x) * cot(y)', '12793.018 1 + -2247.737 x + 11764.309 y + 302.242 x^2 + 3742.858 y^2 + 759.936 y^3 + -2087.487 x*y + 737.969 x/y + 75.400 y/x + 188.642 x^2*y + -303.918 y^2*x + -226.480 sin(x) + 4.539 tan(x) + 3047.234 cot(y) + -1176.870 cos(y)/(x) + -52.458 sin(x)/(y) + 172.019 sin^2(y) * sin(x) + 54.456 sin^2(x) * sin(y) + -280.914 cos^2(y) * sin(x) + 158.432 sin(x) * cot(y) + 413.510 cos(x) * cot(y)']]",sindy,allonger,e2,strogatz,8.734819173812866,51
