  index    complexity    length        TE    TE_inf  expr_x                                                                                       expr_y                                   index_column  method    data_version    system      snr    init
    174            50       216  0.172239  0.172239  0.143*x2*(x1*(x2*(x2 - 7.963) - 1.541 + (7.739 - 7.543*x1**2)/x2) + x1 - 19.697) - 0.143*x2  -x1*x2*(-x1 + x2)*(x1**3 - x1) + 3*x1             174  dso       all             stl         inf       0
    175            49       211  0.257379  0.257379  0.143*x2*(x1*(x2*(x2 - 7.963) - 1.541 + (7.739 - 7.543*x1**2)/x2) + x1 - 19.697) - 0.143*x2  -x1**3*x2**2*(x1**3 - x1) + 3*x1                  175  dso       all             stl         inf       0
    173            43       204  0.397771  0.397771  0.143*x2*(x1*(x2*(x2 - 7.963) - 1.541 + (7.739 - 7.543*x1**2)/x2) + x1 - 19.697) - 0.143*x2  x1*(x1**2 + x2**2) + 2*x1                         173  dso       all             stl         inf       0
     30            28        68  0.504408  0.504408  x2*(-x1*x2 - 2.961)                                                                          -x1*x2*(-x1 + x2)*(x1**3 - x1) + 3*x1              30  dso       all             stl         inf       0
     31            27        63  0.546097  0.546097  x2*(-x1*x2 - 2.961)                                                                          -x1**3*x2**2*(x1**3 - x1) + 3*x1                   31  dso       all             stl         inf       0
     40            17        66  0.894645  0.894645  x2*(-0.842*x1*x2 - 2.892)                                                                    x1*x2**2 + 3*x1                                    40  dso       all             stl         inf       0
     27            15        43  1.05337   1.05337   x2*(-x1*x2 - 2.961)                                                                          x1*x2 + 3*x1                                       27  dso       all             stl         inf       0
     25            11        35  1.46136   1.46136   x2*(-x1*x2 - 2.961)                                                                          3*x1                                               25  dso       all             stl         inf       0
      2            10        31  1.73936   1.73936   -2.521*x2                                                                                    3*x1 - x2                                           2  dso       all             stl         inf       0
      1             6        26  5.00719   5.00719   -2.521*x2                                                                                    3*x1                                                1  dso       all             stl         inf       0
