  index    complexity    length        TE    TE_inf  expr_x                                                                                                    expr_y                             index_column  method    data_version    system      snr    init
    327            46       283  0.501853  0.252529  -1.856*x1**2/(-x1 - x2*(x2 + 4.808)*(x1 - 2*x2 + 0.441)*(x1 - 0.162*x2 - 0.185) + 9.45) - 2.911*x2 + 0.1  x1*(3.434 + 0.312/(x1 - 1.372))             327  dso       allonger        stl          13       1
    106            22       128  0.661491  0.505688  -2.833*x2*(x1 + 0.993)/(x1 + 0.995)                                                                       x1*(x1*(-x1 - 0.043) + 3.727)               106  dso       allonger        stl          13       1
     46            17       103  0.676906  0.527191  0.117*x2*(x2 - 24.3)                                                                                      x1*(x1*(-x1 - 0.043) + 3.727)                46  dso       allonger        stl          13       1
     26            16        97  0.691766  0.547087  0.025 - 2.846*x2                                                                                          x1*(x1*(-x1 - 0.043) + 3.727)                26  dso       allonger        stl          13       1
      6            14        77  0.728526  0.594576  -2.839*x2                                                                                                 x1*(x1*(-x1 - 0.043) + 3.727)                 6  dso       allonger        stl          13       1
      5            12        71  2.56021   2.58896   -2.839*x2                                                                                                 x1*(2.844 + 0.002/x2)                         5  dso       allonger        stl          13       1
      4            11        70  2.60054   2.63645   -2.839*x2                                                                                                 0.219*x1*(12.988 - x2)                        4  dso       allonger        stl          13       1
     22            10        82  2.6105    2.64732   0.025 - 2.846*x2                                                                                          2.845*x1 - 0.023                             22  dso       allonger        stl          13       1
     41             9        68  2.61298   2.64996   0.117*x2*(x2 - 24.3)                                                                                      2.843*x1                                     41  dso       allonger        stl          13       1
     21             8        62  2.6136    2.6505    0.025 - 2.846*x2                                                                                          2.843*x1                                     21  dso       allonger        stl          13       1
      1             6        42  2.63187   2.6692    -2.839*x2                                                                                                 2.843*x1                                      1  dso       allonger        stl          13       1
