  index    complexity    length        TE    TE_inf  expr_x                                                                                              expr_y                                                                                                                             index_column  method    data_version    system      snr    init
    332            74       472  0.266728  0.259647  x2*((0.488 - x1)*(0.983*x1*x2*(x2 + 0.71)*(x2 + 1.811)*(x1*(x2 - 0.363) + 0.168) - 0.088) - 2.968)  (1.328 - 0.022*x1)*(x1*(x1 + 2.246) - x2*(-0.002*x1 - x2 + 0.002*x2/(-x2*(x1*(1.887*x1 - x2) + 0.156) + 1.34) - 0.005) - 0.983)             332  dso       allonger        stl          30       2
    227            68       399  0.310619  0.303898  0.217*x2*(-x1**2*x2*(x1**2*x2*(x2 + 1.75) - 3.679) - 13.728) - 0.104                                (1.328 - 0.022*x1)*(x1*(x1 + 2.246) - x2*(-0.002*x1 - x2 + 0.002*x2/(-x2*(x1*(1.887*x1 - x2) + 0.156) + 1.34) - 0.005) - 0.983)             227  dso       allonger        stl          30       2
    185            65       384  0.420245  0.414443  -2.882*x2 - 6.764*x2/(0.703 + (5.328*x1 + 12.331)/x1**2)                                            (1.328 - 0.022*x1)*(x1*(x1 + 2.246) - x2*(-0.002*x1 - x2 + 0.002*x2/(-x2*(x1*(1.887*x1 - x2) + 0.156) + 1.34) - 0.005) - 0.983)             185  dso       allonger        stl          30       2
    237            36       206  0.619     0.614493  x2*(-x1**2*x2*(x2 - 0.638)*(x2 + 0.684)*(x1*(x2 + 1.628) + x2 + 0.83) - 2.97)                       x1*(x1*x2*(-0.153*x1 + x2) + 2.941)                                                                                                         237  dso       allonger        stl          30       2
    153            30       163  0.66797   0.664926  x2*(-x1*x2*(1.192*x1**2*(x2 + 1.936) - 0.441) - 3.028)                                              x1*(x1*x2*(-0.153*x1 + x2) + 2.941)                                                                                                         153  dso       allonger        stl          30       2
    152            29       173  0.829277  0.827699  x2*(-x1*x2*(1.192*x1**2*(x2 + 1.936) - 0.441) - 3.028)                                              x1*(x2*(0.267 - 0.858*x1) + 2.948)                                                                                                          152  dso       allonger        stl          30       2
    150            26       133  0.838007  0.836737  x2*(-x1*x2*(1.192*x1**2*(x2 + 1.936) - 0.441) - 3.028)                                              x1*(-x1*x2 + 2.97)                                                                                                                          150  dso       allonger        stl          30       2
     46            17        81  1.03036   1.0298    x2*(-x1**2 - 3.028)                                                                                 x1*(-0.923*x1*x2 + 2.935)                                                                                                                    46  dso       allonger        stl          30       2
     25            13        78  1.64055   1.64031   x2*(x1 - 3.413)                                                                                     x1*(-0.923*x1*x2 + 2.935)                                                                                                                    25  dso       allonger        stl          30       2
      4            11        72  2.58802   2.58773   -3.489*x2                                                                                           x1*(-0.923*x1*x2 + 2.935)                                                                                                                     4  dso       allonger        stl          30       2
      0             6        43  7.45808   7.45185   -3.489*x2                                                                                           2.523*x1                                                                                                                                      0  dso       allonger        stl          30       2
