  complexity    length        TE    TE_inf  expr_x                                                  expr_y                               index_column  method    exp_type    data_version    system      snr    init
          10        15  1.58616   1.58582   -0.305*x - 2.552*y                                      3.287*x                                         0  proged    numdif      all             stl          30       0
          14        22  1.45429   1.45224   -0.305*x - 2.552*y                                      3.233*x - 0.527*y                               1  proged    numdif      all             stl          30       0
           8        13  3.71075   3.71105   0.169 - 2.515*y                                         3.287*x                                         2  proged    numdif      all             stl          30       0
          12        20  1.57364   1.57314   0.169 - 2.515*y                                         3.233*x - 0.527*y                               3  proged    numdif      all             stl          30       0
           6         8  3.79935   3.79957   -2.521*y                                                3.287*x                                         4  proged    numdif      all             stl          30       0
          28        49  0.350927  0.337962  -0.171*x*y**2/(x + 1.417) - 2.953*y                     0.505*x**5*y**2 + 2.938*x + 0.003               5  proged    numdif      all             stl          30       0
          15        23  0.774184  0.768053  -0.61*x**3*y**2 - 2.936*y                               3.287*x                                         6  proged    numdif      all             stl          30       0
          17        28  0.75421   0.747657  -0.61*x**3*y**2 - 2.936*y                               3.277*x - 0.127                                 7  proged    numdif      all             stl          30       0
          20        32  0.602993  0.604993  -0.61*x**3*y**2 - 2.936*y                               1.44*x*y + 3.157*x                              8  proged    numdif      all             stl          30       0
          22        35  0.471306  0.4561    -0.61*x**3*y**2 - 2.936*y                               1.12*x*y**2 + 2.76*x                            9  proged    numdif      all             stl          30       0
          25        43  0.447522  0.433182  -0.61*x**3*y**2 - 2.936*y                               0.505*x**5*y**2 + 2.938*x + 0.003              10  proged    numdif      all             stl          30       0
          27        51  0.405115  0.405741  -0.999*x**3 - 0.814*x*y**2 + 0.946*x - 2.954*y + 0.012  1.44*x*y + 3.157*x                             11  proged    numdif      all             stl          30       0
          29        54  0.257179  0.255517  -0.999*x**3 - 0.814*x*y**2 + 0.946*x - 2.954*y + 0.012  1.12*x*y**2 + 2.76*x                           12  proged    numdif      all             stl          30       0
          16        28  0.765984  0.759942  -0.603*x**3*y**2 - 2.93*y + 0.049                       3.287*x                                        13  proged    numdif      all             stl          30       0
          18        33  0.746484  0.739963  -0.603*x**3*y**2 - 2.93*y + 0.049                       3.277*x - 0.127                                14  proged    numdif      all             stl          30       0
          21        37  0.548869  0.549242  -0.603*x**3*y**2 - 2.93*y + 0.049                       1.44*x*y + 3.157*x                             15  proged    numdif      all             stl          30       0
          23        40  0.46242   0.447249  -0.603*x**3*y**2 - 2.93*y + 0.049                       1.12*x*y**2 + 2.76*x                           16  proged    numdif      all             stl          30       0
          26        48  0.439374  0.425278  -0.603*x**3*y**2 - 2.93*y + 0.049                       0.505*x**5*y**2 + 2.938*x + 0.003              17  proged    numdif      all             stl          30       0
