	complexity	length	TE	TE_inf	expr_x	expr_y	index_column	method	exp_type	data_version	system	snr	init
0	10	15	1.586155120834345	1.5858249127970068	-0.305*x - 2.552*y	3.287*x	0	proged	numdif	all	stl	30	0
1	14	22	1.4542877346418375	1.4522406222778734	-0.305*x - 2.552*y	3.233*x - 0.527*y	1	proged	numdif	all	stl	30	0
2	8	13	3.710754777555524	3.711052237540902	0.169 - 2.515*y	3.287*x	2	proged	numdif	all	stl	30	0
3	12	20	1.573640897421575	1.5731417478871117	0.169 - 2.515*y	3.233*x - 0.527*y	3	proged	numdif	all	stl	30	0
4	6	8	3.7993478040647775	3.799572365166361	-2.521*y	3.287*x	4	proged	numdif	all	stl	30	0
5	28	49	0.350926687241648	0.3379621218338529	-0.171*x*y**2/(x + 1.417) - 2.953*y	0.505*x**5*y**2 + 2.938*x + 0.003	5	proged	numdif	all	stl	30	0
6	15	23	0.7741836973541932	0.7680531676735745	-0.61*x**3*y**2 - 2.936*y	3.287*x	6	proged	numdif	all	stl	30	0
7	17	28	0.7542104934963518	0.7476566534504412	-0.61*x**3*y**2 - 2.936*y	3.277*x - 0.127	7	proged	numdif	all	stl	30	0
8	20	32	0.6029929445275756	0.6049928671998244	-0.61*x**3*y**2 - 2.936*y	1.44*x*y + 3.157*x	8	proged	numdif	all	stl	30	0
9	22	35	0.47130598682790964	0.45609986035688266	-0.61*x**3*y**2 - 2.936*y	1.12*x*y**2 + 2.76*x	9	proged	numdif	all	stl	30	0
10	25	43	0.4475224684987157	0.43318210044069005	-0.61*x**3*y**2 - 2.936*y	0.505*x**5*y**2 + 2.938*x + 0.003	10	proged	numdif	all	stl	30	0
11	27	51	0.40511545964367335	0.4057407774184198	-0.999*x**3 - 0.814*x*y**2 + 0.946*x - 2.954*y + 0.012	1.44*x*y + 3.157*x	11	proged	numdif	all	stl	30	0
12	29	54	0.25717865689434005	0.25551719801009287	-0.999*x**3 - 0.814*x*y**2 + 0.946*x - 2.954*y + 0.012	1.12*x*y**2 + 2.76*x	12	proged	numdif	all	stl	30	0
13	16	28	0.7659838958083667	0.759942279000541	-0.603*x**3*y**2 - 2.93*y + 0.049	3.287*x	13	proged	numdif	all	stl	30	0
14	18	33	0.7464836656357885	0.7399630686777681	-0.603*x**3*y**2 - 2.93*y + 0.049	3.277*x - 0.127	14	proged	numdif	all	stl	30	0
15	21	37	0.5488689122353496	0.5492423711090275	-0.603*x**3*y**2 - 2.93*y + 0.049	1.44*x*y + 3.157*x	15	proged	numdif	all	stl	30	0
16	23	40	0.4624197075525488	0.44724895286271094	-0.603*x**3*y**2 - 2.93*y + 0.049	1.12*x*y**2 + 2.76*x	16	proged	numdif	all	stl	30	0
17	26	48	0.4393744331832616	0.42527830962018454	-0.603*x**3*y**2 - 2.93*y + 0.049	0.505*x**5*y**2 + 2.938*x + 0.003	17	proged	numdif	all	stl	30	0
