  complexity    length         TE     TE_inf  expr_x                                          expr_y                                                                                             index_column  method    exp_type    data_version    system      snr    init
           8        13  3.51552    3.51552    0.061 - 2.86*y                                  3.137*x                                                                                                       0  proged    numdif      allonger        stl         inf       0
          12        20  1.34258    1.34258    0.061 - 2.86*y                                  3.13*x - 0.218*y                                                                                              1  proged    numdif      allonger        stl         inf       0
           6         8  3.55229    3.55229    -2.862*y                                        3.137*x                                                                                                       2  proged    numdif      allonger        stl         inf       0
          10        15  1.35348    1.35348    -2.862*y                                        3.13*x - 0.218*y                                                                                              3  proged    numdif      allonger        stl         inf       0
          26        46  0.3261     0.3261     -0.211*x*y**2/(x + 1.427) - 3.0*y - 0.008       0.827*x*y**3 + 3.027*x                                                                                        4  proged    numdif      allonger        stl         inf       0
          27        44  0.272021   0.272021   -0.21*x*y**2/(x + 1.427) - 3.0*y                0.579*x**3*y**3 + 3.011*x                                                                                     5  proged    numdif      allonger        stl         inf       0
          25        41  0.330066   0.330066   -0.21*x*y**2/(x + 1.427) - 3.0*y                0.827*x*y**3 + 3.027*x                                                                                        6  proged    numdif      allonger        stl         inf       0
          15        23  0.864855   0.864855   -0.742*x**3*y**2 - 2.991*y                      3.137*x                                                                                                       7  proged    numdif      allonger        stl         inf       0
          17        28  0.852112   0.852112   -0.742*x**3*y**2 - 2.991*y                      3.133*x - 0.048                                                                                               8  proged    numdif      allonger        stl         inf       0
          20        32  0.610496   0.610496   -0.742*x**3*y**2 - 2.991*y                      0.806*x*y + 3.107*x                                                                                           9  proged    numdif      allonger        stl         inf       0
          24        38  0.377912   0.377912   -0.742*x**3*y**2 - 2.991*y                      0.579*x**3*y**3 + 3.011*x                                                                                    10  proged    numdif      allonger        stl         inf       0
          22        35  0.3936     0.3936     -0.742*x**3*y**2 - 2.991*y                      0.827*x*y**3 + 3.027*x                                                                                       11  proged    numdif      allonger        stl         inf       0
          30        59  0.170191   0.170191   -0.997*x**3 - 0.992*x*y**2 + 0.996*x - 2.999*y  0.827*x*y**3 + 3.027*x - 0.004                                                                               12  proged    numdif      allonger        stl         inf       0
          31        57  0.0726199  0.0726199  -0.997*x**3 - 0.992*x*y**2 + 0.996*x - 2.999*y  0.579*x**3*y**3 + 3.011*x                                                                                    13  proged    numdif      allonger        stl         inf       0
          35        69  0.0496505  0.0496505  -0.997*x**3 - 0.992*x*y**2 + 0.996*x - 2.999*y  -0.472*x**4*y**3 + 3.007*x + 0.002*y + 0.001                                                                 14  proged    numdif      allonger        stl         inf       0
          29        54  0.173589   0.173589   -0.997*x**3 - 0.992*x*y**2 + 0.996*x - 2.999*y  0.827*x*y**3 + 3.027*x                                                                                       15  proged    numdif      allonger        stl         inf       0
          60       114  0.0447132  0.0447132  -0.997*x**3 - 0.992*x*y**2 + 0.996*x - 2.999*y  -0.37*x**3*y**3/((x + 1.442)*(y - 5.0)) - 0.229*x**3*y/(x - 5.0) + 2.998*x - 0.01*y/(y - 2.606)              16  proged    numdif      allonger        stl         inf       0
          16        28  0.861807   0.861807   -0.739*x**3*y**2 - 2.99*y + 0.016               3.137*x                                                                                                      17  proged    numdif      allonger        stl         inf       0
          18        33  0.849131   0.849131   -0.739*x**3*y**2 - 2.99*y + 0.016               3.133*x - 0.048                                                                                              18  proged    numdif      allonger        stl         inf       0
          23        40  0.391663   0.391663   -0.739*x**3*y**2 - 2.99*y + 0.016               0.827*x*y**3 + 3.027*x                                                                                       19  proged    numdif      allonger        stl         inf       0
