	complexity	length	TE	TE_inf	expr_x	expr_y	index_column	method	exp_type	data_version	system	snr	init
0	14	22	0.07507528283109406	0.07507528283109406	-0.003*x - 2.998*y	3.001*x - 0.004*y	0	proged	numdif	allonger	stl	inf	1
1	21	37	0.05618166806843513	0.05618166806843513	-0.003*x - 2.998*y	3.001*x	1	proged	numdif	allonger	stl	inf	1
2	8	13	0.14027053997095593	0.14027053997095593	-2.998*y - 0.002	3.001*x	2	proged	numdif	allonger	stl	inf	1
3	12	20	0.0992153282561438	0.0992153282561438	-2.998*y - 0.002	3.001*x - 0.004*y	3	proged	numdif	allonger	stl	inf	1
4	19	35	0.06665661525262234	0.06665661525262234	-2.998*y - 0.002	3.001*x	4	proged	numdif	allonger	stl	inf	1
5	15	27	0.07480380674276194	0.07480380674276194	-0.003*x - 2.998*y - 0.002	3.001*x - 0.004*y	5	proged	numdif	allonger	stl	inf	1
6	6	8	0.14143527007072992	0.14143527007072992	-2.998*y	3.001*x	6	proged	numdif	allonger	stl	inf	1
7	10	15	0.10032276053372938	0.10032276053372938	-2.998*y	3.001*x - 0.004*y	7	proged	numdif	allonger	stl	inf	1
8	11	20	0.10027267283573117	0.10027267283573117	-2.998*y	3.001*x - 0.004*y + 0.001	8	proged	numdif	allonger	stl	inf	1
9	13	23	0.09592577293336715	0.09592577293336715	-2.998*y	3.001*x - 0.006*y**3 + 0.001	9	proged	numdif	allonger	stl	inf	1
10	17	30	0.06768546441769732	0.06768546441769732	-2.998*y	3.001*x	10	proged	numdif	allonger	stl	inf	1
11	22	42	0.03445471176884567	0.03445471176884567	-1.0*x**3 - 1.0*x*y**2 + 1.0*x - 3.0*y	3.001*x	11	proged	numdif	allonger	stl	inf	1
12	26	49	0.028150756425632136	0.028150756425632136	-1.0*x**3 - 1.0*x*y**2 + 1.0*x - 3.0*y	3.001*x - 0.004*y	12	proged	numdif	allonger	stl	inf	1
13	27	54	0.0281025320697795	0.0281025320697795	-1.0*x**3 - 1.0*x*y**2 + 1.0*x - 3.0*y	3.001*x - 0.004*y + 0.001	13	proged	numdif	allonger	stl	inf	1
14	29	57	0.027135882693680724	0.027135882693680724	-1.0*x**3 - 1.0*x*y**2 + 1.0*x - 3.0*y	3.001*x - 0.006*y**3 + 0.001	14	proged	numdif	allonger	stl	inf	1
15	33	64	0.02494953283663108	0.02494953283663108	-1.0*x**3 - 1.0*x*y**2 + 1.0*x - 3.0*y	3.001*x	15	proged	numdif	allonger	stl	inf	1
16	37	74	0.022021982517190144	0.022021982517190144	-1.0*x**3 - 1.0*x*y**2 + 1.0*x - 3.0*y	0.706*x**2 + 2.998*x + 0.708*y**2 - 0.002*y - 0.708	16	proged	numdif	allonger	stl	inf	1
17	41	83	0.021170390337273345	0.021170390337273345	-1.0*x**3 - 1.0*x*y**2 + 1.0*x - 3.0*y	0.701*x**2 - 0.002*x*y + 2.998*x + 0.703*y**2 - 0.002*y - 0.703	17	proged	numdif	allonger	stl	inf	1
18	50	99	0.018625015970733433	0.018625015970733433	-1.0*x**3 - 1.0*x*y**2 + 1.0*x - 3.0*y	0.633*x**2 + 3.057*x + 0.204*x/(x - 3.72) + 0.616*y**2 - 0.e-3*y/(y + 1.076) - 0.619	18	proged	numdif	allonger	stl	inf	1
