  index    complexity    length          TE      TE_inf  expr_x                                                                                                                        expr_y                                   index_column  method    data_version    system      snr    init
    265            57       270  0.00163133  0.00163133  30.35923943876742*(x2 + 303.907/(x1*x2/(x1 - 16.977) - x1 - 7.7))/(x1 + x2 - 19.578) - 32.585                                 9.998 - 1.988*x2*cos(18.522/x1**2)/x1             265  dso       all             bacres      inf       0
    259            53       267  0.00163561  0.00163561  30.35923943876742*(x2 + 303.907/(x1*x2/(x1 - 16.977) - x1 - 7.7))/(x1 + x2 - 19.578) - 32.585                                 -2.032*x2/(x1 + 0.356) + 10.005                   259  dso       all             bacres      inf       0
    236            50       281  0.00261675  0.00261675  7.957*sin((4.141*x1*x2/(x1 - 44.566 + (-0.36*x1*x2 + 26.341*x1 + 26.341*x2 - 93.978)/x1) - 4.141*x1 + 4.141*x2 - 30.012)/x2)  -2.032*x2/(x1 + 0.356) + 10.005                   236  dso       all             bacres      inf       0
    235            48       256  0.00542885  0.00542885  7.957*sin((4.141*x1*x2/(x1 - 44.566 + (-0.36*x1*x2 + 26.341*x1 + 26.341*x2 - 93.978)/x1) - 4.141*x1 + 4.141*x2 - 30.012)/x2)  9.973 - 1.968*x2/x1                               235  dso       all             bacres      inf       0
    188            32       155  0.00931975  0.00931975  -x1*sin((-0.02*x1 - 6.459*x1/(x2 - 9.607) + 0.02*x2 + 4.455)/x2)                                                              9.973 - 1.968*x2/x1                               188  dso       all             bacres      inf       0
    143            23       137  0.0331051   0.0331051   22.382*x1*(-0.35 + 10.89/(x2 + 0.059))/x2                                                                                     9.973 - 1.968*x2/x1                               143  dso       all             bacres      inf       0
    120            20       114  0.27953     0.27953     -1.326 + 18.239/(-x1 + x2 - 1.538)                                                                                            9.973 - 1.968*x2/x1                               120  dso       all             bacres      inf       0
     95            14        90  0.430508    0.430508    -3.821 + 139.261/x2                                                                                                           8.392 - 0.002*x2**2                                95  dso       all             bacres      inf       0
     94            12        86  0.454762    0.454762    -3.821 + 139.261/x2                                                                                                           10.963 - 0.17*x2                                   94  dso       all             bacres      inf       0
     48            10        84  1.05992     1.05992     5.467 - 0.131*x2                                                                                                              10.963 - 0.17*x2                                   48  dso       all             bacres      inf       0
     46             8        63  2.65842     2.65842     5.467 - 0.131*x2                                                                                                              x1 - 9.755                                         46  dso       all             bacres      inf       0
      0             6        46  5.96955     5.96955     -0.006*x2                                                                                                                     x1 - 9.755                                          0  dso       all             bacres      inf       0
