  index    complexity    length          TE      TE_inf  expr_x                                                                                           expr_y                                             index_column  method    data_version    system      snr    init
    330            47       282  0.00181253  0.00181253  (0.355*x1 + 114.688)*(-174.014*x1 - x2 + (21.814*x1 + 15.849)/x1)/(60.946*x1 - 8.923) + 348.013  9.994 - 2.005*x2*(x1 - 2.916)/(x1*(x1 - 2.762))             330  dso       all             bacres      inf       1
    307            44       287  0.00382867  0.00382867  (1.901*x1 + 25.679)*(x1*(0.001*x1 - 0.155) + 2.665*x1/x2 + 1.464)/(x2 - 8.339) - 1.18            9.994 - 2.005*x2*(x1 - 2.916)/(x1*(x1 - 2.762))             307  dso       all             bacres      inf       1
    284            36       235  0.00401881  0.00401881  0.134 + (-5.828 + 13.471/(0.074*x2 - 0.132))*(x1 + 9.237)/x2                                     9.994 - 2.005*x2*(x1 - 2.916)/(x1*(x1 - 2.762))             284  dso       all             bacres      inf       1
    212            31       193  0.00968571  0.00968571  (0.021*x1 + 1.711)*(-43.908*x1 - x2 + 1)/(x1 + 0.026) + 93.931                                   -2.117*x2/(x1 + 0.887) + 10.019                             212  dso       all             bacres      inf       1
    189            28       190  0.0116344   0.0116344   (-0.929*x1 - 0.025*x2)*(x1 + 66.569)/(x1 + 0.05) + 80.664                                        -2.117*x2/(x1 + 0.887) + 10.019                             189  dso       all             bacres      inf       1
    188            26       165  0.0188014   0.0188014   (-0.929*x1 - 0.025*x2)*(x1 + 66.569)/(x1 + 0.05) + 80.664                                        9.972 - 1.96*x2/x1                                          188  dso       all             bacres      inf       1
     96            20        97  0.0430565   0.0430565   x1*(-0.299 + 160.217/(x1*x2))                                                                    9.972 - 1.96*x2/x1                                           96  dso       all             bacres      inf       1
     95            18        76  0.11213     0.11213     x1*(-0.299 + 160.217/(x1*x2))                                                                    11.3*x1/x2                                                   95  dso       all             bacres      inf       1
     72            17        90  0.262199    0.262199    -4.068 + (219.367 - 4.503*x1)/x2                                                                 11.3*x1/x2                                                   72  dso       all             bacres      inf       1
     71            16       109  0.309595    0.309595    -4.068 + (219.367 - 4.503*x1)/x2                                                                 9.483 - 0.137*x2                                             71  dso       all             bacres      inf       1
     48            12        84  0.412839    0.412839    -4.958 + 192.167/x2                                                                              9.483 - 0.137*x2                                             48  dso       all             bacres      inf       1
      2            10        65  0.728709    0.728709    14.14 - x1                                                                                       9.483 - 0.137*x2                                              2  dso       all             bacres      inf       1
      0             8        44  1.26478     1.26478     14.14 - x1                                                                                       0.306*x1                                                      0  dso       all             bacres      inf       1
