  index    complexity    length          TE      TE_inf  expr_x                                                                                                 expr_y                                                                                                          index_column  method    data_version    system      snr    init
    333            69       403  0.00129499  0.00129499  -x1*(sin((0.179*x1*(x2/(x1 + 0.009*x2 - 4.408) - 6.809) + 0.179*x1 - 7.14)/x1) + 2.852) + x1 + 16.199  2.137*x2/(-2*x2 + sin((0.425*x2 + 1.823)/(x1 - 3.254)) + 12.653) + 10.512 - (2.137*x2 - 19.336)/(x1 - 0.252)             333  dso       all             bacres      inf       2
    332            62       406  0.00134926  0.00134926  -x1*(sin((0.179*x1*(x2/(x1 + 0.009*x2 - 4.408) - 6.809) + 0.179*x1 - 7.14)/x1) + 2.852) + x1 + 16.199  -2.033*x2*(x2 - 9.771)/((x1 + 0.36)*(x2 - 9.837) + 0.46) + 0.391*sin(x2) - 0.391*cos(x2 - 1.571) + 10.014                332  dso       all             bacres      inf       2
    331            59       347  0.00137329  0.00137329  -x1*(sin((0.179*x1*(x2/(x1 + 0.009*x2 - 4.408) - 6.809) + 0.179*x1 - 7.14)/x1) + 2.852) + x1 + 16.199  x2*(-0.382 + 0.013/(0.963*x1 - 5.188))*(1.006 + (5.123 - x1)/x1) + 10.0                                                  331  dso       all             bacres      inf       2
    330            52       310  0.00138641  0.00138641  -x1*(sin((0.179*x1*(x2/(x1 + 0.009*x2 - 4.408) - 6.809) + 0.179*x1 - 7.14)/x1) + 2.852) + x1 + 16.199  -2.062*x2*(x2 - 5.411)/(x2 + (x1 - 0.504)*(x2 - 6.433)) + 10.133                                                         330  dso       all             bacres      inf       2
    328            48       292  0.00144866  0.00144866  -x1*(sin((0.179*x1*(x2/(x1 + 0.009*x2 - 4.408) - 6.809) + 0.179*x1 - 7.14)/x1) + 2.852) + x1 + 16.199  x2*(0.012 - 7.124/(3.012*x1 + 4.229)) + 9.985                                                                            328  dso       all             bacres      inf       2
    326            44       251  0.00174844  0.00174844  -x1*(sin((0.179*x1*(x2/(x1 + 0.009*x2 - 4.408) - 6.809) + 0.179*x1 - 7.14)/x1) + 2.852) + x1 + 16.199  9.862 + (1.81 - 1.976*x2)/x1                                                                                             326  dso       all             bacres      inf       2
    327            43       253  0.00188507  0.00188507  -x1*(sin((0.179*x1*(x2/(x1 + 0.009*x2 - 4.408) - 6.809) + 0.179*x1 - 7.14)/x1) + 2.852) + x1 + 16.199  -2.057*x2/(x1 + 0.505) + 10.015                                                                                          327  dso       all             bacres      inf       2
    246            40       236  0.00327291  0.00327291  21.255*x2*(cos(0.971/x1) - 1.006 - 17.541/(x2*(2.195 + (x2 + 305.35)/x1))) + 21.416                    9.862 + (1.81 - 1.976*x2)/x1                                                                                             246  dso       all             bacres      inf       2
    247            39       238  0.00347202  0.00347202  21.255*x2*(cos(0.971/x1) - 1.006 - 17.541/(x2*(2.195 + (x2 + 305.35)/x1))) + 21.416                    -2.057*x2/(x1 + 0.505) + 10.015                                                                                          247  dso       all             bacres      inf       2
    206            34       208  0.0043957   0.0043957   3.721*x2*(cos(2.611/x1) - 1.021 + 1450.412/(x2*(x1 + 60.178))) - 66.785                                9.862 + (1.81 - 1.976*x2)/x1                                                                                             206  dso       all             bacres      inf       2
    207            33       210  0.00496028  0.00496028  3.721*x2*(cos(2.611/x1) - 1.021 + 1450.412/(x2*(x1 + 60.178))) - 66.785                                -2.057*x2/(x1 + 0.505) + 10.015                                                                                          207  dso       all             bacres      inf       2
    187            29       183  0.0285605   0.0285605   x1*(8.28*sin(19.277/x2) - 4.059)/(x2 - 8.027) - 0.519                                                  -2.057*x2/(x1 + 0.505) + 10.015                                                                                          187  dso       all             bacres      inf       2
    167            24       159  0.0440241   0.0440241   -0.22*x1 - 0.75 + (0.22*x2 + 130.646)/x2                                                               -2.057*x2/(x1 + 0.505) + 10.015                                                                                          167  dso       all             bacres      inf       2
    165            22       155  0.0505197   0.0505197   -0.22*x1 - 0.75 + (0.22*x2 + 130.646)/x2                                                               0.302*x1 - 0.157*x2 + 6.297                                                                                              165  dso       all             bacres      inf       2
    105            20       118  0.0702505   0.0702505   -0.192*x1 - (x2 - 132.788)/x2                                                                          0.302*x1 - 0.157*x2 + 6.297                                                                                              105  dso       all             bacres      inf       2
    103            17        96  0.200594    0.200594    -0.192*x1 - (x2 - 132.788)/x2                                                                          10.373 - 0.154*x2                                                                                                        103  dso       all             bacres      inf       2
     65            16       113  0.25879     0.25879     -x1 - 0.154*x2 + 20.346                                                                                0.302*x1 - 0.157*x2 + 6.297                                                                                               65  dso       all             bacres      inf       2
     62            13        90  0.274603    0.274603    -x1 - 0.154*x2 + 20.346                                                                                10.373 - 0.154*x2                                                                                                         62  dso       all             bacres      inf       2
     60            11        69  0.736711    0.736711    -x1 - 0.154*x2 + 20.346                                                                                0.321*x1                                                                                                                  60  dso       all             bacres      inf       2
      2            10        65  0.888305    0.888305    14.466 - x1                                                                                            10.373 - 0.154*x2                                                                                                          2  dso       all             bacres      inf       2
      0             8        44  1.44626     1.44626     14.466 - x1                                                                                            0.321*x1                                                                                                                   0  dso       all             bacres      inf       2
