  index    complexity    length            TE        TE_inf  expr_x                                                                                expr_y                                                                                            index_column  method    data_version    system      snr    init
    358            61       353   6.28837e-05   6.28837e-05  -x1 + x2*cos(x2/(0.373*x2*(x1 + 0.08) + 0.022) + 1.57) + 19.999 + 0.659*x2/x1         11.037 - (x1 + x2*(2.025 - 14.963/(20.19*x1 + x2)) + 0.975 - 4.114/(x1 - 0.088*x2 - 0.773))/x1             358  dso       allonger        bacres      inf       1
    355            58       325   8.69775e-05   8.69775e-05  -x1 + x2*cos(x2/(0.373*x2*(x1 + 0.08) + 0.022) + 1.57) + 19.999 + 0.659*x2/x1         9.986 - (x2*(1.999 - 3.508/(x1**2 - 0.082*x2 + 1.531)) - 0.295 + 1.538/x2)/x1                              355  dso       allonger        bacres      inf       1
    353            56       310   0.000128042   0.000128042  -x1 + x2*cos(x2/(0.373*x2*(x1 + 0.08) + 0.022) + 1.57) + 19.999 + 0.659*x2/x1         11.991 - (2*x1 + x2*(1.998 - 3.564/(x1**2 - 0.087*x2 + 1.748)) - 0.127)/x1                                 353  dso       allonger        bacres      inf       1
    331            51       281   0.000431126   0.000431126  -x1 + x2*(x1*x2/(x1*(x2*(x1 - 0.801) + 0.598) - 6.415) + 0.002) + 20.0 - 3.067*x2/x1  10.003 - x2*(2.024 - 0.529/(x1 + 0.007*x2 - 1.916))/x1                                                     331  dso       allonger        bacres      inf       1
    351            48       275   0.000475429   0.000475429  -x1 + x2*cos(x2/(0.373*x2*(x1 + 0.08) + 0.022) + 1.57) + 19.999 + 0.659*x2/x1         10.003 - x2*(2.024 - 0.529/(x1 + 0.007*x2 - 1.916))/x1                                                     351  dso       allonger        bacres      inf       1
    211            37       256   0.00212966    0.00212966   -0.964*x1 - 0.005*x2 + 19.147 + (4.647 - 1.902*x2)/x1                                 10.003 - x2*(2.024 - 0.529/(x1 + 0.007*x2 - 1.916))/x1                                                     211  dso       allonger        bacres      inf       1
    229            33       245   0.00446049    0.00446049   -1.008*x1 + 0.011*x2 + 20.134 + (-2.273*x2 - 0.584)/(x1 + 0.991)                      9.966 - (2.046*x2 - 0.903)/(x1 + 0.386)                                                                    229  dso       allonger        bacres      inf       1
    209            31       227   0.00554578    0.00554578   -0.964*x1 - 0.005*x2 + 19.147 + (4.647 - 1.902*x2)/x1                                 9.966 - (2.046*x2 - 0.903)/(x1 + 0.386)                                                                    209  dso       allonger        bacres      inf       1
    208            29       206   0.00564054    0.00564054   -0.964*x1 - 0.005*x2 + 19.147 + (4.647 - 1.902*x2)/x1                                 9.753 - (1.971*x2 - 3.087)/x1                                                                              208  dso       allonger        bacres      inf       1
    206            28       205   0.00564054    0.00564054   -0.964*x1 - 0.005*x2 + 19.147 + (4.647 - 1.902*x2)/x1                                 9.753 + (3.087 - 1.971*x2)/x1                                                                              206  dso       allonger        bacres      inf       1
    186            25       157   0.0204895     0.0204895    -0.978*x1 + 19.279 + (4.855 - 1.957*x2)/x1                                            9.753 + (3.087 - 1.971*x2)/x1                                                                              186  dso       allonger        bacres      inf       1
    166            22       134   0.0264994     0.0264994    -1.029*x1 + 20.413 - 1.982*x2/x1                                                      9.753 + (3.087 - 1.971*x2)/x1                                                                              166  dso       allonger        bacres      inf       1
    165            19       111   0.0357848     0.0357848    -1.029*x1 + 20.413 - 1.982*x2/x1                                                      9.927 - 1.945*x2/x1                                                                                        165  dso       allonger        bacres      inf       1
     85            17        90   0.347133      0.347133     -0.314*x1 + 162.056/x2                                                                9.927 - 1.945*x2/x1                                                                                         85  dso       allonger        bacres      inf       1
     83            15        94   0.489698      0.489698     -0.314*x1 + 162.056/x2                                                                x1 - 0.151*x2 - 2.817                                                                                       83  dso       allonger        bacres      inf       1
     81            14        74   0.565479      0.565479     -0.314*x1 + 162.056/x2                                                                x1 - 0.21*x2                                                                                                81  dso       allonger        bacres      inf       1
     61            12        68   1.17647       1.17647      -3.854 + 170.196/x2                                                                   x1 - 0.21*x2                                                                                                61  dso       allonger        bacres      inf       1
     41            10        70   1.3111        1.3111       7.183 - 0.151*x2                                                                      x1 - 0.21*x2                                                                                                41  dso       allonger        bacres      inf       1
     40             8        65   5.35419       5.35419      7.183 - 0.151*x2                                                                      x1 - 9.654                                                                                                  40  dso       allonger        bacres      inf       1
      0             6        45  12.0594       12.0594       0.017*x1                                                                              x1 - 9.654                                                                                                   0  dso       allonger        bacres      inf       1
