  index    complexity    length           TE       TE_inf  expr_x                                                                expr_y                                                               index_column  method    data_version    system      snr    init
    172            52       315  8.01072e-05  8.01072e-05  -1.0*x1 - 17.71*x2/(5.939*x1 + 7.188) + 1.0*x2/(x1 + 4.306) + 20.003  -x1*x2**2/(-0.498*x1**2*(-1.004*x2 - 0.017) + 0.996*x2) + 9.996               172  dso       allonger        bacres      inf       2
    140            47       292  0.000241787  0.000241787  -1.001*x1 + 0.003*x2 - 107.752*x2/(51.036*x1 + 29.759) + 20.01        -x1*x2**2/(-0.498*x1**2*(-1.004*x2 - 0.017) + 0.996*x2) + 9.996               140  dso       allonger        bacres      inf       2
    139            43       260  0.000496037  0.000496037  -1.001*x1 + 0.003*x2 - 107.752*x2/(51.036*x1 + 29.759) + 20.01        28.724*cos(x1/(1.04*x1*x2/(14.204*x1 - x2 + 5.962) + x1) - 2.217)             139  dso       allonger        bacres      inf       2
    135            33       233  0.000748056  0.000748056  -1.001*x1 + 0.003*x2 - 107.752*x2/(51.036*x1 + 29.759) + 20.01        10.001 + x2*(0.001*x1 - 0.047)*(x1 + 38.618)/x1                               135  dso       allonger        bacres      inf       2
    136            29       208  0.000855132  0.000855132  -1.001*x1 + 0.003*x2 - 107.752*x2/(51.036*x1 + 29.759) + 20.01        10.009 - 2.036*x2*(x1 - 0.363)/x1**2                                          136  dso       allonger        bacres      inf       2
    120            26       186  0.00189195   0.00189195   -0.999*x1 - 13.034*x2/(6.385*x1 + 2.622) + 19.988                     10.009 - 2.036*x2*(x1 - 0.363)/x1**2                                          120  dso       allonger        bacres      inf       2
    115            23       156  0.023059     0.023059     -0.999*x1 - 13.034*x2/(6.385*x1 + 2.622) + 19.988                     9.918 - 1.944*x2/x1                                                           115  dso       allonger        bacres      inf       2
    113            20       153  0.803096     0.803096     -0.999*x1 - 13.034*x2/(6.385*x1 + 2.622) + 19.988                     12.07 - 0.225*x2                                                              113  dso       allonger        bacres      inf       2
     66            15       113  0.951582     0.951582     -0.924 + 1357.546/x2**2                                               0.216*x1 - 0.216*x2 + 9.133                                                    66  dso       allonger        bacres      inf       2
     65            12        87  1.01592      1.01592      -0.924 + 1357.546/x2**2                                               12.07 - 0.225*x2                                                               65  dso       allonger        bacres      inf       2
     33            10        83  2.45269      2.45269      5.877 - 0.126*x2                                                      12.07 - 0.225*x2                                                               33  dso       allonger        bacres      inf       2
      1             8        64  2.56935      2.56935      0.013*x1                                                              12.07 - 0.225*x2                                                                1  dso       allonger        bacres      inf       2
      0             6        45  8.74632      8.74632      0.013*x1                                                              x1 - 9.771                                                                      0  dso       allonger        bacres      inf       2
