  complexity    length          TE      TE_inf  expr_x                                               expr_y                                                              index_column  method    exp_type    data_version    system      snr    init
           6         8  5.59721     5.59721     0.032*x                                              0.306*x                                                                        0  proged    numdif      all             bacres      inf       1
           8        13  3.15978     3.15978     8.217 - 0.189*y                                      0.306*x                                                                        1  proged    numdif      all             bacres      inf       1
          10        18  1.11004     1.11004     8.217 - 0.189*y                                      9.483 - 0.137*y                                                                2  proged    numdif      all             bacres      inf       1
          13        25  0.173237    0.173237    -0.616*x - 0.157*y + 15.144                          9.483 - 0.137*y                                                                3  proged    numdif      all             bacres      inf       1
          15        28  0.0759135   0.0759135   -0.616*x - 0.157*y + 15.144                          6.509                                                                          4  proged    numdif      all             bacres      inf       1
          14        28  0.144783    0.144783    -0.616*x - 0.157*y + 15.144                          6.652*sin(0.056*y)                                                             5  proged    numdif      all             bacres      inf       1
          16        27  0.0683134   0.0683134   -0.616*x - 0.157*y + 15.144                          9.972 - 1.96*y/x                                                               6  proged    numdif      all             bacres      inf       1
           9        15  1.2632      1.2632      -0.015*x*y + 8.851                                   0.306*x                                                                        7  proged    numdif      all             bacres      inf       1
          11        20  0.341436    0.341436    -0.015*x*y + 8.851                                   9.483 - 0.137*y                                                                8  proged    numdif      all             bacres      inf       1
          22        39  0.0230366   0.0230366   -0.042*x**2 + 0.014*x*y - 0.336*y + 14.373           9.972 - 1.96*y/x                                                               9  proged    numdif      all             bacres      inf       1
          33        61  0.00264401  0.00264401  -19.92*x*y/(9.959*x**2 + 19.994) - 0.999*x + 19.985  0.038*x - 18.251*y/(8.263*x + 12.798) + 9.485                                 10  proged    numdif      all             bacres      inf       1
          38        74  0.00166669  0.00166669  -19.92*x*y/(9.959*x**2 + 19.994) - 0.999*x + 19.985  0.959*x - 11.72 - 19.953/(-0.182*y + 2.727*sin(0.097*y) - 1.843)              11  proged    numdif      all             bacres      inf       1
          35        64  0.00233833  0.00233833  -19.92*x*y/(9.959*x**2 + 19.994) - 0.999*x + 19.985  -0.063*y - 4.938*y/(0.274*x**2 + 9.125) + 10.034                              12  proged    numdif      all             bacres      inf       1
          18        30  0.060082    0.060082    -1.007*x + 20.0 - 1.942*y/x                          6.509                                                                         13  proged    numdif      all             bacres      inf       1
          19        29  0.0275536   0.0275536   -1.007*x + 20.0 - 1.942*y/x                          9.972 - 1.96*y/x                                                              14  proged    numdif      all             bacres      inf       1
          26        46  0.00879925  0.00879925  -0.984*x - 2.198*y/(1.041*x + 0.908) + 19.79         -0.018*y + 10.086 - 1.766*y/x                                                 15  proged    numdif      all             bacres      inf       1
          27        49  0.00626537  0.00626537  -0.984*x - 2.198*y/(1.041*x + 0.908) + 19.79         20.0*y/(-9.447*x - 8.376) + 10.019                                            16  proged    numdif      all             bacres      inf       1
          23        39  0.014088    0.014088    -0.984*x - 2.198*y/(1.041*x + 0.908) + 19.79         9.972 - 1.96*y/x                                                              17  proged    numdif      all             bacres      inf       1
          30        56  0.00445623  0.00445623  -0.984*x - 2.198*y/(1.041*x + 0.908) + 19.79         0.038*x - 18.251*y/(8.263*x + 12.798) + 9.485                                 18  proged    numdif      all             bacres      inf       1
          32        59  0.00323921  0.00323921  -0.984*x - 2.198*y/(1.041*x + 0.908) + 19.79         -0.063*y - 4.938*y/(0.274*x**2 + 9.125) + 10.034                              19  proged    numdif      all             bacres      inf       1
