  complexity    length          TE      TE_inf  expr_x                                                                                               expr_y                                                                      index_column  method    exp_type    data_version    system      snr    init
           6         8  5.06575     5.06575     0.026*x                                                                                              0.321*x                                                                                0  proged    numdif      all             bacres      inf       3
           8        13  3.37015     3.37015     6.841 - 0.163*y                                                                                      0.321*x                                                                                1  proged    numdif      all             bacres      inf       3
          10        18  1.163       1.163       6.841 - 0.163*y                                                                                      10.375 - 0.154*y                                                                       2  proged    numdif      all             bacres      inf       3
          13        25  0.131282    0.131282    -0.691*x - 0.157*y + 16.174                                                                          10.375 - 0.154*y                                                                       3  proged    numdif      all             bacres      inf       3
          15        28  0.0927875   0.0927875   -0.691*x - 0.157*y + 16.174                                                                          7.486                                                                                  4  proged    numdif      all             bacres      inf       3
           9        15  1.50314     1.50314     -0.014*x*y + 8.038                                                                                   0.321*x                                                                                5  proged    numdif      all             bacres      inf       3
          11        20  0.401296    0.401296    -0.014*x*y + 8.038                                                                                   10.375 - 0.154*y                                                                       6  proged    numdif      all             bacres      inf       3
          44        83  0.00329165  0.00329165  -0.943*x - 0.005*y**2 + 17.807 - 11.975/(0.51*x*y - 19.641)                                          19.393*y/(-9.429*x - 4.743) + 10.015                                                   7  proged    numdif      all             bacres      inf       3
          43        80  0.00333616  0.00333616  -0.943*x - 0.005*y**2 + 17.807 - 11.975/(0.51*x*y - 19.641)                                          -0.013*x + 10.184 - 1.98*y/x                                                           8  proged    numdif      all             bacres      inf       3
          47        90  0.002616    0.002616    -0.943*x - 0.005*y**2 + 17.807 - 11.975/(0.51*x*y - 19.641)                                          0.012*y - 19.612*y/(8.303*x + 11.578) + 9.985                                          9  proged    numdif      all             bacres      inf       3
          18        30  0.021408    0.021408    -1.001*x + 20.0 - 1.972*y/x                                                                          7.486                                                                                 10  proged    numdif      all             bacres      inf       3
          19        29  0.00744365  0.00744365  -1.001*x + 20.0 - 1.972*y/x                                                                          9.992 - 1.974*y/x                                                                     11  proged    numdif      all             bacres      inf       3
          22        36  0.0073805   0.0073805   -1.001*x + 20.0 - 1.972*y/x                                                                          -0.013*x + 10.184 - 1.98*y/x                                                          12  proged    numdif      all             bacres      inf       3
          17        29  0.0796277   0.0796277   -6.645 + 5.772/sin(0.033*y)                                                                          7.486                                                                                 13  proged    numdif      all             bacres      inf       3
          23        38  0.00636182  0.00636182  -0.99*x + 19.878 - 1.936*y/x                                                                         9.992 - 1.974*y/x                                                                     14  proged    numdif      all             bacres      inf       3
          32        60  0.00410642  0.00410642  -0.99*x + 19.878 - 1.936*y/x                                                                         -0.08*y + 12.2 + 19.992/(-0.261*x + 0.071*y - 3.652)                                  15  proged    numdif      all             bacres      inf       3
          26        45  0.00445259  0.00445259  -0.99*x + 19.878 - 1.936*y/x                                                                         -0.013*x + 10.184 - 1.98*y/x                                                          16  proged    numdif      all             bacres      inf       3
          30        55  0.00427633  0.00427633  -0.99*x + 19.878 - 1.936*y/x                                                                         0.012*y - 19.612*y/(8.303*x + 11.578) + 9.985                                         17  proged    numdif      all             bacres      inf       3
          39        75  0.00409047  0.00409047  -0.99*x + 19.878 - 1.936*y/x                                                                         -0.e-3*x*sin(1.059*x) - 0.057*y + 8.774*y/(-0.431*x**2 - 19.672) + 9.998              18  proged    numdif      all             bacres      inf       3
          37        72  0.00409313  0.00409313  -0.99*x + 19.878 - 1.936*y/x                                                                         -0.005*x*sin(0.346*x) + 0.019*y - 19.867*y/(7.671*x + 16.568) + 9.944                 19  proged    numdif      all             bacres      inf       3
          42        84  0.00353654  0.00353654  0.005*x*y - 0.963*x + 0.002*y*sin(0.906*x) - 0.211*y + 19.652 + 18.999/(-6.615*x + 0.772*y + 19.63)  -0.013*x + 10.184 - 1.98*y/x                                                          20  proged    numdif      all             bacres      inf       3
