	complexity	length	TE	TE_inf	expr_x	expr_y	index_column	method	exp_type	data_version	system	snr	init
0	6	8	5.06575077288098	5.06575077288098	0.026*x	0.321*x	0	proged	numdif	all	bacres	inf	3
1	8	13	3.370152563711461	3.370152563711461	6.841 - 0.163*y	0.321*x	1	proged	numdif	all	bacres	inf	3
2	10	18	1.1630014522917111	1.1630014522917111	6.841 - 0.163*y	10.375 - 0.154*y	2	proged	numdif	all	bacres	inf	3
3	13	25	0.1312820006792275	0.1312820006792275	-0.691*x - 0.157*y + 16.174	10.375 - 0.154*y	3	proged	numdif	all	bacres	inf	3
4	15	28	0.09278752037716377	0.09278752037716377	-0.691*x - 0.157*y + 16.174	7.486	4	proged	numdif	all	bacres	inf	3
5	9	15	1.503141918866959	1.503141918866959	-0.014*x*y + 8.038	0.321*x	5	proged	numdif	all	bacres	inf	3
6	11	20	0.401295792789364	0.401295792789364	-0.014*x*y + 8.038	10.375 - 0.154*y	6	proged	numdif	all	bacres	inf	3
7	44	83	0.0032916505440482406	0.0032916505440482406	-0.943*x - 0.005*y**2 + 17.807 - 11.975/(0.51*x*y - 19.641)	19.393*y/(-9.429*x - 4.743) + 10.015	7	proged	numdif	all	bacres	inf	3
8	43	80	0.003336164789509969	0.003336164789509969	-0.943*x - 0.005*y**2 + 17.807 - 11.975/(0.51*x*y - 19.641)	-0.013*x + 10.184 - 1.98*y/x	8	proged	numdif	all	bacres	inf	3
9	47	90	0.0026159974976117215	0.0026159974976117215	-0.943*x - 0.005*y**2 + 17.807 - 11.975/(0.51*x*y - 19.641)	0.012*y - 19.612*y/(8.303*x + 11.578) + 9.985	9	proged	numdif	all	bacres	inf	3
10	18	30	0.021408003643553164	0.021408003643553164	-1.001*x + 20.0 - 1.972*y/x	7.486	10	proged	numdif	all	bacres	inf	3
11	19	29	0.007443654838928262	0.007443654838928262	-1.001*x + 20.0 - 1.972*y/x	9.992 - 1.974*y/x	11	proged	numdif	all	bacres	inf	3
12	22	36	0.007380495390438999	0.007380495390438999	-1.001*x + 20.0 - 1.972*y/x	-0.013*x + 10.184 - 1.98*y/x	12	proged	numdif	all	bacres	inf	3
13	17	29	0.07962771885954108	0.07962771885954108	-6.645 + 5.772/sin(0.033*y)	7.486	13	proged	numdif	all	bacres	inf	3
14	23	38	0.006361817564263662	0.006361817564263662	-0.99*x + 19.878 - 1.936*y/x	9.992 - 1.974*y/x	14	proged	numdif	all	bacres	inf	3
15	32	60	0.004106416581244019	0.004106416581244019	-0.99*x + 19.878 - 1.936*y/x	-0.08*y + 12.2 + 19.992/(-0.261*x + 0.071*y - 3.652)	15	proged	numdif	all	bacres	inf	3
16	26	45	0.004452587928612719	0.004452587928612719	-0.99*x + 19.878 - 1.936*y/x	-0.013*x + 10.184 - 1.98*y/x	16	proged	numdif	all	bacres	inf	3
17	30	55	0.004276329369699966	0.004276329369699966	-0.99*x + 19.878 - 1.936*y/x	0.012*y - 19.612*y/(8.303*x + 11.578) + 9.985	17	proged	numdif	all	bacres	inf	3
18	39	75	0.004090473488294156	0.004090473488294156	-0.99*x + 19.878 - 1.936*y/x	-0.e-3*x*sin(1.059*x) - 0.057*y + 8.774*y/(-0.431*x**2 - 19.672) + 9.998	18	proged	numdif	all	bacres	inf	3
19	37	72	0.0040931327405956085	0.0040931327405956085	-0.99*x + 19.878 - 1.936*y/x	-0.005*x*sin(0.346*x) + 0.019*y - 19.867*y/(7.671*x + 16.568) + 9.944	19	proged	numdif	all	bacres	inf	3
20	42	84	0.003536542542765164	0.003536542542765164	0.005*x*y - 0.963*x + 0.002*y*sin(0.906*x) - 0.211*y + 19.652 + 18.999/(-6.615*x + 0.772*y + 19.63)	-0.013*x + 10.184 - 1.98*y/x	20	proged	numdif	all	bacres	inf	3
