  complexity    length       TE    TE_inf  expr_x                                                                              expr_y                        index_column  method    exp_type    data_version    system      snr    init
           6         8  4.41263   5.76525  0.027*y                                                                             -0.294*x                                 0  proged    numdif      allonger        bacres       13       1
           9        16  3.55183   4.55732  0.027*y                                                                             20.0*sin(15.075*y)                       1  proged    numdif      allonger        bacres       13       1
          10        18  3.55009   4.5552   0.027*y                                                                             -1.843*y*sin(15.01*y)                    2  proged    numdif      allonger        bacres       13       1
           8        11  3.55468   4.56083  0.027*y                                                                             -0.407/y**2                              3  proged    numdif      allonger        bacres       13       1
          15        28  3.00941   3.64723  0.206*y - 9.01                                                                      8.614*x*sin(14.184*x**2*y)               4  proged    numdif      allonger        bacres       13       1
           7        10  4.34465   5.69062  0.003*x*y                                                                           -0.294*x                                 5  proged    numdif      allonger        bacres       13       1
          13        26  3.1313    3.90619  -20.0*cos(0.315*x*y)                                                                20.0*sin(15.075*y)                       6  proged    numdif      allonger        bacres       13       1
          14        28  3.13122   3.9065   -20.0*cos(0.315*x*y)                                                                -1.843*y*sin(15.01*y)                    7  proged    numdif      allonger        bacres       13       1
          12        21  3.1315    3.90583  -20.0*cos(0.315*x*y)                                                                -0.407/y**2                              8  proged    numdif      allonger        bacres       13       1
          36        75  2.41706   2.78296  -0.045*x**2 + 0.015*x*y + 3.344*x*sin(8.877*x)*sin(5.887*y) - 20.0*cos(3.458*y**2)  -1.843*y*sin(15.01*y)                    9  proged    numdif      allonger        bacres       13       1
          34        68  2.93521   3.60296  -0.045*x**2 + 0.015*x*y + 3.344*x*sin(8.877*x)*sin(5.887*y) - 20.0*cos(3.458*y**2)  -0.407/y**2                             10  proged    numdif      allonger        bacres       13       1
          21        38  2.97466   3.67903  -3.676*y/(19.578*x*sin(18.138*y) + 8.995) + 0.1                                     -0.407/y**2                             11  proged    numdif      allonger        bacres       13       1
