  complexity    length          TE      TE_inf  expr_x                                            expr_y                                         index_column  method    exp_type    data_version    system      snr    init
           6         8  5.4832      5.4832      0.017*x                                           0.188*x                                                   0  proged    numdif      allonger        bacres      inf       1
           8        13  3.40477     3.40477     0.017*x                                           11.422 - 0.212*y                                          1  proged    numdif      allonger        bacres      inf       1
          15        27  0.389428    0.389428    -0.446*x - 0.178*y + 13.533                       0.715*x - 0.143*y                                         2  proged    numdif      allonger        bacres      inf       1
          14        28  0.423103    0.423103    -0.446*x - 0.178*y + 13.533                       6.676*sin(0.06*y)                                         3  proged    numdif      allonger        bacres      inf       1
          16        27  0.311004    0.311004    -0.446*x - 0.178*y + 13.533                       9.927 - 1.945*y/x                                         4  proged    numdif      allonger        bacres      inf       1
           9        15  2.14268     2.14268     -0.014*x*y + 7.438                                0.188*x                                                   5  proged    numdif      allonger        bacres      inf       1
          11        20  0.731568    0.731568    -0.014*x*y + 7.438                                11.422 - 0.212*y                                          6  proged    numdif      allonger        bacres      inf       1
          13        22  0.566888    0.566888    -0.014*x*y + 7.438                                0.715*x - 0.143*y                                         7  proged    numdif      allonger        bacres      inf       1
          12        23  0.5907      0.5907      -0.014*x*y + 7.438                                6.676*sin(0.06*y)                                         8  proged    numdif      allonger        bacres      inf       1
          29        51  0.00663221  0.00663221  -18.876*x*y/(9.438*x**2 + 18.888) - 1.0*x + 20.0  -0.009*y + 10.09 - 1.885*y/x                              9  proged    numdif      allonger        bacres      inf       1
          33        61  0.00268154  0.00268154  -18.876*x*y/(9.438*x**2 + 18.888) - 1.0*x + 20.0  0.008*y - 18.74*y/(8.399*x + 7.719) + 9.989              10  proged    numdif      allonger        bacres      inf       1
          36        66  4.5753e-05  4.5753e-05  -18.876*x*y/(9.438*x**2 + 18.888) - 1.0*x + 20.0  -19.746*x*y/(9.866*x**2 + 19.987) + 9.999                11  proged    numdif      allonger        bacres      inf       1
          18        29  0.180553    0.180553    -1.007*x + 20.0 - 1.945*y/x                       0.715*x - 0.143*y                                        12  proged    numdif      allonger        bacres      inf       1
          19        29  0.0461789   0.0461789   -1.007*x + 20.0 - 1.945*y/x                       9.927 - 1.945*y/x                                        13  proged    numdif      allonger        bacres      inf       1
          26        46  0.0150353   0.0150353   -0.993*x + 19.463*y/(-9.336*x - 5.731) + 19.947   -0.009*y + 10.09 - 1.885*y/x                             14  proged    numdif      allonger        bacres      inf       1
          23        39  0.0319155   0.0319155   -0.993*x + 19.463*y/(-9.336*x - 5.731) + 19.947   9.927 - 1.945*y/x                                        15  proged    numdif      allonger        bacres      inf       1
