  complexity    length           TE       TE_inf  expr_x                                              expr_y                                                index_column  method    exp_type    data_version    system      snr    init
           6         8  4.32576      4.32576      0.013*x                                             0.203*x                                                          0  proged    numdif      allonger        bacres      inf       3
           8        13  2.57098      2.57098      0.013*x                                             12.065 - 0.225*y                                                 1  proged    numdif      allonger        bacres      inf       3
          15        27  0.381863     0.381863     -0.456*x - 0.171*y + 13.253                         0.694*x - 0.139*y                                                2  proged    numdif      allonger        bacres      inf       3
          16        27  0.313879     0.313879     -0.456*x - 0.171*y + 13.253                         9.918 - 1.944*y/x                                                3  proged    numdif      allonger        bacres      inf       3
          14        28  0.484842     0.484842     -0.456*x - 0.171*y + 13.253                         9.214*cos(0.03*y)                                                4  proged    numdif      allonger        bacres      inf       3
          17        30  0.154155     0.154155     4.505*cos(0.005*x*y) + 3.611                        9.918 - 1.944*y/x                                                5  proged    numdif      allonger        bacres      inf       3
           9        15  2.15783      2.15783      -0.013*x*y + 6.735                                  0.203*x                                                          6  proged    numdif      allonger        bacres      inf       3
          11        20  0.664531     0.664531     -0.013*x*y + 6.735                                  12.065 - 0.225*y                                                 7  proged    numdif      allonger        bacres      inf       3
          13        22  0.524719     0.524719     -0.013*x*y + 6.735                                  0.694*x - 0.139*y                                                8  proged    numdif      allonger        bacres      inf       3
          12        23  0.618241     0.618241     -0.013*x*y + 6.735                                  9.214*cos(0.03*y)                                                9  proged    numdif      allonger        bacres      inf       3
          30        54  0.000992447  0.000992447  18.111*x*y/(-9.056*x**2 - 18.096) - 1.0*x + 19.999  19.883*y/(-9.755*x - 3.795) + 10.009                            10  proged    numdif      allonger        bacres      inf       3
          33        61  0.00029571   0.00029571   18.111*x*y/(-9.056*x**2 - 18.096) - 1.0*x + 19.999  0.003*y - 19.857*y/(9.438*x + 5.387) + 10.0                     11  proged    numdif      allonger        bacres      inf       3
          36        66  9.00399e-05  9.00399e-05  18.111*x*y/(-9.056*x**2 - 18.096) - 1.0*x + 19.999  -18.934*x*y/(9.465*x**2 + 19.022) + 10.0                        12  proged    numdif      allonger        bacres      inf       3
          40        75  8.16202e-05  8.16202e-05  18.111*x*y/(-9.056*x**2 - 18.096) - 1.0*x + 19.999  -19.733*x*y/(9.866*x**2 - 0.005*y + 19.899) + 10.0              13  proged    numdif      allonger        bacres      inf       3
          22        36  0.0475922    0.0475922    -1.006*x + 20.0 - 1.949*y/x                         -0.006*y + 10.023 - 1.903*y/x                                   14  proged    numdif      allonger        bacres      inf       3
          19        29  0.048771     0.048771     -1.006*x + 20.0 - 1.949*y/x                         9.918 - 1.944*y/x                                               15  proged    numdif      allonger        bacres      inf       3
          27        49  0.00190153   0.00190153   -0.999*x + 17.57*y/(-8.607*x - 3.532) + 19.988      19.883*y/(-9.755*x - 3.795) + 10.009                            16  proged    numdif      allonger        bacres      inf       3
          26        46  0.00351366   0.00351366   -0.999*x + 17.57*y/(-8.607*x - 3.532) + 19.988      -0.006*y + 10.023 - 1.903*y/x                                   17  proged    numdif      allonger        bacres      inf       3
          23        39  0.0230126    0.0230126    -0.999*x + 17.57*y/(-8.607*x - 3.532) + 19.988      9.918 - 1.944*y/x                                               18  proged    numdif      allonger        bacres      inf       3
