	complexity	length	TE	TE_inf	expr_x	expr_y	index_column	method	exp_type	data_version	system	snr	init
0	6	8	3.3539208336057627	3.3539208336057627	-0.004*y	0.194*x	0	proged	numdif	allonger	bacres	inf	0
1	8	13	2.1091016492384345	2.1091016492384345	-0.004*y	12.711 - 0.238*y	1	proged	numdif	allonger	bacres	inf	0
2	15	27	0.3173989363156979	0.3173989363156979	-0.393*x - 0.154*y + 11.741	0.684*x - 0.136*y	2	proged	numdif	allonger	bacres	inf	0
3	7	10	3.3147379939350525	3.3147379939350525	0	0.194*x	3	proged	numdif	allonger	bacres	inf	0
4	9	15	2.034918703036772	2.034918703036772	0	12.711 - 0.238*y	4	proged	numdif	allonger	bacres	inf	0
5	10	18	2.0015029521845435	2.0015029521845435	0	9.445*cos(0.03*y)	5	proged	numdif	allonger	bacres	inf	0
6	16	30	0.22352602431252838	0.22352602431252838	3.962*cos(0.005*x*y) + 3.13	0.684*x - 0.136*y	6	proged	numdif	allonger	bacres	inf	0
7	17	30	0.2062620974614971	0.2062620974614971	3.962*cos(0.005*x*y) + 3.13	9.906 - 1.942*y/x	7	proged	numdif	allonger	bacres	inf	0
8	11	20	0.6678242718936757	0.6678242718936757	-0.011*x*y + 5.557	12.711 - 0.238*y	8	proged	numdif	allonger	bacres	inf	0
9	13	22	0.4863791339578786	0.4863791339578786	-0.011*x*y + 5.557	0.684*x - 0.136*y	9	proged	numdif	allonger	bacres	inf	0
10	14	22	0.47570326599489926	0.47570326599489926	-0.011*x*y + 5.557	9.906 - 1.942*y/x	10	proged	numdif	allonger	bacres	inf	0
11	12	23	0.6254111477560107	0.6254111477560107	-0.011*x*y + 5.557	9.445*cos(0.03*y)	11	proged	numdif	allonger	bacres	inf	0
12	18	30	0.14954350382759463	0.14954350382759463	-0.164*y + 8.428*sin(0.154*x)	9.906 - 1.942*y/x	12	proged	numdif	allonger	bacres	inf	0
13	30	54	0.0011359241933133254	0.0011359241933133254	19.964*x*y/(-9.982*x**2 - 20.0) - 1.0*x + 19.998	19.947*y/(-9.791*x - 3.769) + 10.008	13	proged	numdif	allonger	bacres	inf	0
14	36	66	4.221728578304426e-05	4.221728578304426e-05	19.964*x*y/(-9.982*x**2 - 20.0) - 1.0*x + 19.998	-19.816*x*y/(9.908*x**2 + 19.813) + 10.0	14	proged	numdif	allonger	bacres	inf	0
15	33	61	0.00012868011700150077	0.00012868011700150077	19.964*x*y/(-9.982*x**2 - 20.0) - 1.0*x + 19.998	0.003*y - 5.499*y/(2.619*x + 1.461) + 9.999	15	proged	numdif	allonger	bacres	inf	0
16	22	36	0.04968058573883055	0.04968058573883055	-1.006*x + 20.0 - 1.948*y/x	-0.006*y + 10.02 - 1.904*y/x	16	proged	numdif	allonger	bacres	inf	0
17	19	29	0.05194842064005635	0.05194842064005635	-1.006*x + 20.0 - 1.948*y/x	9.906 - 1.942*y/x	17	proged	numdif	allonger	bacres	inf	0
18	27	49	0.0017501002981857295	0.0017501002981857295	-0.997*x - 19.513*y/(9.559*x + 4.016) + 19.964	19.947*y/(-9.791*x - 3.769) + 10.008	18	proged	numdif	allonger	bacres	inf	0
19	26	46	0.0037342455446862126	0.0037342455446862126	-0.997*x - 19.513*y/(9.559*x + 4.016) + 19.964	-0.006*y + 10.02 - 1.904*y/x	19	proged	numdif	allonger	bacres	inf	0
20	23	39	0.02296884240390031	0.02296884240390031	-0.997*x - 19.513*y/(9.559*x + 4.016) + 19.964	9.906 - 1.942*y/x	20	proged	numdif	allonger	bacres	inf	0
