	system	snr	iinit	TE	TEinf	expr_model	method	data_version	exp_version	benchmark	duration
0	bacres	inf	0	11.33927347979014	11.33927347979014	[['-848.914 1 + -447.642 x + 160.543 y + 18.445 x^2 + -2.286 y^2 + -0.251 x^3 + 0.014 y^3 + -2.624 x*y + 3154.600 x/y + -122.922 y/x + 0.090 x^2*y + 0.020 y^2*x + -0.006 sin(y) + -1.322 cos(x) + -0.005 cos(y) + 0.077 cos(y)/(x) + 0.105 sin(y)/(x) + 23.357 cos(x)/(y) + 9.517 sin(x)/(y) + -0.002 sin^2(y) * sin(x) + -0.002 cos^2(y) * sin(x)', '12902.112 1 + 5013.120 x + -92.507 y + -146.116 x^2 + 16.027 y^2 + 1.106 x^3 + -0.131 y^3 + -116.399 x*y + -45292.529 x/y + -3675.521 y/x + 1.713 x^2*y + 0.389 y^2*x + -0.006 sin(y) + 14.097 cos(x) + 0.005 cos(y) + -0.079 cos(y)/(x) + 0.101 sin(y)/(x) + -236.452 cos(x)/(y) + -15.574 sin(x)/(y) + -5.758 sin^2(x) * sin(y) + -5.758 cos^2(y) * sin(x)']]	sindy	all	e1	strogatz	8.396863460540771
1	bacres	30	0	11.09859216261364	11.256748598055529	[['5.989 x/y + -0.608 sin(y) + -0.784 cos(x) + 0.021 tan(y) + 0.018 cot(x) + 0.091 cot(y) + -3.394 cos(y)/(x) + 33.159 cos(x)/(y) + -17.224 sin(x)/(y) + 0.571 sin^2(x) * sin(y) + -0.041 cos^2(x) * sin(y) + 0.121 sin(x) * cot(y) + 0.092 cos(x) * cot(y) + -0.030 cos(y) * cot(x)', '3014.716 1 + -699.377 x + 264.562 y + 53.276 x^2 + -1.329 x^3 + -20.950 x*y + -16.929 x/y + -1086.059 y/x + 0.543 x^2*y + 20.859 sin(x) + -0.781 sin(y) + 8.981 cos(x) + -19.720 cos(y) + -0.219 tan(x) + 0.115 tan(y) + -0.079 cot(x) + 278.053 cos(y)/(x) + -448.964 sin(x)/(y) + 0.762 sin^2(x) * sin(y) + 0.342 cos^2(x) * sin(y) + 0.084 sin(x) * cot(y) + -0.122 sin(y) * cot(x) + 0.113 cos(x) * cot(y) + 0.025 cos(y) * cot(x)']]	sindy	all	e1	strogatz	8.48869800567627
2	bacres	13	0	12.29338173177663	23.04629406649378	[['-1.454 1 + -0.816 y + 0.106 x^2 + -0.018 y^2 + -0.008 x^3 + 1.494 x/y + 8.884 y/x + 0.003 x^2*y + -0.720 cos(x) + 9.858 cos(y) + -0.428 tan(x) + 0.597 tan(y) + 0.156 cot(x) + 0.011 cot(y) + -108.570 cos(y)/(x) + 245.490 sin(y)/(x) + -6.114 sin(x)/(y) + -39.364 sin^2(y) * sin(x) + -3.935 sin^2(x) * sin(y) + 0.968 cos^2(x) * sin(y) + 13.052 cos^2(y) * sin(x) + -0.432 sin(x) * cot(y) + 0.168 sin(y) * cot(x) + 0.058 cos(x) * cot(y) + -0.183 cos(y) * cot(x)', '-123.091 1 + 1.008 x^2 + -0.104 y^2 + -0.021 x^3 + -20.383 x/y + 39.491 y/x + -0.016 x^2*y + 0.008 y^2*x + -13.056 sin(x) + 37.087 cos(x) + -23.495 cos(y) + -0.266 tan(x) + 0.177 tan(y) + 1.802 cot(x) + 0.465 cot(y) + 449.702 cos(y)/(x) + 3.272 sin(y)/(x) + -536.016 cos(x)/(y) + 272.921 sin(x)/(y) + -28.919 sin^2(y) * sin(x) + 27.953 cos^2(x) * sin(y) + -10.757 cos^2(y) * sin(x) + -0.507 sin(x) * cot(y) + 0.843 sin(y) * cot(x) + 0.433 cos(x) * cot(y) + -4.295 cos(y) * cot(x)']]	sindy	all	e1	strogatz	7.932405710220337
3	bacres	inf	1	8.705737629498696	8.705737629498696	[['11.893 1 + -0.002 x^3 + -5.398 x/y + -0.122 sin(y) + 2.021 sin(y)/(x) + 0.068 cos^2(y) * sin(x) + 0.002 sin(x) * cot(y)', '-22.785 1 + -14.664 x + 1.770 y + 0.358 x^2 + -0.008 y^2 + 178.642 x/y + 0.966 y/x + 0.004 x^2*y + -0.035 sin(y) + 0.063 cos(x) + 0.057 cos(y) + -0.830 cos(y)/(x) + 0.623 sin(y)/(x) + -0.751 cos(x)/(y) + -0.052 sin(x)/(y) + -0.014 sin^2(y) * sin(x) + -0.001 sin^2(x) * sin(y)']]	sindy	all	e1	strogatz	8.501112699508667
4	bacres	30	1	5.615848421073768	5.700870686546297	[['12.787 1 + -0.002 x^3 + -6.071 x/y + 2.652 cos(x) + 0.804 cos(y) + -0.014 tan(x) + 0.090 tan(y) + 0.025 cot(x) + 0.087 cot(y) + 1.643 sin(y)/(x) + -87.963 cos(x)/(y) + -8.152 sin(x)/(y) + -1.500 sin^2(y) * sin(x) + -1.611 cos^2(y) * sin(x) + -0.135 sin(x) * cot(y) + -0.146 sin(y) * cot(x) + 0.161 cos(x) * cot(y) + -0.060 cos(y) * cot(x)', '-6.975 x + 19.806 y + -0.262 y^2 + 0.007 x^3 + 0.003 y^3 + -0.926 x*y + -53.214 y/x + 0.027 x^2*y + 3.815 sin(x) + -1.464 sin(y) + -5.070 cos(x) + -0.006 tan(x) + 0.021 tan(y) + 0.177 cot(x) + 0.373 cot(y) + 10.856 cos(y)/(x) + 80.441 sin(y)/(x) + 136.214 cos(x)/(y) + -111.362 sin(x)/(y) + -5.407 cos^2(x) * sin(y) + 3.071 cos^2(y) * sin(x) + -1.636 sin(x) * cot(y) + 0.075 sin(y) * cot(x) + -0.474 cos(x) * cot(y) + -0.160 cos(y) * cot(x)']]	sindy	all	e1	strogatz	8.66563081741333
5	bacres	13	1	18.24342622044717	26.826460553894506	[['41.362 1 + -0.323 y + 0.003 x^3 + -0.052 x*y + -36.417 x/y + -1.432 y/x + 0.001 y^2*x + 4.995 cos(x) + 6.139 cos(y) + 0.507 tan(x) + 0.446 tan(y) + -0.333 cot(x) + -0.060 cot(y) + 5.931 cos(y)/(x) + -1.403 sin(y)/(x) + -334.233 cos(x)/(y) + 117.741 sin(x)/(y) + -2.182 sin^2(y) * sin(x) + -7.419 sin^2(x) * sin(y) + 0.043 cos^2(x) * sin(y) + 4.654 cos^2(y) * sin(x) + -0.295 sin(x) * cot(y) + 0.429 sin(y) * cot(x) + -0.238 cos(x) * cot(y) + 0.218 cos(y) * cot(x)', '123.844 1 + -0.195 x + -9.254 y + 0.134 y^2 + -0.046 x^3 + -1.784 x/y + 11.269 y/x + 0.043 x^2*y + -0.010 y^2*x + 32.717 cos(x) + -14.512 cos(y) + 0.015 tan(x) + 1.917 tan(y) + 1.865 cot(x) + 0.533 cot(y) + 168.358 cos(y)/(x) + 86.545 sin(y)/(x) + -361.446 cos(x)/(y) + -113.890 sin(x)/(y) + -12.355 sin^2(y) * sin(x) + -10.932 sin^2(x) * sin(y) + 22.428 cos^2(x) * sin(y) + 16.350 cos^2(y) * sin(x) + -0.694 sin(x) * cot(y) + 5.899 cos(x) * cot(y) + -2.436 cos(y) * cot(x)']]	sindy	all	e1	strogatz	7.466653823852539
6	bacres	inf	2	9.329709899253377	9.329709899253377	[['-0.002 x^3 + 11.432 x/y + 2.654 sin(y) + -1.278 cos(x) + 0.197 cos(y) + 0.005 tan(x) + -0.002 tan(y) + -37.054 sin(y)/(x) + 19.124 cos(x)/(y) + -5.549 sin(x)/(y)', '9.398 x/y + 0.250 sin(x) + -0.964 cos(x) + 16.418 cos(x)/(y)']]	sindy	all	e1	strogatz	8.448609113693237
7	bacres	30	2	9.089072339162318	9.422418212045097	[['1292.945 1 + -296.157 x + 202.113 y + 22.186 x^2 + -0.548 x^3 + -15.240 x*y + 18.462 x/y + -880.063 y/x + 0.378 x^2*y + 7.842 sin(x) + 9.270 sin(y) + -9.834 cos(x) + 0.036 cos(y) + 0.206 tan(x) + -0.087 tan(y) + -0.033 cot(x) + 0.125 cot(y) + -106.397 sin(y)/(x) + 206.932 cos(x)/(y) + -198.906 sin(x)/(y) + -2.608 sin^2(y) * sin(x) + 4.001 sin^2(x) * sin(y) + -0.036 sin(x) * cot(y) + 0.080 sin(y) * cot(x) + 0.193 cos(x) * cot(y) + 0.006 cos(y) * cot(x)', '-30.878 y + -0.002 x^3 + 2.725 x*y + 16.074 x/y + 109.187 y/x + -0.077 x^2*y + -11.690 sin(x) + -5.957 cos(x) + 0.189 cos(y) + -0.115 tan(x) + 0.242 tan(y) + -0.025 cot(x) + 0.100 cot(y) + 35.251 sin(y)/(x) + 86.375 cos(x)/(y) + 212.135 sin(x)/(y) + 6.521 sin^2(y) * sin(x) + -3.950 cos^2(x) * sin(y) + -4.287 cos^2(y) * sin(x) + 0.328 sin(x) * cot(y) + 0.262 cos(x) * cot(y) + -0.059 cos(y) * cot(x)']]	sindy	all	e1	strogatz	8.486201763153076
8	bacres	13	2	4.160764700168257	5.752979169219717	[['1.083 x + 0.012 y^2 + 4.540 x/y + -7.158 y/x + -0.002 x^2*y + 1.380 cos(x) + 22.445 cos(y) + -0.019 tan(x) + -0.146 tan(y) + 0.300 cot(x) + -0.114 cot(y) + -304.344 cos(y)/(x) + -30.754 sin(y)/(x) + -72.240 cos(x)/(y) + -15.128 sin(x)/(y) + 3.111 sin^2(y) * sin(x) + 0.917 sin^2(x) * sin(y) + -3.382 cos^2(x) * sin(y) + -2.390 cos^2(y) * sin(x) + 0.041 sin(x) * cot(y) + -0.264 sin(y) * cot(x) + -0.020 cos(x) * cot(y) + 0.455 cos(y) * cot(x)', '-18.712 1 + 0.528 x^2 + -0.006 x^3 + 0.010 x*y + -26.062 x/y + -1.709 y/x + -0.016 x^2*y + 0.004 y^2*x + 0.964 sin(y) + -9.012 cos(x) + 5.946 cos(y) + 0.843 tan(x) + -0.664 tan(y) + -0.896 cot(x) + -2.219 cot(y) + -66.463 cos(y)/(x) + -17.814 sin(y)/(x) + 405.780 cos(x)/(y) + 97.362 sin(x)/(y) + -33.863 sin^2(x) * sin(y) + -5.511 cos^2(x) * sin(y) + 24.942 cos^2(y) * sin(x) + 1.117 sin(x) * cot(y) + -2.381 sin(y) * cot(x) + 2.195 cos(x) * cot(y) + -2.462 cos(y) * cot(x)']]	sindy	all	e1	strogatz	8.37154507637024
9	bacres	inf	3	0.15452336082617735	0.15452336082617735	[['-0.002 x^3 + 11.137 x/y + 2.550 sin(y) + -1.020 cos(x) + 0.110 cos(y) + -35.678 sin(y)/(x) + 18.009 cos(x)/(y) + 0.017 cos^2(x) * sin(y)', '0.101 x + 8.339 x/y + 0.219 sin(x) + -0.910 cos(x) + 15.580 cos(x)/(y)']]	sindy	all	e1	strogatz	8.432759046554565
