  index    complexity    length        TE    TE_inf  expr_x                 expr_y                                                                         index_column  method    data_version    system      snr    init
     64            30       201  0.944901  0.800261  x2*(3.068 - 0.471*x1)  (x1 - 3.688)*(0.006*x1*x2*(cos(2*x1*(1.093 - x1)) - 4.309) - 0.071) + 0.266              64  dso       all             barmag       30       3
     56            18       124  1.01785   0.864952  x2*(3.068 - 0.471*x1)  x2*(x2 - 0.769)*(x1 + 1.693*x2 - 6.404)                                                  56  dso       all             barmag       30       3
     55            17       116  1.03291   0.878993  x2*(3.068 - 0.471*x1)  -0.208*cos(0.734*x1 + 1.266*x2)                                                          55  dso       all             barmag       30       3
     53            16       118  1.04099   0.888765  x2*(3.068 - 0.471*x1)  x1*(-0.037*x2 - 0.127) + 0.81                                                            53  dso       all             barmag       30       3
     54            15        98  1.13306   0.989391  x2*(3.068 - 0.471*x1)  -0.205*cos(0.753*x1 + x2)                                                                54  dso       all             barmag       30       3
     28            14       114  1.23156   1.07008   0.979 - 0.145*x1       x1*(-0.037*x2 - 0.127) + 0.81                                                            28  dso       all             barmag       30       3
     29            13        94  1.32591   1.16974   0.979 - 0.145*x1       -0.205*cos(0.753*x1 + x2)                                                                29  dso       all             barmag       30       3
     51            12        89  1.52905   1.40787   x2*(3.068 - 0.471*x1)  0.831 - 0.145*x1                                                                         51  dso       all             barmag       30       3
     26            10        85  2.03402   1.89289   0.979 - 0.145*x1       0.831 - 0.145*x1                                                                         26  dso       all             barmag       30       3
     25             8        66  3.35233   3.21722   0.979 - 0.145*x1       0.018*x2                                                                                 25  dso       all             barmag       30       3
      0             6        44  4.27071   4.26919   0.407*x2               0.018*x2                                                                                  0  dso       all             barmag       30       3
