	index	complexity	length	TE	TE_inf	expr_x	expr_y	index_column	method	data_version	system	snr	init
19	251	60	430	0.0009351168897116925	0.0009351168897116925	0.458*x1 - 0.426*x2 + (-0.163*x2 - 0.055*sin(x2 - 1.316))*cos(x1 - 1.348)	-0.036*x1*x2 - 0.036*x1 - x2*(0.213*x2 - cos(2.719*x2 + 0.046) + cos(0.019*x1 + 2.708*x2 + 0.031) - 2.199) + 0.036*cos(x1) - 3.517	251	dso	all	barmag	inf	0
20	327	52	381	0.0009560945794690633	0.0009560945794690633	-0.556*x1 + 0.135*x2 + (-0.024*x2 + 0.135*sin(x1 - 2*x2 + 1.708))*(3.386*x1 - 2*x2 - 4.341) + 0.135*cos(x1) + 2.485	0.011*x1*x2*(x2 - 3.67) - 0.562*x1 + 1.145*sin(x2 + 2.983) + 2.259	327	dso	all	barmag	inf	0
18	250	49	351	0.0009881544658693988	0.0009881544658693988	0.458*x1 - 0.426*x2 + (-0.163*x2 - 0.055*sin(x2 - 1.316))*cos(x1 - 1.348)	-0.033*x1**2 - (cos(0.55*x1 + 3.308) - 0.356)*sin(x2) + 0.033*cos(2.769*x2 - 8.063) + 1.385	250	dso	all	barmag	inf	0
16	207	42	317	0.001036647005305372	0.001036647005305372	0.372*x1 - 0.151*x2*cos(x1 - 1.514) - 0.475*x2 + 0.673	-0.193*x1**2 + x2 + 0.193*cos(2.215*x2 - 11.509) - cos(1.958*x1 - 1.495*x2 + 12.428) + 0.339	207	dso	all	barmag	inf	0
17	243	40	298	0.0010913713197965827	0.0010913713197965827	0.458*x1 - 0.426*x2 + (-0.163*x2 - 0.055*sin(x2 - 1.316))*cos(x1 - 1.348)	0.011*x1*x2*(x2 - 3.67) - 0.562*x1 + 1.145*sin(x2 + 2.983) + 2.259	243	dso	all	barmag	inf	0
15	201	33	268	0.0011825913474244444	0.0011825913474244444	0.372*x1 - 0.151*x2*cos(x1 - 1.514) - 0.475*x2 + 0.673	0.011*x1*x2*(x2 - 3.67) - 0.562*x1 + 1.145*sin(x2 + 2.983) + 2.259	201	dso	all	barmag	inf	0
13	180	31	241	0.0019043499849204	0.0019043499849204	3.432*x1 + 0.239*x2*(-2.521*x1 + x2) - 7.164	0.011*x1*x2*(x2 - 3.67) - 0.562*x1 + 1.145*sin(x2 + 2.983) + 2.259	180	dso	all	barmag	inf	0
12	178	30	229	0.002148306672322211	0.002148306672322211	3.432*x1 + 0.239*x2*(-2.521*x1 + x2) - 7.164	(0.363*x1 + 0.279*x2 - 2.765)*cos(0.976*x2 + 2.74) + 1.191	178	dso	all	barmag	inf	0
14	197	27	212	0.0026220649051420055	0.0026220649051420055	0.372*x1 - 0.151*x2*cos(x1 - 1.514) - 0.475*x2 + 0.673	(0.39*x1 - 1.318)*cos(1.362*x2) + 0.899	197	dso	all	barmag	inf	0
11	176	25	185	0.003050959021348853	0.003050959021348853	3.432*x1 + 0.239*x2*(-2.521*x1 + x2) - 7.164	(0.39*x1 - 1.318)*cos(1.362*x2) + 0.899	176	dso	all	barmag	inf	0
10	175	24	171	0.006697072793927688	0.006697072793927688	3.432*x1 + 0.239*x2*(-2.521*x1 + x2) - 7.164	-0.341*x1 + 0.354*x2 - 1.012*sin(x2)	175	dso	all	barmag	inf	0
9	174	23	169	0.013891371315343792	0.013891371315343792	3.432*x1 + 0.239*x2*(-2.521*x1 + x2) - 7.164	(0.946*x1 - 5.412)*sin(x1) + 0.053	174	dso	all	barmag	inf	0
8	173	21	149	0.02273196581262813	0.02273196581262813	3.432*x1 + 0.239*x2*(-2.521*x1 + x2) - 7.164	(x1 - 5.644)*sin(x1) + 0.086	173	dso	all	barmag	inf	0
7	92	20	157	0.03289275880028883	0.03289275880028883	-0.671*cos(0.933*x1 - 0.858)	(0.39*x1 - 1.318)*cos(1.362*x2) + 0.899	92	dso	all	barmag	inf	0
6	90	18	141	0.03395657727155021	0.03395657727155021	-0.671*cos(0.933*x1 - 0.858)	(0.946*x1 - 5.412)*sin(x1) + 0.053	90	dso	all	barmag	inf	0
5	69	16	120	0.039243820031410234	0.039243820031410234	0.651*cos(x1 + 1.892)	(0.946*x1 - 5.412)*sin(x1) + 0.053	69	dso	all	barmag	inf	0
4	68	14	100	0.04929543814281476	0.04929543814281476	0.651*cos(x1 + 1.892)	(x1 - 5.644)*sin(x1) + 0.086	68	dso	all	barmag	inf	0
3	66	12	93	0.06700978019457471	0.06700978019457471	0.651*cos(x1 + 1.892)	0.959 - 1.043*cos(x1)	66	dso	all	barmag	inf	0
2	63	11	68	0.14099949274907334	0.14099949274907334	0.651*cos(x1 + 1.892)	6.621 - x2	63	dso	all	barmag	inf	0
1	21	10	64	0.179917099658148	0.179917099658148	2.818 - 0.469*x1	6.621 - x2	21	dso	all	barmag	inf	0
0	0	8	43	1.5676113465962709	1.5676113465962709	0.025*x2	6.621 - x2	0	dso	all	barmag	inf	0
