  index    complexity    length       TE    TE_inf  expr_x                           expr_y                                                                                                  index_column  method    data_version    system      snr    init
     56            39       250  2.02801   2.33159  1.867*x1*(x2 - 0.323)            sin(6.202*x1 + 6.202*x2*(-x1*(0.902*x1*(0.169*x1 - x2 + 1.438) - x1) - 0.702*x1 + x2 - 0.15) - 7.02)              56  dso       allonger        barmag       13       3
     55            36       231  2.02803   2.33444  1.867*x1*(x2 - 0.323)            sin(5.925*x1 + 5.925*x2*(-0.926*x1*(x1*(0.158*x1 - x2 + 1.609) - x1) + x1 + x2 - 3.882) - 5.687)                  55  dso       allonger        barmag       13       3
     49            23       147  2.03154   2.46946  1.867*x1*(x2 - 0.323)            0.767*sin(1.015*x1*(x1**2 + 9.216*x2) - 37.76*x2)                                                                 49  dso       allonger        barmag       13       3
     29            22       129  2.1338    3.37609  x1*(x2 - 0.317)                  0.767*sin(1.015*x1*(x1**2 + 9.216*x2) - 37.76*x2)                                                                 29  dso       allonger        barmag       13       3
    106            21       115  2.1442    3.26843  x1*cos(x1*(x1 + 1.992) - 3.163)  sin(0.125*x2*(-x1 - 528.556*x2))                                                                                 106  dso       allonger        barmag       13       3
     27            17       108  2.14951   3.15016  x1*(x2 - 0.317)                  sin(4.459*x2*(x1 + 4.509)*(2*x2 - 0.388))                                                                         27  dso       allonger        barmag       13       3
     26            16        87  2.16061   3.2934   x1*(x2 - 0.317)                  sin(0.125*x2*(-x1 - 528.556*x2))                                                                                  26  dso       allonger        barmag       13       3
     21            10        74  2.3056    4.14415  x1*(x2 - 0.317)                  0.141 - 0.022*x1                                                                                                  21  dso       allonger        barmag       13       3
      1             8        68  2.46366   3.67826  x2 - 0.275                       0.141 - 0.022*x1                                                                                                   1  dso       allonger        barmag       13       3
      0             6        45  3.03949   6.13912  x2 - 0.275                       0.04*x2                                                                                                            0  dso       allonger        barmag       13       3
