	index	complexity	length	TE	TE_inf	expr_x	expr_y	index_column	method	data_version	system	snr	init
19	191	68	478	0.00015189687191946496	0.00015189687191946496	-0.111*x1*(-0.028*x1*(sin(x2) + 0.421) - x2**2*sin(1.065*x1 - 3.33)) + 0.428*sin(1.112*x1 + 1.236*x2 - 3.713)	-0.22*x1*x2 + 0.697*cos(0.933*x1)*cos((0.332 - 0.279*x2)*(x1 + x2*(x2 + 1.49))) - 0.697*cos(0.571*x1 + 0.483) - 0.099	191	dso	allonger	barmag	inf	2
18	167	66	480	0.00019492826552249535	0.00019492826552249535	-0.158*x1*sin(x1 + 0.791) + (0.271*x2 - 0.448)*(-sin(x1 - x2 + 0.969) - 0.808) - 0.271*sin(x2 + 2.214) + 0.191	-0.22*x1*x2 + 0.697*cos(0.933*x1)*cos((0.332 - 0.279*x2)*(x1 + x2*(x2 + 1.49))) - 0.697*cos(0.571*x1 + 0.483) - 0.099	167	dso	allonger	barmag	inf	2
17	155	57	432	0.0002849914445421434	0.0002849914445421434	-0.357*sin(0.209*x1 - 1.436*x2 + 0.251) - 0.808*sin(0.793*x1 + 0.996*x2 + 0.82)	-0.22*x1*x2 + 0.697*cos(0.933*x1)*cos((0.332 - 0.279*x2)*(x1 + x2*(x2 + 1.49))) - 0.697*cos(0.571*x1 + 0.483) - 0.099	155	dso	allonger	barmag	inf	2
16	153	52	386	0.0005633587120508644	0.0005633587120508644	-0.357*sin(0.209*x1 - 1.436*x2 + 0.251) - 0.808*sin(0.793*x1 + 0.996*x2 + 0.82)	0.524*x2*cos(x1) + 0.966*x2*cos(x2*(x2 - 0.456) - x2 + 4.159) - 0.221*cos(1.53*x1 - 4.168) + 0.124	153	dso	allonger	barmag	inf	2
15	152	50	365	0.0011377376595169113	0.0011377376595169113	-0.357*sin(0.209*x1 - 1.436*x2 + 0.251) - 0.808*sin(0.793*x1 + 0.996*x2 + 0.82)	-0.059*x1*cos(x2 - (0.932 - 0.243*x2)*(x1 + x2*(x1 + x2 - 5.089)) + 0.672) - 0.928*x2 + 0.182	152	dso	allonger	barmag	inf	2
10	129	47	328	0.0012135661959231507	0.0012135661959231507	0.07*x1*sin(x1 - 2.494) + x2*(0.941 - 0.038*x1**2) + 0.28	0.524*x2*cos(x1) + 0.966*x2*cos(x2*(x2 - 0.456) - x2 + 4.159) - 0.221*cos(1.53*x1 - 4.168) + 0.124	129	dso	allonger	barmag	inf	2
14	140	45	320	0.0012336022721894746	0.0012336022721894746	sin(1.164*x1 + 4.166) + 1.134*sin(1.14*x1 + 0.594*x2 - 4.942)	-0.059*x1*cos(x2 - (0.932 - 0.243*x2)*(x1 + x2*(x1 + x2 - 5.089)) + 0.672) - 0.928*x2 + 0.182	140	dso	allonger	barmag	inf	2
13	139	40	285	0.0019861794982764898	0.0019861794982764898	sin(1.164*x1 + 4.166) + 1.134*sin(1.14*x1 + 0.594*x2 - 4.942)	-0.875*x2 - 0.29*cos(0.057*x1*(6.041 - x2) + x1 - x2 + 3.068) + 0.169	139	dso	allonger	barmag	inf	2
12	138	39	304	0.0020163802946967808	0.0020163802946967808	sin(1.164*x1 + 4.166) + 1.134*sin(1.14*x1 + 0.594*x2 - 4.942)	-0.877*x2 + 0.287*cos(x2 - (1.346 - 0.057*x2)*(x1 + 0.521) + 7.043) + 0.173	138	dso	allonger	barmag	inf	2
11	137	33	235	0.006176929011317273	0.006176929011317273	sin(1.164*x1 + 4.166) + 1.134*sin(1.14*x1 + 0.594*x2 - 4.942)	-0.832*x2 + 0.328*cos(1.296*x1 - x2) + 0.109	137	dso	allonger	barmag	inf	2
9	113	29	198	0.009802307980849093	0.009802307980849093	sin(x2)*sin(1.258*x1 + 0.821*x2 - 4.649) + 0.009	-0.832*x2 + 0.328*cos(1.296*x1 - x2) + 0.109	113	dso	allonger	barmag	inf	2
7	77	28	195	0.02899113669532658	0.02899113669532658	x2*(-0.309*x1*(x1 - 7.647) - 0.883*x2 - 2.769)	-0.832*x2 + 0.328*cos(1.296*x1 - x2) + 0.109	77	dso	allonger	barmag	inf	2
8	112	27	212	0.03416830868441566	0.03416830868441566	sin(x2)*sin(1.258*x1 + 0.821*x2 - 4.649) + 0.009	2.02*x1 - 2.02*cos(1.012*x1 - 0.923) - 11.278	112	dso	allonger	barmag	inf	2
6	76	26	209	0.03709983748517212	0.03709983748517212	x2*(-0.309*x1*(x1 - 7.647) - 0.883*x2 - 2.769)	2.02*x1 - 2.02*cos(1.012*x1 - 0.923) - 11.278	76	dso	allonger	barmag	inf	2
5	53	25	167	0.04754753213722693	0.04754753213722693	-x1*(0.057*x2 + 0.535) + 3.315	-0.832*x2 + 0.328*cos(1.296*x1 - x2) + 0.109	53	dso	allonger	barmag	inf	2
4	40	23	182	0.05262651402832806	0.05262651402832806	-x1*(0.057*x2 + 0.535) + 3.315	2.02*x1 - 2.02*cos(1.012*x1 - 0.923) - 11.278	40	dso	allonger	barmag	inf	2
3	38	19	142	0.11206552846949139	0.11206552846949139	-x1*(0.057*x2 + 0.535) + 3.315	(x1 - 6.258)*(x2 - 0.607) - 0.096	38	dso	allonger	barmag	inf	2
2	26	14	114	0.11889461195007767	0.11889461195007767	2.747 - 0.457*x1	(x1 - 6.258)*(x2 - 0.607) - 0.096	26	dso	allonger	barmag	inf	2
1	12	10	66	0.6617138822706473	0.6617138822706473	2.747 - 0.457*x1	0.337 - x2	12	dso	allonger	barmag	inf	2
0	0	8	46	1.7856938860017828	1.7856938860017828	x2 - 0.282	0.337 - x2	0	dso	allonger	barmag	inf	2
