  complexity    length          TE      TE_inf  expr_x                                                                    expr_y                                                              index_column  method    exp_type    data_version    system      snr    init
          16        34  0.0308946   0.0308946   0.424*cos(1.412*x) + 0.237                                                0.694*cos(1.561*x) + 0.668                                                     0  proged    numdif      all             barmag      inf       0
          19        41  0.0192043   0.0192043   0.424*cos(1.412*x) + 0.237                                                0.589 - 0.672*sin(0.14*x*y + 1.913)                                            1  proged    numdif      all             barmag      inf       0
          17        36  0.0249025   0.0249025   0.424*cos(1.412*x) + 0.237                                                0.59 - 0.647*cos(0.15*x*y)                                                     2  proged    numdif      all             barmag      inf       0
          14        29  0.0547394   0.0547394   -0.637*sin(1.055*x)                                                       0.694*cos(1.561*x) + 0.668                                                     3  proged    numdif      all             barmag      inf       0
          12        24  0.0914512   0.0914512   -0.637*sin(1.055*x)                                                       -1.243*sin(0.947*y)                                                            4  proged    numdif      all             barmag      inf       0
          15        31  0.0489105   0.0489105   -0.637*sin(1.055*x)                                                       0.59 - 0.647*cos(0.15*x*y)                                                     5  proged    numdif      all             barmag      inf       0
          21        44  0.0154426   0.0154426   0.357*sin(0.019*x**3) + 0.304                                             0.589 - 0.672*sin(0.14*x*y + 1.913)                                            6  proged    numdif      all             barmag      inf       0
          22        46  0.0124199   0.0124199   0.661*sin(0.011*x**2*y + 0.538)                                           0.589 - 0.672*sin(0.14*x*y + 1.913)                                            7  proged    numdif      all             barmag      inf       0
          23        46  0.00952072  0.00952072  0.661*sin(0.011*x**2*y + 0.538)                                           0.755*cos(0.574*x + 0.784*y) + 0.497                                           8  proged    numdif      all             barmag      inf       0
          33        74  0.00134567  0.00134567  0.376*sin(0.549*y) + 0.756*sin(0.011*x**2*y) - 0.156                      -3.679*sin(0.16*x) + 0.415*cos(1.478*y - 1.322) + 3.215                        9  proged    numdif      all             barmag      inf       0
          36        81  0.00116823  0.00116823  0.376*sin(0.549*y) + 0.756*sin(0.011*x**2*y) - 0.156                      0.045*cos(2.41*y) - 0.835*cos(0.451*x + 0.686*y + 4.218) + 0.386              10  proged    numdif      all             barmag      inf       0
          37        84  0.00109705  0.00109705  -0.327*cos(1.82*x) - 0.811*cos(0.044*y**2 - 3.019) + 0.344                0.045*cos(2.41*y) - 0.835*cos(0.451*x + 0.686*y + 4.218) + 0.386              11  proged    numdif      all             barmag      inf       0
          26        53  0.00590161  0.00590161  -0.682*cos(0.953*y) - 1.115*cos(0.102*x*y)                                0.755*cos(0.574*x + 0.784*y) + 0.497                                          12  proged    numdif      all             barmag      inf       0
          41        93  0.00100283  0.00100283  -0.795*cos(0.751*x) + 0.047*cos(-0.916*x**2 + 0.683*x*y + 1.505) - 0.142  0.045*cos(2.41*y) - 0.835*cos(0.451*x + 0.686*y + 4.218) + 0.386              13  proged    numdif      all             barmag      inf       0
          27        53  0.00324982  0.00324982  -1.563*sin(0.01*x*y**2 - 0.48*y) - 0.847                                  0.755*cos(0.574*x + 0.784*y) + 0.497                                          14  proged    numdif      all             barmag      inf       0
          31        66  0.00157188  0.00157188  -1.563*sin(0.01*x*y**2 - 0.48*y) - 0.847                                  -3.679*sin(0.16*x) + 0.415*cos(1.478*y - 1.322) + 3.215                       15  proged    numdif      all             barmag      inf       0
          30        61  0.00232475  0.00232475  -1.563*sin(0.01*x*y**2 - 0.48*y) - 0.847                                  0.47*sin(1.411*y + 0.698) + 1.525*cos(0.236*x)                                16  proged    numdif      all             barmag      inf       0
          34        73  0.00130944  0.00130944  -1.563*sin(0.01*x*y**2 - 0.48*y) - 0.847                                  0.045*cos(2.41*y) - 0.835*cos(0.451*x + 0.686*y + 4.218) + 0.386              17  proged    numdif      all             barmag      inf       0
          25        51  0.00836357  0.00836357  0.6269                                                                    0.755*cos(0.574*x + 0.784*y) + 0.497                                          18  proged    numdif      all             barmag      inf       0
          13        26  0.0864847   0.0864847   -0.736*cos(0.788*x)                                                       -1.243*sin(0.947*y)                                                           19  proged    numdif      all             barmag      inf       0
