  complexity    length          TE      TE_inf  expr_x                                                      expr_y                                                           index_column  method    exp_type    data_version    system      snr    init
          21        44  0.0636577   0.0636577   0.851*sin(0.59*x) + 0.309                                   0.398*sin(1.479*x) - 5.0*sin(0.149*y)                                       0  proged    numdif      all             barmag      inf       2
          14        29  0.262408    0.262408    -0.754*cos(0.796*x)                                         -2.544*cos(0.565*x) - 2.538                                                 1  proged    numdif      all             barmag      inf       2
          12        24  0.925448    0.925448    -0.754*cos(0.796*x)                                         -1.029*cos(0.268*x)                                                         2  proged    numdif      all             barmag      inf       2
          18        37  0.182242    0.182242    -0.754*cos(0.796*x)                                         -0.418*cos(3.549*y**2 + 2.5) - 0.436                                        3  proged    numdif      all             barmag      inf       2
          19        39  0.114445    0.114445    -0.754*cos(0.796*x)                                         0.398*sin(1.479*x) - 5.0*sin(0.149*y)                                       4  proged    numdif      all             barmag      inf       2
          32        69  0.00934501  0.00934501  1.092*sin(0.522*x) + 0.078*cos(0.932*x*y)                   -0.794*sin(1.203*y**3) - 0.107*cos(2.505*x + 2.516) + 0.03                  5  proged    numdif      all             barmag      inf       2
          34        71  0.00676196  0.00676196  1.092*sin(0.522*x) + 0.078*cos(0.932*x*y)                   -1.959*cos(0.566*x) - 0.246*cos(0.706*x + 3.067*y**2) - 1.972               6  proged    numdif      all             barmag      inf       2
          30        64  0.0103045   0.0103045   1.133*sin(0.53*x) + 0.085*cos(3.786*y)                      0.305*sin(1.481*x) - 0.658*sin(0.301*x*y**3) - 0.154                        7  proged    numdif      all             barmag      inf       2
          31        67  0.0096223   0.0096223   1.133*sin(0.53*x) + 0.085*cos(3.786*y)                      -0.794*sin(1.203*y**3) - 0.107*cos(2.505*x + 2.516) + 0.03                  8  proged    numdif      all             barmag      inf       2
          33        69  0.0092913   0.0092913   1.133*sin(0.53*x) + 0.085*cos(3.786*y)                      -1.959*cos(0.566*x) - 0.246*cos(0.706*x + 3.067*y**2) - 1.972               9  proged    numdif      all             barmag      inf       2
          24        52  0.0319315   0.0319315   0.54*cos(0.013*x**3) + 0.495                                -1.113*sin(0.78*x) + 0.169*cos(2.665*x) - 0.962                            10  proged    numdif      all             barmag      inf       2
          23        47  0.0447581   0.0447581   0.54*cos(0.013*x**3) + 0.495                                0.398*sin(1.479*x) - 5.0*sin(0.149*y)                                      11  proged    numdif      all             barmag      inf       2
          27        57  0.016578    0.016578    0.54*cos(0.013*x**3) + 0.495                                0.305*sin(1.481*x) - 0.658*sin(0.301*x*y**3) - 0.154                       12  proged    numdif      all             barmag      inf       2
          38        81  0.00491896  0.00491896  -0.502*sin(1.122*x) - 0.103*sin(4.904*y - 1.057) + 0.269    0.404*sin(1.383*x) + 0.641*sin(0.583*x + 1.12*y**3 + 0.873*y)              13  proged    numdif      all             barmag      inf       2
          37        78  0.00556792  0.00556792  1.258*sin(0.491*x) + 0.05*sin(1.47*x*y) - 0.267             0.404*sin(1.383*x) + 0.641*sin(0.583*x + 1.12*y**3 + 0.873*y)              14  proged    numdif      all             barmag      inf       2
          35        76  0.00664157  0.00664157  1.258*sin(0.491*x) + 0.05*sin(1.47*x*y) - 0.267             -1.959*cos(0.566*x) - 0.246*cos(0.706*x + 3.067*y**2) - 1.972              15  proged    numdif      all             barmag      inf       2
          22        46  0.0555293   0.0555293   0.357 - 0.581*cos(0.901*x)                                  0.398*sin(1.479*x) - 5.0*sin(0.149*y)                                      16  proged    numdif      all             barmag      inf       2
          25        53  0.0222841   0.0222841   1.113*sin(0.044*x*y + 0.511*x)                              -1.113*sin(0.78*x) + 0.169*cos(2.665*x) - 0.962                            17  proged    numdif      all             barmag      inf       2
          28        58  0.0125789   0.0125789   1.113*sin(0.044*x*y + 0.511*x)                              0.305*sin(1.481*x) - 0.658*sin(0.301*x*y**3) - 0.154                       18  proged    numdif      all             barmag      inf       2
          29        61  0.01195     0.01195     1.113*sin(0.044*x*y + 0.511*x)                              -0.794*sin(1.203*y**3) - 0.107*cos(2.505*x + 2.516) + 0.03                 19  proged    numdif      all             barmag      inf       2
          41        83  0.00370138  0.00370138  -0.117*sin(0.716*x - 3.647*y) - 0.768*sin(0.899*x + 0.895)  0.404*sin(1.383*x) + 0.641*sin(0.583*x + 1.12*y**3 + 0.873*y)              20  proged    numdif      all             barmag      inf       2
