  complexity    length          TE      TE_inf  expr_x                                                              expr_y                                                                index_column  method    exp_type    data_version    system      snr    init
          16        34  0.0876065   0.0876065   0.252 - 0.279*cos(2.019*x)                                          0.094 - 0.118*cos(2.148*x)                                                       0  proged    numdif      all             barmag      inf       3
          20        43  0.0296655   0.0296655   0.252 - 0.279*cos(2.019*x)                                          0.332*cos(0.155*x*y + 0.438*x + 5.0)                                             1  proged    numdif      all             barmag      inf       3
          19        41  0.0369548   0.0369548   0.252 - 0.279*cos(2.019*x)                                          -0.293*sin(0.563*x + 0.989*y - 3.612)                                            2  proged    numdif      all             barmag      inf       3
          14        29  0.137002    0.137002    -0.531*sin(1.057*x)                                                 0.094 - 0.118*cos(2.148*x)                                                       3  proged    numdif      all             barmag      inf       3
          12        24  0.514924    0.514924    -0.531*sin(1.057*x)                                                 0.31*sin(0.551*x)                                                                4  proged    numdif      all             barmag      inf       3
          17        36  0.0662652   0.0662652   -0.531*sin(1.057*x)                                                 -0.293*sin(0.563*x + 0.989*y - 3.612)                                            5  proged    numdif      all             barmag      inf       3
          13        26  0.508783    0.508783    -0.531*sin(1.057*x)                                                 0.603*cos(0.275*x)                                                               6  proged    numdif      all             barmag      inf       3
          30        64  0.00844241  0.00844241  0.093*sin(5.0*y + 1.292) + 0.496*cos(1.32*x)                        1.107*sin(0.365*x) + 1.08*cos(0.801*y + 2.343)                                   7  proged    numdif      all             barmag      inf       3
          34        76  0.00440795  0.00440795  0.093*sin(5.0*y + 1.292) + 0.496*cos(1.32*x)                        -0.023*cos(2.946*x) + 0.383*cos(0.387*x + 1.069*y - 0.772) + 0.108               8  proged    numdif      all             barmag      inf       3
          35        76  0.00323057  0.00323057  0.093*sin(5.0*y + 1.292) + 0.496*cos(1.32*x)                        -0.189*sin(1.062*x) + 0.103*cos(5.0*y) + 0.01*cos(2.335*x*y)                     9  proged    numdif      all             barmag      inf       3
          31        66  0.00785354  0.00785354  0.485*sin(1.284*x - 4.542) + 0.1*cos(0.804*x*y)                     1.107*sin(0.365*x) + 1.08*cos(0.801*y + 2.343)                                  10  proged    numdif      all             barmag      inf       3
          36        78  0.00271394  0.00271394  0.485*sin(1.284*x - 4.542) + 0.1*cos(0.804*x*y)                     -0.189*sin(1.062*x) + 0.103*cos(5.0*y) + 0.01*cos(2.335*x*y)                    11  proged    numdif      all             barmag      inf       3
          22        48  0.0290165   0.0290165   0.531*cos(1.127*x + 0.655*y + 0.898)                                -0.293*sin(0.563*x + 0.989*y - 3.612)                                           12  proged    numdif      all             barmag      inf       3
          23        47  0.0131008   0.0131008   0.254*sin(0.004*x**4) + 0.269                                       -0.285*sin(2.024*y) - 0.349*cos(0.711*x)                                        13  proged    numdif      all             barmag      inf       3
          26        55  0.0100224   0.0100224   0.254*sin(0.004*x**4) + 0.269                                       0.355 - 0.474*sin(1.11*y)                                                       14  proged    numdif      all             barmag      inf       3
          32        71  0.00636081  0.00636081  0.529*cos(0.104*x**2 + 0.818*y - 2.402)                             -0.023*cos(2.946*x) + 0.383*cos(0.387*x + 1.069*y - 0.772) + 0.108              15  proged    numdif      all             barmag      inf       3
          33        71  0.00509326  0.00509326  0.529*cos(0.104*x**2 + 0.818*y - 2.402)                             -0.189*sin(1.062*x) + 0.103*cos(5.0*y) + 0.01*cos(2.335*x*y)                    16  proged    numdif      all             barmag      inf       3
          39        88  0.00251353  0.00251353  0.447*cos(1.367*x) + 0.069*cos(-1.204*x + 4.884*y + 0.947) + 0.151  -0.189*sin(1.062*x) + 0.103*cos(5.0*y) + 0.01*cos(2.335*x*y)                    17  proged    numdif      all             barmag      inf       3
