	complexity	length	TE	TE_inf	expr_x	expr_y	index_column	method	exp_type	data_version	system	snr	init
0	16	34	0.03089458781249506	0.03089458781249506	0.424*cos(1.412*x) + 0.237	0.694*cos(1.561*x) + 0.668	0	proged	numdif	all	barmag	inf	0
1	19	41	0.019204289307491632	0.019204289307491632	0.424*cos(1.412*x) + 0.237	0.589 - 0.672*sin(0.14*x*y + 1.913)	1	proged	numdif	all	barmag	inf	0
2	17	36	0.024902527187357425	0.024902527187357425	0.424*cos(1.412*x) + 0.237	0.59 - 0.647*cos(0.15*x*y)	2	proged	numdif	all	barmag	inf	0
3	14	29	0.05473941741454457	0.05473941741454457	-0.637*sin(1.055*x)	0.694*cos(1.561*x) + 0.668	3	proged	numdif	all	barmag	inf	0
4	12	24	0.09145117665710606	0.09145117665710606	-0.637*sin(1.055*x)	-1.243*sin(0.947*y)	4	proged	numdif	all	barmag	inf	0
5	15	31	0.04891048121772748	0.04891048121772748	-0.637*sin(1.055*x)	0.59 - 0.647*cos(0.15*x*y)	5	proged	numdif	all	barmag	inf	0
6	21	44	0.015442622892732037	0.015442622892732037	0.357*sin(0.019*x**3) + 0.304	0.589 - 0.672*sin(0.14*x*y + 1.913)	6	proged	numdif	all	barmag	inf	0
7	22	46	0.012419946066601847	0.012419946066601847	0.661*sin(0.011*x**2*y + 0.538)	0.589 - 0.672*sin(0.14*x*y + 1.913)	7	proged	numdif	all	barmag	inf	0
8	23	46	0.009520722591609895	0.009520722591609895	0.661*sin(0.011*x**2*y + 0.538)	0.755*cos(0.574*x + 0.784*y) + 0.497	8	proged	numdif	all	barmag	inf	0
9	33	74	0.0013456650182510413	0.0013456650182510413	0.376*sin(0.549*y) + 0.756*sin(0.011*x**2*y) - 0.156	-3.679*sin(0.16*x) + 0.415*cos(1.478*y - 1.322) + 3.215	9	proged	numdif	all	barmag	inf	0
10	36	81	0.0011682327394202303	0.0011682327394202303	0.376*sin(0.549*y) + 0.756*sin(0.011*x**2*y) - 0.156	0.045*cos(2.41*y) - 0.835*cos(0.451*x + 0.686*y + 4.218) + 0.386	10	proged	numdif	all	barmag	inf	0
11	37	84	0.0010970519161135504	0.0010970519161135504	-0.327*cos(1.82*x) - 0.811*cos(0.044*y**2 - 3.019) + 0.344	0.045*cos(2.41*y) - 0.835*cos(0.451*x + 0.686*y + 4.218) + 0.386	11	proged	numdif	all	barmag	inf	0
12	26	53	0.005901614165888259	0.005901614165888259	-0.682*cos(0.953*y) - 1.115*cos(0.102*x*y)	0.755*cos(0.574*x + 0.784*y) + 0.497	12	proged	numdif	all	barmag	inf	0
13	41	93	0.001002832594389916	0.001002832594389916	-0.795*cos(0.751*x) + 0.047*cos(-0.916*x**2 + 0.683*x*y + 1.505) - 0.142	0.045*cos(2.41*y) - 0.835*cos(0.451*x + 0.686*y + 4.218) + 0.386	13	proged	numdif	all	barmag	inf	0
14	27	53	0.0032498155604438906	0.0032498155604438906	-1.563*sin(0.01*x*y**2 - 0.48*y) - 0.847	0.755*cos(0.574*x + 0.784*y) + 0.497	14	proged	numdif	all	barmag	inf	0
15	31	66	0.001571877913867115	0.001571877913867115	-1.563*sin(0.01*x*y**2 - 0.48*y) - 0.847	-3.679*sin(0.16*x) + 0.415*cos(1.478*y - 1.322) + 3.215	15	proged	numdif	all	barmag	inf	0
16	30	61	0.002324750267426585	0.002324750267426585	-1.563*sin(0.01*x*y**2 - 0.48*y) - 0.847	0.47*sin(1.411*y + 0.698) + 1.525*cos(0.236*x)	16	proged	numdif	all	barmag	inf	0
17	34	73	0.0013094402862136498	0.0013094402862136498	-1.563*sin(0.01*x*y**2 - 0.48*y) - 0.847	0.045*cos(2.41*y) - 0.835*cos(0.451*x + 0.686*y + 4.218) + 0.386	17	proged	numdif	all	barmag	inf	0
18	25	51	0.008363570403332882	0.008363570403332882	0.6269	0.755*cos(0.574*x + 0.784*y) + 0.497	18	proged	numdif	all	barmag	inf	0
19	13	26	0.0864846868164602	0.0864846868164602	-0.736*cos(0.788*x)	-1.243*sin(0.947*y)	19	proged	numdif	all	barmag	inf	0
