  complexity    length       TE    TE_inf  expr_x                                                                  expr_y                               index_column  method    exp_type    data_version    system      snr    init
          12        24  3.99022  15.0186   5.0*sin(4.331*y)                                                        -5.0*sin(2.003*x)                               0  proged    numdif      allonger        barmag       13       0
          17        36  3.2111   10.8448   5.0*sin(4.331*y)                                                        -5.0*cos(4.786*x - 2.31*y + 1.78)               1  proged    numdif      allonger        barmag       13       0
          16        31  3.37268  11.5571   5.0*sin(4.331*y)                                                        -5.0*sin(4.473*x - 2.427*y)                     2  proged    numdif      allonger        barmag       13       0
          15        31  3.98063  15.0156   5.0*sin(4.331*y)                                                        -6.279*sin(2.003*x) - 0.008                     3  proged    numdif      allonger        barmag       13       0
          21        43  2.93733   9.10868  5.0*cos(0.764*x - 3.14*y)                                               -5.0*cos(4.786*x - 2.31*y + 1.78)               4  proged    numdif      allonger        barmag       13       0
          20        38  3.13118  10.0802   5.0*cos(0.764*x - 3.14*y)                                               -5.0*sin(4.473*x - 2.427*y)                     5  proged    numdif      allonger        barmag       13       0
          31        68  2.00733   2.1536   5.0*cos(0.794*x - 3.187*y) - 5.0*cos(4.276*y - 4.492) + 0.275           -5.0*cos(4.786*x - 2.31*y + 1.78)               6  proged    numdif      allonger        barmag       13       0
          18        38  3.21026  10.8405   6.089*sin(4.33*y)                                                       -5.0*cos(4.786*x - 2.31*y + 1.78)               7  proged    numdif      allonger        barmag       13       0
          32        73  2.0073    2.15305  5.0*sin(4.276*y + 0.222) - 5.0*cos(-0.793*x + 3.187*y + 3.132) + 0.275  -5.0*cos(4.786*x - 2.31*y + 1.78)               8  proged    numdif      allonger        barmag       13       0
          26        58  2.68103   8.29539  6.163*sin(4.337*y) - 5.0*cos(3.818*x) + 0.388                           -5.0*cos(4.786*x - 2.31*y + 1.78)               9  proged    numdif      allonger        barmag       13       0
          28        58  2.366     6.05935  5.0*sin(4.312*y) + 5.0*cos(0.794*x - 3.185*y)                           -5.0*cos(4.786*x - 2.31*y + 1.78)              10  proged    numdif      allonger        barmag       13       0
          27        53  2.4278    6.51614  5.0*sin(4.312*y) + 5.0*cos(0.794*x - 3.185*y)                           -5.0*sin(4.473*x - 2.427*y)                    11  proged    numdif      allonger        barmag       13       0
