system      snr    iinit           TE        TEinf  expr_model                                                                                                                                                                                                                                                                                                                                                                                                                                                                           method    data_version    exp_version    benchmark      duration
barmag      inf        0    0.249584     0.249584   [['-0.371 sin(x) + -0.306 sin(y) + -0.116 sin(x+y)', '-0.570 sin(x) + -0.664 sin(y)']]                                                                                                                                                                                                                                                                                                                                                                                               sindy     allonger        e2             strogatz     0.0400009
barmag       30        0   76.6067      91.477      [['0.503 1 + 2.846 sin(x) + 0.923 sin(y) + 2.770 cos(x) + -1.174 sin(x+y) + -3.111 cos(x+y) + -1.094 sin(x-y) + -0.432 cos(x-y) + 1.094 sin(y-x) + -0.432 cos(y-x)', '9.816 sin(x) + -0.140 sin(y) + -7.533 cos(y) + -5.240 sin(x+y) + -990345664715767.625 sin(x-y) + 652265077115215.750 cos(x-y) + -990345664715759.000 sin(y-x) + -652265077115210.125 cos(y-x)']]                                                                                                               sindy     allonger        e2             strogatz     0.734601
barmag       13        0  137.417      600.437      [['3.303 1 + 3.987 sin(x) + -2.383 sin(y) + -5.537 cos(x) + -3.046 cos(y) + -2.372 sin(x+y) + 3.167 cos(x+y) + 587880658577603.875 sin(x-y) + 2990334510692.682 cos(x-y) + 587880658577609.625 sin(y-x) + -2990334510694.474 cos(y-x)', '-0.560 1 + -5.341 sin(x) + -4.119 sin(y) + 0.831 cos(x) + 0.850 cos(y) + 1.477 sin(x+y) + 0.215 cos(x+y) + -7213461999987924.000 sin(x-y) + -36692250451533.977 cos(x-y) + -7213461999987929.000 sin(y-x) + 36692250451530.523 cos(y-x)']]  sindy     allonger        e2             strogatz     0.00999761
barmag      inf        1    0.0640438    0.0640438  [['-1.000 sin(x) + -157309789999.268 sin(x-y) + -157309789999.768 sin(y-x)', '0.362 sin(x) + -0.712 sin(x+y) + -118073402497.988 sin(x-y) + -118073402497.832 sin(y-x)']]                                                                                                                                                                                                                                                                                                            sindy     allonger        e2             strogatz     0.0203366
barmag       30        1    1.54085      1.76514    [['0.606 1 + -0.071 sin(x+y) + 0.252 sin(x-y) + -0.207 cos(x-y) + -0.252 sin(y-x) + -0.207 cos(y-x)', '0.516 sin(x) + 0.152 cos(y) + -0.438 sin(x+y)']]                                                                                                                                                                                                                                                                                                                              sindy     allonger        e2             strogatz     0.413619
barmag       13        1  191.759      475.805      [['2.302 1 + 9.667 sin(x) + 3.513 sin(y) + 22.858 cos(x) + -3.854 cos(y) + -15.493 sin(x+y) + -4.986 cos(x+y) + 3.847 sin(x-y) + -5.908 cos(x-y) + -3.847 sin(y-x) + -5.908 cos(y-x)', '1.829 sin(x) + -0.193 sin(y) + 0.702 cos(x) + 0.106 cos(y) + -1.228 sin(x+y) + 0.513 cos(x+y) + -7657240692955.582 sin(x-y) + 62159083399440.633 cos(x-y) + -7657240692955.295 sin(y-x) + -62159083399441.805 cos(y-x)']]                                                                    sindy     allonger        e2             strogatz     0.0678618
barmag      inf        2    0.310771     0.310771   [['-0.824 sin(x+y)', '-1.000 sin(y) + 0.001 sin(x+y) + -244877907260.792 sin(x-y) + -244877907260.292 sin(y-x)']]                                                                                                                                                                                                                                                                                                                                                                    sindy     allonger        e2             strogatz     0.0299962
barmag       30        2    0.8113       0.519039   [['-0.352 sin(x) + -0.053 cos(x-y) + -0.053 cos(y-x)', '-0.598 sin(y) + 0.184 sin(x+y) + -0.154 sin(x-y) + 0.154 sin(y-x)']]                                                                                                                                                                                                                                                                                                                                                         sindy     allonger        e2             strogatz     0.658933
barmag       13        2  448.317      639.259      [['36.765 1 + -8.817 sin(y) + -34.810 cos(y) + -4.440 sin(x+y) + -14.818 cos(x+y) + -1.211 sin(x-y) + 7.058 cos(x-y) + 1.211 sin(y-x) + 7.058 cos(y-x)', '-0.063 1 + -1.057 sin(x+y) + 0.424 cos(x+y) + 36648602146071.758 sin(x-y) + 15314348984355.172 cos(x-y) + 36648602146070.578 sin(y-x) + -15314348984354.734 cos(y-x)']]                                                                                                                                                    sindy     allonger        e2             strogatz     2.27228
barmag      inf        3    2.25689      2.25689    [['-0.077 sin(x) + -0.492 sin(x+y)', '-0.159 sin(x+y)']]                                                                                                                                                                                                                                                                                                                                                                                                                             sindy     allonger        e2             strogatz     0.0300024
barmag       30        3   34.5496      39.1544     [['49.601 1 + -15.947 sin(y) + -44.005 cos(y) + 0.613 sin(x+y) + -2.979 cos(x+y)', '-0.097 sin(x+y)']]                                                                                                                                                                                                                                                                                                                                                                               sindy     allonger        e2             strogatz     6.60401
barmag       13        3    2.37567      4.51253    [['-5.105 1 + -472.747 sin(x) + 14.816 sin(y) + 212.982 sin(x+y) + -88.738 cos(x+y) + 113.042 sin(x-y) + 46.993 cos(x-y) + -113.042 sin(y-x) + 46.993 cos(y-x)', '-0.152 1 + -0.153 sin(x-y) + 0.136 cos(x-y) + 0.153 sin(y-x) + 0.136 cos(y-x)']]                                                                                                                                                                                                                                   sindy     allonger        e2             strogatz     6.69688
