  index    complexity    length          TE      TE_inf  expr_x                                                                                         expr_y                                                                                          index_column  method    data_version    system      snr    init
    478            70       524  0.00257192  0.00257192  -0.002*x1 + 0.772*sin(x1) + 0.022*sin(0.415*x2 + 11.857) - 0.77*sin(0.999*x2 + 3.155) + 1.987  -0.002*sin(2*x1) + 0.578*sin(x2) + 4.528                                                                 478  dso       all             cphase      inf       1
    476            61       445  0.00262399  0.00262399  -0.002*x1 + 0.772*sin(x1) + 0.022*sin(0.415*x2 + 11.857) - 0.77*sin(0.999*x2 + 3.155) + 1.987  0.576*sin(x2) + 4.528                                                                                    476  dso       all             cphase      inf       1
    475            54       441  0.00268592  0.00268592  -0.002*x1 + 0.772*sin(x1) + 0.022*sin(0.415*x2 + 11.857) - 0.77*sin(0.999*x2 + 3.155) + 1.987  0.001*(14.591 - x1)*(x1 - 10.579)*(0.628*cos(x1) + 0.222) + 0.576*sin(x2) + 4.524                        475  dso       all             cphase      inf       1
    474            50       428  0.00272881  0.00272881  -0.002*x1 + 0.772*sin(x1) + 0.022*sin(0.415*x2 + 11.857) - 0.77*sin(0.999*x2 + 3.155) + 1.987  (0.042*x1 + 1.124)*((0.483 - 0.004*x2)*(-0.209*x1 + cos(x2 - 1.57) + 2.176) + 2.829) + 0.104             474  dso       all             cphase      inf       1
    236            49       333  0.00276473  0.00276473  -0.e-3*x2 + 0.793*sin(x1) + 0.772*sin(x2) + 1.992                                              0.576*sin(x2) + 4.528                                                                                    236  dso       all             cphase      inf       1
    463            38       327  0.00278414  0.00278414  -0.002*x1 + 0.772*sin(x1) + 0.022*sin(0.415*x2 + 11.857) - 0.77*sin(0.999*x2 + 3.155) + 1.987  4.521 - 0.578*cos(0.999*x2 + 1.597)                                                                      463  dso       all             cphase      inf       1
    223            26       215  0.00294464  0.00294464  -0.e-3*x2 + 0.793*sin(x1) + 0.772*sin(x2) + 1.992                                              4.521 - 0.578*cos(0.999*x2 + 1.597)                                                                      223  dso       all             cphase      inf       1
    221            23       189  0.00324612  0.00324612  -0.e-3*x2 + 0.793*sin(x1) + 0.772*sin(x2) + 1.992                                              4.528 - 0.578*sin(0.999*x2 - 3.114)                                                                      221  dso       all             cphase      inf       1
    219            19       149  0.00333931  0.00333931  -0.e-3*x2 + 0.793*sin(x1) + 0.772*sin(x2) + 1.992                                              0.579*sin(x2) + 4.528                                                                                    219  dso       all             cphase      inf       1
    147            16       121  0.00670975  0.00670975  0.784*sin(x1) + 0.784*sin(x2) + 1.972                                                          0.579*sin(x2) + 4.528                                                                                    147  dso       all             cphase      inf       1
     75            12        92  0.0340509   0.0340509   0.712*sin(x1) + 1.904                                                                          0.579*sin(x2) + 4.528                                                                                     75  dso       all             cphase      inf       1
    121            11        81  0.0382561   0.0382561   sin(x1) + sin(x2) + 2.034                                                                      0.009*x1 + 4.404                                                                                         121  dso       all             cphase      inf       1
     51            10        74  0.05905     0.05905     sin(x1) + 1.966                                                                                0.579*sin(x2) + 4.528                                                                                     51  dso       all             cphase      inf       1
     49             9        71  0.0663046   0.0663046   sin(x1) + 1.966                                                                                0.009*x1 + 4.404                                                                                          49  dso       all             cphase      inf       1
     50             8        55  0.0844185   0.0844185   sin(x1) + 1.966                                                                                sin(x2) + 4.557                                                                                           50  dso       all             cphase      inf       1
      2             7        49  0.912288    0.912288    0.054*x2                                                                                       sin(x2) + 4.557                                                                                            2  dso       all             cphase      inf       1
      0             6        44  3.32436     3.32436     0.054*x2                                                                                       0.142*x2                                                                                                   0  dso       all             cphase      inf       1
