	index	complexity	length	TE	TE_inf	expr_x	expr_y	index_column	method	data_version	system	snr	init
16	478	70	524	0.0025719152991402292	0.0025719152991402292	-0.002*x1 + 0.772*sin(x1) + 0.022*sin(0.415*x2 + 11.857) - 0.77*sin(0.999*x2 + 3.155) + 1.987	-0.002*sin(2*x1) + 0.578*sin(x2) + 4.528	478	dso	all	cphase	inf	1
15	476	61	445	0.002623991754457624	0.002623991754457624	-0.002*x1 + 0.772*sin(x1) + 0.022*sin(0.415*x2 + 11.857) - 0.77*sin(0.999*x2 + 3.155) + 1.987	0.576*sin(x2) + 4.528	476	dso	all	cphase	inf	1
14	475	54	441	0.0026859203592222627	0.0026859203592222627	-0.002*x1 + 0.772*sin(x1) + 0.022*sin(0.415*x2 + 11.857) - 0.77*sin(0.999*x2 + 3.155) + 1.987	0.001*(14.591 - x1)*(x1 - 10.579)*(0.628*cos(x1) + 0.222) + 0.576*sin(x2) + 4.524	475	dso	all	cphase	inf	1
13	474	50	428	0.002728814645541082	0.002728814645541082	-0.002*x1 + 0.772*sin(x1) + 0.022*sin(0.415*x2 + 11.857) - 0.77*sin(0.999*x2 + 3.155) + 1.987	(0.042*x1 + 1.124)*((0.483 - 0.004*x2)*(-0.209*x1 + cos(x2 - 1.57) + 2.176) + 2.829) + 0.104	474	dso	all	cphase	inf	1
11	236	49	333	0.002764726051259557	0.002764726051259557	-0.e-3*x2 + 0.793*sin(x1) + 0.772*sin(x2) + 1.992	0.576*sin(x2) + 4.528	236	dso	all	cphase	inf	1
12	463	38	327	0.0027841368920855833	0.0027841368920855833	-0.002*x1 + 0.772*sin(x1) + 0.022*sin(0.415*x2 + 11.857) - 0.77*sin(0.999*x2 + 3.155) + 1.987	4.521 - 0.578*cos(0.999*x2 + 1.597)	463	dso	all	cphase	inf	1
10	223	26	215	0.002944640590116306	0.002944640590116306	-0.e-3*x2 + 0.793*sin(x1) + 0.772*sin(x2) + 1.992	4.521 - 0.578*cos(0.999*x2 + 1.597)	223	dso	all	cphase	inf	1
9	221	23	189	0.0032461200956131722	0.0032461200956131722	-0.e-3*x2 + 0.793*sin(x1) + 0.772*sin(x2) + 1.992	4.528 - 0.578*sin(0.999*x2 - 3.114)	221	dso	all	cphase	inf	1
8	219	19	149	0.0033393105533173024	0.0033393105533173024	-0.e-3*x2 + 0.793*sin(x1) + 0.772*sin(x2) + 1.992	0.579*sin(x2) + 4.528	219	dso	all	cphase	inf	1
7	147	16	121	0.0067097475059789006	0.0067097475059789006	0.784*sin(x1) + 0.784*sin(x2) + 1.972	0.579*sin(x2) + 4.528	147	dso	all	cphase	inf	1
5	75	12	92	0.034050868741945725	0.034050868741945725	0.712*sin(x1) + 1.904	0.579*sin(x2) + 4.528	75	dso	all	cphase	inf	1
6	121	11	81	0.03825610156491967	0.03825610156491967	sin(x1) + sin(x2) + 2.034	0.009*x1 + 4.404	121	dso	all	cphase	inf	1
4	51	10	74	0.05905000934455708	0.05905000934455708	sin(x1) + 1.966	0.579*sin(x2) + 4.528	51	dso	all	cphase	inf	1
2	49	9	71	0.06630455021379911	0.06630455021379911	sin(x1) + 1.966	0.009*x1 + 4.404	49	dso	all	cphase	inf	1
3	50	8	55	0.08441853827847307	0.08441853827847307	sin(x1) + 1.966	sin(x2) + 4.557	50	dso	all	cphase	inf	1
1	2	7	49	0.9122881802645555	0.9122881802645555	0.054*x2	sin(x2) + 4.557	2	dso	all	cphase	inf	1
0	0	6	44	3.3243568852559147	3.3243568852559147	0.054*x2	0.142*x2	0	dso	all	cphase	inf	1
