  index    complexity    length           TE       TE_inf  expr_x                                                                                        expr_y                                                            index_column  method    data_version    system      snr    init
    297            53       381  3.88594e-05  3.88594e-05  -0.001*x2 - 0.2*sin(x1) - sin(x1 - 3.142) + 0.6*cos(x2 - 1.554) - 0.2*cos(x2 + 1.52) + 1.999  (0.6 - 2.835517588130332e-5*cos(x2))*(7.546 - cos(x2 + 1.571))             297  dso       allonger        cphase      inf       0
    292            40       317  3.94876e-05  3.94876e-05  -0.001*x2 - 0.2*sin(x1) - sin(x1 - 3.142) + 0.6*cos(x2 - 1.554) - 0.2*cos(x2 + 1.52) + 1.999  4.53 - 0.6*cos(x2 + 1.571)                                                 292  dso       allonger        cphase      inf       0
    291            38       295  3.9497e-05   3.9497e-05   -0.001*x2 - 0.2*sin(x1) - sin(x1 - 3.142) + 0.6*cos(x2 - 1.554) - 0.2*cos(x2 + 1.52) + 1.999  0.6*sin(x2) + 4.53                                                         291  dso       allonger        cphase      inf       0
    324            35       274  4.60802e-05  4.60802e-05  -0.001*x2 - 0.2*sin(x1) - sin(x1 - 3.142) - 0.2*cos(0.003*x1) - 0.8*cos(x2 + 7.854) + 2.199   4.53 - 0.6*cos(x2 + 1.571)                                                 324  dso       allonger        cphase      inf       0
    323            33       252  4.60895e-05  4.60895e-05  -0.001*x2 - 0.2*sin(x1) - sin(x1 - 3.142) - 0.2*cos(0.003*x1) - 0.8*cos(x2 + 7.854) + 2.199   0.6*sin(x2) + 4.53                                                         323  dso       allonger        cphase      inf       0
    243            32       248  4.89683e-05  4.89683e-05  -0.e-3*x1 - 0.e-3*x2 - sin(x1 - 2.247) + 0.8*sin(x1 - 1.351) - 0.8*cos(x2 + 1.57) + 2.001     0.6*sin(x2) + 4.53                                                         243  dso       allonger        cphase      inf       0
    228            29       221  5.95226e-05  5.95226e-05  -0.001*x2 - 0.2*sin(x1) - sin(x1 - 3.142) - 0.8*cos(x2 + 1.571) + 1.999                       4.53 - 0.6*cos(x2 + 1.571)                                                 228  dso       allonger        cphase      inf       0
    227            27       199  5.95331e-05  5.95331e-05  -0.001*x2 - 0.2*sin(x1) - sin(x1 - 3.142) - 0.8*cos(x2 + 1.571) + 1.999                       0.6*sin(x2) + 4.53                                                         227  dso       allonger        cphase      inf       0
    212            23       189  6.03324e-05  6.03324e-05  -0.001*x2 + 0.8*sin(x1) + 0.8*cos(x2 - 1.571) + 1.999                                         4.53 - 0.6*cos(x2 + 1.571)                                                 212  dso       allonger        cphase      inf       0
    211            21       167  6.0343e-05   6.0343e-05   -0.001*x2 + 0.8*sin(x1) + 0.8*cos(x2 - 1.571) + 1.999                                         0.6*sin(x2) + 4.53                                                         211  dso       allonger        cphase      inf       0
    148            20       164  0.0200231    0.0200231    0.8*sin(x1) + 0.801*cos(x2 - 1.571) + 1.953                                                   4.53 - 0.6*cos(x2 + 1.571)                                                 148  dso       allonger        cphase      inf       0
    147            18       142  0.0200232    0.0200232    0.8*sin(x1) + 0.801*cos(x2 - 1.571) + 1.953                                                   0.6*sin(x2) + 4.53                                                         147  dso       allonger        cphase      inf       0
    113            15       121  0.0203462    0.0203462    sin(x1) - 0.8*cos(x2 + 1.565) + 1.999                                                         4.515                                                                      113  dso       allonger        cphase      inf       0
     81            11        81  0.0250472    0.0250472    sin(x1) + sin(x2) + 2.012                                                                     4.515                                                                       81  dso       allonger        cphase      inf       0
     35            10        73  0.0347561    0.0347561    sin(x2) + 1.78                                                                                0.6*sin(x2) + 4.53                                                          35  dso       allonger        cphase      inf       0
     18             9        72  0.053365     0.053365     1.798 - 0.002*x2                                                                              sin(x2) + 4.554                                                             18  dso       allonger        cphase      inf       0
     34             8        55  0.0924253    0.0924253    sin(x2) + 1.78                                                                                sin(x2) + 4.554                                                             34  dso       allonger        cphase      inf       0
     32             7        48  0.884809     0.884809     sin(x2) + 1.78                                                                                0.184*x1                                                                    32  dso       allonger        cphase      inf       0
      0             6        42  3.487        3.487        0.069*x1                                                                                      0.184*x1                                                                     0  dso       allonger        cphase      inf       0
