	index	complexity	length	TE	TE_inf	expr_x	expr_y	index_column	method	data_version	system	snr	init
14	266	32	272	4.277935873651879e-05	4.277935873651879e-05	-0.001*x2 + 0.8*sin(x1) + 0.8*sin(x2) + 2.003	0.6*cos(1.0*x2 - 1.571) + 4.53	266	dso	allonger	cphase	inf	1
13	263	30	253	4.290542255436315e-05	4.290542255436315e-05	-0.001*x2 + 0.8*sin(x1) + 0.8*sin(x2) + 2.003	4.53 - 0.6*cos(x2 + 1.571)	263	dso	allonger	cphase	inf	1
11	247	28	227	4.443204147021103e-05	4.443204147021103e-05	-0.001*x2 + 0.8*sin(x1) + 0.8*sin(x2) + 2.003	4.53 - 0.6*cos(x2 + 1.571)	247	dso	allonger	cphase	inf	1
12	259	25	206	4.482559688779143e-05	4.482559688779143e-05	-0.001*x2 + 0.8*sin(x1) + 0.8*sin(x2) + 2.003	0.6*sin(x2) + 4.53	259	dso	allonger	cphase	inf	1
10	243	23	180	4.634955362242246e-05	4.634955362242246e-05	-0.001*x2 + 0.8*sin(x1) + 0.8*sin(x2) + 2.003	0.6*sin(x2) + 4.53	243	dso	allonger	cphase	inf	1
9	195	21	173	4.9769881614823026e-05	4.9769881614823026e-05	-0.001*x2 + 0.8*sin(x1) + 0.8*sin(x2) + 2.003	0.6*sin(x2) + 4.53	195	dso	allonger	cphase	inf	1
8	131	19	136	0.01673994386746875	0.01673994386746875	(0.001*x1 + 0.786)*(sin(x1) + sin(x2)) + 1.953	0.6*sin(x2) + 4.53	131	dso	allonger	cphase	inf	1
7	55	17	140	0.017907370264760736	0.017907370264760736	0.758*sin(x1) + 1.883	4.53 - 0.6*cos(x2 + 1.571)	55	dso	allonger	cphase	inf	1
6	51	12	93	0.01790942379022215	0.01790942379022215	0.758*sin(x1) + 1.883	0.6*sin(x2) + 4.53	51	dso	allonger	cphase	inf	1
5	49	11	91	0.021970338854242058	0.021970338854242058	0.758*sin(x1) + 1.883	0.001*x1 + 4.462	49	dso	allonger	cphase	inf	1
1	17	10	88	0.0387560496814779	0.0387560496814779	1.794 - 0.003*x1	0.001*x1 + 4.462	17	dso	allonger	cphase	inf	1
2	18	9	71	0.05577675805443638	0.05577675805443638	1.794 - 0.003*x1	sin(x2) + 4.561	18	dso	allonger	cphase	inf	1
4	34	8	55	0.12112162935501161	0.12112162935501161	sin(x1) + 1.928	sin(x2) + 4.561	34	dso	allonger	cphase	inf	1
3	32	7	50	0.9978912188788852	0.9978912188788852	sin(x1) + 1.928	0.188*x1	32	dso	allonger	cphase	inf	1
0	0	6	43	3.742847010990081	3.742847010990081	0.072*x1	0.188*x1	0	dso	allonger	cphase	inf	1
