  complexity    length       TE    TE_inf  expr_x                                                                                        expr_y                                 index_column  method    exp_type    data_version    system      snr    init
          12        24  3.63846  3.77473   -5.0*cos(0.892*t)                                                                             5.0*cos(3.775*y)                                  0  proged    numdif      all             cphase       13       3
          16        32  2.35802  2.32458   -5.0*cos(0.892*t)                                                                             3.553 - 5.0*sin(3.384*t**2)                       1  proged    numdif      all             cphase       13       3
          18        37  2.3131   2.26205   -5.0*cos(0.892*t)                                                                             5.0*sin(3.384*t**2 + 2.855) + 3.637               2  proged    numdif      all             cphase       13       3
          15        31  3.62499  3.76082   -5.0*cos(0.892*t)                                                                             2.878 - 10.0*cos(2.176*y)                         3  proged    numdif      all             cphase       13       3
          28        61  1.34324  1.06077   5.0*sin(3.708*t*y + 4.759) + 5.0*cos(4.848*t*y) + 0.897                                       3.553 - 5.0*sin(3.384*t**2)                       4  proged    numdif      all             cphase       13       3
          30        66  1.23296  0.908829  5.0*sin(3.708*t*y + 4.759) + 5.0*cos(4.848*t*y) + 0.897                                       5.0*sin(3.384*t**2 + 2.855) + 3.637               5  proged    numdif      all             cphase       13       3
          19        39  1.9222   1.77013   10.0*sin(3.608*y) + 2.846                                                                     3.553 - 5.0*sin(3.384*t**2)                       6  proged    numdif      all             cphase       13       3
          21        44  1.91745  1.76438   2.843 - 10.0*sin(3.608*y - 3.135)                                                             3.553 - 5.0*sin(3.384*t**2)                       7  proged    numdif      all             cphase       13       3
          39        89  1.1035   0.659499  -5.0*sin(3.963*t) - 5.0*sin(1.383*y + 0.563) + 5.0*cos(3.522*y) - 5.0*cos(3.708*t*y) + 1.309  3.553 - 5.0*sin(3.384*t**2)                       8  proged    numdif      all             cphase       13       3
          41        94  1.09838  0.693568  -5.0*sin(3.963*t) - 5.0*sin(1.383*y + 0.563) + 5.0*cos(3.522*y) - 5.0*cos(3.708*t*y) + 1.309  5.0*sin(3.384*t**2 + 2.855) + 3.637               9  proged    numdif      all             cphase       13       3
          25        54  1.72701  1.52505   -5.0*sin(3.96*t) + 10.0*sin(3.609*y) + 2.783                                                  3.553 - 5.0*sin(3.384*t**2)                      10  proged    numdif      all             cphase       13       3
