	complexity	length	TE	TE_inf	expr_x	expr_y	index_column	method	exp_type	data_version	system	snr	init
0	12	24	3.638457491733427	3.7747255373436133	-5.0*cos(0.892*t)	5.0*cos(3.775*y)	0	proged	numdif	all	cphase	13	3
1	16	32	2.3580224597620942	2.3245783995048273	-5.0*cos(0.892*t)	3.553 - 5.0*sin(3.384*t**2)	1	proged	numdif	all	cphase	13	3
2	18	37	2.31309568570063	2.2620471774883857	-5.0*cos(0.892*t)	5.0*sin(3.384*t**2 + 2.855) + 3.637	2	proged	numdif	all	cphase	13	3
3	15	31	3.624988961243707	3.760819909894094	-5.0*cos(0.892*t)	2.878 - 10.0*cos(2.176*y)	3	proged	numdif	all	cphase	13	3
4	28	61	1.343236247763492	1.0607733087910094	5.0*sin(3.708*t*y + 4.759) + 5.0*cos(4.848*t*y) + 0.897	3.553 - 5.0*sin(3.384*t**2)	4	proged	numdif	all	cphase	13	3
5	30	66	1.2329648413585157	0.9088285918341226	5.0*sin(3.708*t*y + 4.759) + 5.0*cos(4.848*t*y) + 0.897	5.0*sin(3.384*t**2 + 2.855) + 3.637	5	proged	numdif	all	cphase	13	3
6	19	39	1.9221974443238343	1.770133937653966	10.0*sin(3.608*y) + 2.846	3.553 - 5.0*sin(3.384*t**2)	6	proged	numdif	all	cphase	13	3
7	21	44	1.9174454048021632	1.764377199444385	2.843 - 10.0*sin(3.608*y - 3.135)	3.553 - 5.0*sin(3.384*t**2)	7	proged	numdif	all	cphase	13	3
8	39	89	1.10350287802527	0.6594993730796888	-5.0*sin(3.963*t) - 5.0*sin(1.383*y + 0.563) + 5.0*cos(3.522*y) - 5.0*cos(3.708*t*y) + 1.309	3.553 - 5.0*sin(3.384*t**2)	8	proged	numdif	all	cphase	13	3
9	41	94	1.09838404802121	0.6935683317211359	-5.0*sin(3.963*t) - 5.0*sin(1.383*y + 0.563) + 5.0*cos(3.522*y) - 5.0*cos(3.708*t*y) + 1.309	5.0*sin(3.384*t**2 + 2.855) + 3.637	9	proged	numdif	all	cphase	13	3
10	25	54	1.7270110540741166	1.5250476226362482	-5.0*sin(3.96*t) + 10.0*sin(3.609*y) + 2.783	3.553 - 5.0*sin(3.384*t**2)	10	proged	numdif	all	cphase	13	3
