  index    complexity    length           TE       TE_inf  expr_x                                                                                                                     expr_y                                                                                         index_column  method    data_version    system      snr    init
    519            74       496  0.000252434  0.000252434  -(0.05*x1**2*(x1 - 0.004) - 0.05*x1 + 0.148*(6.768*x1 - 0.34)*(cos(x2 - 1.571) + 0.05) - 0.05*sin(x2 - 3.142) + 0.002)/x1  x1 + (-0.999 - 0.008*(0.028 - 0.006*cos(x2)/x1)*(3.529 - 0.217*cos(x1)/x1)/x1)*cos(x2)/x1               519  dso       allonger        glider      inf       3
    548            73       470  0.000257439  0.000257439  -(0.05*x1**2*(x1 + 0.004) - 0.05*x1 + 0.175*(5.717*x1 - 0.001)*(cos(x2 - 1.571) + 0.05) + 0.006/x2)/x1                     x1 + (-0.999 - 0.008*(0.028 - 0.006*cos(x2)/x1)*(3.529 - 0.217*cos(x1)/x1)/x1)*cos(x2)/x1               548  dso       allonger        glider      inf       3
    432            64       402  0.000260285  0.000260285  -(0.05*x1**2*(x1 - 0.002) + 0.151*(6.62*x1 - 0.001)*cos(x2 - 1.571))/x1                                                    x1 + (-0.999 - 0.008*(0.028 - 0.006*cos(x2)/x1)*(3.529 - 0.217*cos(x1)/x1)/x1)*cos(x2)/x1               432  dso       allonger        glider      inf       3
    431            63       385  0.000526558  0.000526558  -(0.05*x1**2*(x1 - 0.002) + 0.151*(6.62*x1 - 0.001)*cos(x2 - 1.571))/x1                                                    x1 - (0.001*x1 + 0.998 + 0.001*(-0.418 - 0.135*cos(x2)/x1)*cos(x2)/x1)*cos(x2)/(x1 - 0.e-3)             431  dso       allonger        glider      inf       3
    535            56       383  0.000608428  0.000608428  -(0.05*x1**2*(x1 + 0.004) - 0.05*x1 + 0.175*(5.717*x1 - 0.001)*(cos(x2 - 1.571) + 0.05) + 0.006/x2)/x1                     x1 + (0.009*cos(2*x2) - 1.002)*cos(x2)/x1                                                               535  dso       allonger        glider      inf       3
    419            47       315  0.000636997  0.000636997  -(0.05*x1**2*(x1 - 0.002) + 0.151*(6.62*x1 - 0.001)*cos(x2 - 1.571))/x1                                                    x1 + (0.009*cos(2*x2) - 1.002)*cos(x2)/x1                                                               419  dso       allonger        glider      inf       3
    411            40       261  0.000820026  0.000820026  -(0.05*x1**2*(x1 - 0.002) + 0.151*(6.62*x1 - 0.001)*cos(x2 - 1.571))/x1                                                    x1 - 0.998*cos(x2)/x1                                                                                   411  dso       allonger        glider      inf       3
    354            39       274  0.0156134    0.0156134    (3.38*x2 + (3.38*cos(x2 - 1.536) + 11.232)*(-0.297*x1 - 0.297*x2 - 3.037) + 34.301)/(x1 + x2 + 10.446)                     x1 - 0.998*cos(x2)/x1                                                                                   354  dso       allonger        glider      inf       3
    353            38       250  0.0164722    0.0164722    (3.38*x2 + (3.38*cos(x2 - 1.536) + 11.232)*(-0.297*x1 - 0.297*x2 - 3.037) + 34.301)/(x1 + x2 + 10.446)                     x1 - 0.998*cos(x2)/x1                                                                                   353  dso       allonger        glider      inf       3
    295            36       224  0.0417501    0.0417501    (1.36*x2 + (1.36*cos(x2 - 1.494) + 1.294)*(-0.827*x1 - 0.827*x2 - 6.533))/(x2 + 13.537)                                    x1 - 0.998*cos(x2)/x1                                                                                   295  dso       allonger        glider      inf       3
    266            33       181  0.0624461    0.0624461    149.998 + (x2 + 11.395)*(cos(x2 + 1.667) - 152.674)/(x2*(1.02 + 11.522/x2))                                                x1 - 0.998*cos(x2)/x1                                                                                   266  dso       allonger        glider      inf       3
    207            25       171  0.420354     0.420354     -0.216*x1 + cos(x2 + 1.566) + 0.198 - 0.021/x1                                                                             x1 + 0.26/(1.512*x1 - 0.069)                                                                            207  dso       allonger        glider      inf       3
    209            24       160  0.484763     0.484763     -0.216*x1 + cos(x2 + 1.566) + 0.198 - 0.021/x1                                                                             x1 - 0.998*cos(x2)/x1                                                                                   209  dso       allonger        glider      inf       3
    208            23       136  0.484778     0.484778     -0.216*x1 + cos(x2 + 1.566) + 0.198 - 0.021/x1                                                                             x1 - 0.998*cos(x2)/x1                                                                                   208  dso       allonger        glider      inf       3
    182            22       151  0.544281     0.544281     0.022*x2 - 0.998*cos(x2 - 1.451) - 0.617                                                                                   1.0*x1 - 0.998*cos(x2)/x1                                                                               182  dso       allonger        glider      inf       3
    180            21       154  0.545461     0.545461     0.022*x2 - 0.998*cos(x2 - 1.451) - 0.617                                                                                   x1 - 0.998*cos(x2)/x1                                                                                   180  dso       allonger        glider      inf       3
    179            20       130  0.546827     0.546827     0.022*x2 - 0.998*cos(x2 - 1.451) - 0.617                                                                                   x1 - 0.998*cos(x2)/x1                                                                                   179  dso       allonger        glider      inf       3
      1             8        65  0.708368     0.708368     -0.127*x1                                                                                                                  3.922 - 0.11*x2                                                                                           1  dso       allonger        glider      inf       3
      0             6        44  0.745869     0.745869     -0.127*x1                                                                                                                  0.927*x1                                                                                                  0  dso       allonger        glider      inf       3
