	index	complexity	length	TE	TE_inf	expr_x	expr_y	index_column	method	data_version	system	snr	init
13	318	48	306	0.00010898301978224653	0.00010898301978224653	-0.049978094237551662*x1**2 + cos(x2 + 1.571)	x1 - 1.0*cos(x2)/x1	318	dso	allonger	glider	inf	1
12	295	47	303	0.00011558876264765642	0.00011558876264765642	-0.04996004875498063*x1**2 + cos(x2 + 1.571)	x1 - 1.0*cos(x2)/x1	295	dso	allonger	glider	inf	1
11	272	45	304	0.0001289078846409274	0.0001289078846409274	-0.05004411290655933*x1**2 + cos(x2 + 1.571)	x1 - 1.0*cos(x2)/x1	272	dso	allonger	glider	inf	1
10	262	31	216	0.0021346704622336224	0.0021346704622336224	-0.05004411290655933*x1**2 + cos(x2 + 1.571)	x1 + 0.001 - (0.003*x1 + 0.998)*cos(x2)/x1	262	dso	allonger	glider	inf	1
8	238	30	179	0.0022472819385616818	0.0022472819385616818	-868.588*x1/(x2 - 112.769 + 17602.725/x1) + cos(x2 + 1.571)	x1 - 0.999*cos(1.0*x2)/x1	238	dso	allonger	glider	inf	1
7	236	28	161	0.002403624582708307	0.002403624582708307	-868.588*x1/(x2 - 112.769 + 17602.725/x1) + cos(x2 + 1.571)	x1 - 0.999*cos(x2)/x1	236	dso	allonger	glider	inf	1
9	259	26	190	0.0031001883633446107	0.0031001883633446107	-0.05004411290655933*x1**2 + cos(x2 + 1.571)	x1 - 0.999*cos(x2)/x1	259	dso	allonger	glider	inf	1
6	169	24	180	0.04315332059369878	0.04315332059369878	-0.092*x1 + 0.004*x2 + cos(x2 + 1.598) - 0.024	x1 - 0.999*cos(1.0*x2)/x1	169	dso	allonger	glider	inf	1
5	166	22	160	0.04335097607735647	0.04335097607735647	-0.092*x1 + 0.004*x2 + cos(x2 + 1.598) - 0.024	x1 - 0.999*cos(x2)/x1	166	dso	allonger	glider	inf	1
4	31	17	122	1.0066102539744792	1.0066102539744792	0.112 - 0.139*x1	x1 - 0.999*cos(1.0*x2)/x1	31	dso	allonger	glider	inf	1
3	28	15	102	1.006611358425727	1.006611358425727	0.112 - 0.139*x1	x1 - 0.999*cos(x2)/x1	28	dso	allonger	glider	inf	1
1	2	9	35	1.1177009530906634	1.1177009530906634	-0.062*x1	x1 - cos(x2)	2	dso	allonger	glider	inf	1
2	23	8	65	1.310942600468548	1.310942600468548	0.112 - 0.139*x1	0.75*x1	23	dso	allonger	glider	inf	1
0	0	6	44	1.3456952672931815	1.3456952672931815	-0.062*x1	0.75*x1	0	dso	allonger	glider	inf	1
