	complexity	length	TE	TE_inf	expr_x	expr_y	index_column	method	exp_type	data_version	system	snr	init
0	6	8	0.4925000512951183	0.4925000512951183	-0.166*x	1.008*x	0	proged	numdif	all	glider	inf	3
1	8	13	0.4346628982492822	0.4346628982492822	-0.166*x	3.93 - 0.113*y	1	proged	numdif	all	glider	inf	3
2	11	21	0.41558753473123455	0.41558753473123455	-0.166*x	1.089*cos(0.151*y) + 2.719	2	proged	numdif	all	glider	inf	3
3	15	28	0.22983075119185903	0.22983075119185903	-0.147*x - 1.0*sin(1.002*y)	3.93 - 0.113*y	3	proged	numdif	all	glider	inf	3
4	14	28	0.3092073795021093	0.3092073795021093	-0.256*x - 1.0*sin(0.997*y) + 0.28	1.008*x	4	proged	numdif	all	glider	inf	3
5	16	33	0.13458924337050454	0.13458924337050454	-0.256*x - 1.0*sin(0.997*y) + 0.28	3.93 - 0.113*y	5	proged	numdif	all	glider	inf	3
6	19	41	0.08037257271845322	0.08037257271845322	-0.256*x - 1.0*sin(0.997*y) + 0.28	1.089*cos(0.151*y) + 2.719	6	proged	numdif	all	glider	inf	3
7	20	43	0.07579224051976148	0.07579224051976148	-0.256*x - 1.0*sin(0.997*y) + 0.28	0.501*x*cos(0.101*y) + 1.981	7	proged	numdif	all	glider	inf	3
8	24	50	0.055557664439036855	0.055557664439036855	-0.256*x - 1.0*sin(0.997*y) + 0.28	0.242*x - 0.111*y + 3.109 + 0.598/x**2	8	proged	numdif	all	glider	inf	3
9	22	45	0.06011535578873998	0.06011535578873998	-0.256*x - 1.0*sin(0.997*y) + 0.28	-0.139*y + 4.111 + 0.022*y/x**2	9	proged	numdif	all	glider	inf	3
10	21	43	0.061239805215824866	0.061239805215824866	-0.256*x - 1.0*sin(0.997*y) + 0.28	-0.132*y + 4.072 + 0.315/x**3	10	proged	numdif	all	glider	inf	3
11	42	84	0.018102091603827947	0.018102091603827947	-0.058*x**2 - 0.009*y - 0.993*sin(0.999*y) + 0.126	0.999*x + 4.96*cos(1.0*y)/(-4.91*x - 0.059)	11	proged	numdif	all	glider	inf	3
12	40	82	0.01820617592485574	0.01820617592485574	-0.058*x**2 - 0.009*y - 0.993*sin(0.999*y) + 0.126	0.997*x - 0.008*y*cos(1.0*y)/sin(0.008*x*y) + 0.008	12	proged	numdif	all	glider	inf	3
13	17	31	0.1285741191908349	0.1285741191908349	-0.05*x**2 - 0.991*sin(1.0*y)	3.93 - 0.113*y	13	proged	numdif	all	glider	inf	3
14	29	55	0.05204127482906321	0.05204127482906321	-0.05*x**2 - 0.991*sin(1.0*y)	-0.07*x*y - 0.072*y + 4.539	14	proged	numdif	all	glider	inf	3
15	25	48	0.055041353280321156	0.055041353280321156	-0.05*x**2 - 0.991*sin(1.0*y)	0.242*x - 0.111*y + 3.109 + 0.598/x**2	15	proged	numdif	all	glider	inf	3
16	31	60	0.030519666627884065	0.030519666627884065	-0.05*x**2 - 0.991*sin(1.0*y)	0.997*x - 0.008*y*cos(1.0*y)/sin(0.008*x*y) + 0.008	16	proged	numdif	all	glider	inf	3
17	37	74	0.018582943022152625	0.018582943022152625	-0.055*x**2 + 0.023*x - 0.99*sin(1.0*y) - 0.021	0.999*x + 4.96*cos(1.0*y)/(-4.91*x - 0.059)	17	proged	numdif	all	glider	inf	3
18	35	72	0.01868238183505589	0.01868238183505589	-0.055*x**2 + 0.023*x - 0.99*sin(1.0*y) - 0.021	0.997*x - 0.008*y*cos(1.0*y)/sin(0.008*x*y) + 0.008	18	proged	numdif	all	glider	inf	3
19	45	90	0.010893588314932484	0.010893588314932484	0.009*x*y - 0.173*x - 0.983*sin(1.006*y) - 0.142 - 0.152/(4.834*y - 1.11)	0.999*x + 4.96*cos(1.0*y)/(-4.91*x - 0.059)	19	proged	numdif	all	glider	inf	3
20	43	88	0.01175036636384218	0.01175036636384218	0.009*x*y - 0.173*x - 0.983*sin(1.006*y) - 0.142 - 0.152/(4.834*y - 1.11)	0.997*x - 0.008*y*cos(1.0*y)/sin(0.008*x*y) + 0.008	20	proged	numdif	all	glider	inf	3
