	complexity	length	TE	TE_inf	expr_x	expr_y	index_column	method	exp_type	data_version	system	snr	init
0	6	8	0.679208071851337	0.679208071851337	-0.148*x	0.945*x	0	proged	numdif	allonger	glider	inf	2
1	8	11	0.53983501162603	0.53983501162603	-0.049*x**2	0.945*x	1	proged	numdif	allonger	glider	inf	2
2	10	16	0.4884499183967709	0.4884499183967709	-0.049*x**2	4.489 - 0.128*y	2	proged	numdif	allonger	glider	inf	2
3	14	25	0.4863958211604116	0.4863958211604116	-0.049*x**2	0.015*x*y - 0.135*y + 4.194	3	proged	numdif	allonger	glider	inf	2
4	24	45	0.4855047014557037	0.4855047014557037	-0.049*x**2	1.0*x - 0.e-3*y*cos(1.0*y)/sin(0.001*x*y)	4	proged	numdif	allonger	glider	inf	2
5	43	86	0.00015712061885742167	0.00015712061885742167	-0.05*x**2 - 1.0*sin(1.0*y)	1.0*x - 1.0003867888889*cos(1.0*y)/x	5	proged	numdif	allonger	glider	inf	2
6	29	56	0.4461888742024669	0.4461888742024669	-0.05*x**2 - 1.0*sin(1.0*y)	5.0 - 4.732/(0.486*x - 0.455*cos(1.0*y) + 0.83)	6	proged	numdif	allonger	glider	inf	2
7	33	62	0.0002306679657349346	0.0002306679657349346	-0.05*x**2 - 1.0*sin(1.0*y)	1.0*x - 1.0003867888889*cos(1.0*y)/x	7	proged	numdif	allonger	glider	inf	2
8	31	60	0.00035390096140077	0.00035390096140077	-0.05*x**2 - 1.0*sin(1.0*y)	1.0*x - 0.e-3*y*cos(1.0*y)/sin(0.001*x*y)	8	proged	numdif	allonger	glider	inf	2
9	37	74	0.00016983186125532615	0.00016983186125532615	-0.05*x**2 - 1.0*sin(1.0*y)	1.0*x - 1.0003867888889*cos(1.0*y)/x	9	proged	numdif	allonger	glider	inf	2
