	index	complexity	length	TE	TE_inf	expr_x	expr_y	expr_z	index_column	method	data_version	system	snr	init
16	11023	69	390	1.50717983654042	1.4652494189913479	-10.066*x1 + 10.066*x2 - (0.241 + 1.912/(47.807 + (x1 + x2 - x3**2 - 8.887)/(2*x1 - x2)))*(2*x1 + 148.533) + 31.334	x1*(-x3 + (-0.031*x1 - 0.94)*(0.158*x1 - 0.158*x3) + 23.452)	x1*x2 - 2.656*x3	11023	dso	allonger	lorenz	30	3
15	11004	68	348	1.5073443259406596	1.4654218769881064	-10.066*x1 + 10.066*x2 - (0.241 + 1.912/(47.807 + (x1 + x2 - x3**2 - 8.887)/(2*x1 - x2)))*(2*x1 + 148.533) + 31.334	x1*(-x3 - (0.005*x1 + 0.149)*(x1 - x3) + 23.452)	x1*x2 - 2.656*x3	11004	dso	allonger	lorenz	30	3
14	8059	53	289	1.5543518226245956	1.514602945211558	-7.357*x1 + 8.986*x2 - 7.357*x3*(0.006*x1 + 0.006*x3/(x1 + x2/x1))	x1*(-x3 + (-0.031*x1 - 0.94)*(0.158*x1 - 0.158*x3) + 23.452)	x1*x2 - 2.656*x3	8059	dso	allonger	lorenz	30	3
13	8040	52	247	1.5544465373629475	1.5147016330338534	-7.357*x1 + 8.986*x2 - 7.357*x3*(0.006*x1 + 0.006*x3/(x1 + x2/x1))	x1*(-x3 - (0.005*x1 + 0.149)*(x1 - x3) + 23.452)	x1*x2 - 2.656*x3	8040	dso	allonger	lorenz	30	3
12	6083	43	275	1.5732550324003256	1.5343569402473483	11.639*x1 + (-2.219*x1 + x2)*(0.036*x3 + 8.225) - 3.286	x1*(-x3 + (-0.031*x1 - 0.94)*(0.158*x1 - 0.158*x3) + 23.452)	x1*x2 - 2.656*x3	6083	dso	allonger	lorenz	30	3
11	6064	42	233	1.5733732180051556	1.5344800134004093	11.639*x1 + (-2.219*x1 + x2)*(0.036*x3 + 8.225) - 3.286	x1*(-x3 - (0.005*x1 + 0.149)*(x1 - x3) + 23.452)	x1*x2 - 2.656*x3	6064	dso	allonger	lorenz	30	3
7	2131	34	201	1.574292777426112	1.5358939112397945	-9.707*x1 + 9.728*x2	x1*(-x3 + (-0.031*x1 - 0.94)*(0.158*x1 - 0.158*x3) + 23.452)	x1*x2 - 2.656*x3	2131	dso	allonger	lorenz	30	3
6	2112	33	159	1.5743158131350539	1.5359181379974238	-9.707*x1 + 9.728*x2	x1*(-x3 - (0.005*x1 + 0.149)*(x1 - x3) + 23.452)	x1*x2 - 2.656*x3	2112	dso	allonger	lorenz	30	3
4	1657	31	209	1.721085648093144	1.6886301937692334	-9.707*x1 + 9.728*x2	(0.145 - 0.272*x1)*(0.027*x1**2 + 3.187*x3 - 88.138)	0.967*x1*x2 - 2.569*x3	1657	dso	allonger	lorenz	30	3
2	668	30	190	1.7358987886356987	1.7016118519593493	-9.727*x1 + 9.727*x2	(0.145 - 0.272*x1)*(0.027*x1**2 + 3.187*x3 - 88.138)	x1*x2 - 2.656*x3	668	dso	allonger	lorenz	30	3
9	3537	28	188	3.126953160908199	3.1393592883903967	-0.025*x1*(x3 + 344.006) + 9.459*x2	(23.696 - 0.902*x3)*(x1 - 0.72) + 5.011	x1*x2 - 2.656*x3	3537	dso	allonger	lorenz	30	3
3	1087	26	186	4.6724487248285	4.700100943726422	-9.727*x1 + 9.727*x2	-0.902*x1*(x3 - 26.265) + 0.65*x3 - 12.055	0.967*x1*x2 - 2.569*x3	1087	dso	allonger	lorenz	30	3
5	2055	25	160	4.902909454193335	4.933128734986554	-9.707*x1 + 9.728*x2	(23.696 - 0.902*x3)*(x1 - 0.72) + 5.011	x1*x2 - 2.656*x3	2055	dso	allonger	lorenz	30	3
10	5434	23	129	5.346086453182289	5.369055284207426	-0.036*x1*(x3 + 227.655) + 9.366*x2 - 0.072*x3	-x1 + x2	27.92 - x3	5434	dso	allonger	lorenz	30	3
8	3458	20	103	6.236762762022921	6.263552202653813	-0.025*x1*(x3 + 344.006) + 9.459*x2	-x1 + x2	27.92 - x3	3458	dso	allonger	lorenz	30	3
1	494	17	75	6.256444976133634	6.283314809181723	-9.727*x1 + 9.727*x2	-x1 + x2	27.92 - x3	494	dso	allonger	lorenz	30	3
0	0	15	39	19.47654116764661	19.544426362665753	-x1 + x2	-x1 + x2	27.92 - x3	0	dso	allonger	lorenz	30	3
