  complexity    length        TE    TE_inf  expr_x                                      expr_y                                        expr_z                                                 index_column  method    exp_type    data_version    system      snr    init
          17        29   7.35571   7.43122  0.643*y                                     -0.041*x*z                                    0.953*x**2 - 3.703*z + 30.0                                       0  proged    numdif      all             lorenz       30       1
           9        12  10.0471   10.189    0.643*y                                     -0.647*x                                      -0.684*y                                                          1  proged    numdif      all             lorenz       30       1
          10        14   9.32512   9.44867  0.643*y                                     -0.647*x                                      0.203*x*y                                                         2  proged    numdif      all             lorenz       30       1
          11        15   7.79545   7.86506  0.643*y                                     -0.647*x                                      0.194*y**2                                                        3  proged    numdif      all             lorenz       30       1
          13        18   7.52372   7.58338  0.643*y                                     -0.015*x**3                                   0.194*y**2                                                        4  proged    numdif      all             lorenz       30       1
          18        30   7.12397   7.1863   0.643*y                                     -0.015*x**3                                   0.953*x**2 - 3.703*z + 30.0                                       5  proged    numdif      all             lorenz       30       1
          26        52   2.6308    2.64009  -6.872*x + 6.82*y + 0.584                   -0.747*x*z + 19.547*x + 4.499                 0.577*x*y - 1.917*z + 10.999                                      6  proged    numdif      all             lorenz       30       1
          30        57   2.11134   2.10735  -6.872*x + 6.82*y + 0.584                   -0.625*x*z + 14.646*x*z/(z - 0.957) + 13.858  0.369*y**2 - 27.427                                               7  proged    numdif      all             lorenz       30       1
          22        40   6.40246   6.41978  -6.814*x + 6.823*y                          -0.747*x*z + 19.547*x + 4.499                 0.482*x*y - 30.0                                                  8  proged    numdif      all             lorenz       30       1
          23        41   5.22132   5.24497  -6.814*x + 6.823*y                          -0.747*x*z + 19.547*x + 4.499                 0.369*y**2 - 27.427                                               9  proged    numdif      all             lorenz       30       1
          25        47   2.65079   2.66024  -6.814*x + 6.823*y                          -0.747*x*z + 19.547*x + 4.499                 0.577*x*y - 1.917*z + 10.999                                     10  proged    numdif      all             lorenz       30       1
          33        63   1.92043   1.90547  -6.814*x + 6.823*y                          -0.747*x*z + 19.547*x + 4.499                 0.992*x*y - 22.702*x/(x + 15.819) - 2.81*z + 12.346              11  proged    numdif      all             lorenz       30       1
          27        49   2.58227   2.58915  -6.814*x + 6.823*y                          -0.713*x*z + 18.028*x + 0.376*z               0.577*x*y - 1.917*z + 10.999                                     12  proged    numdif      all             lorenz       30       1
          29        52   2.12964   2.12558  -6.814*x + 6.823*y                          -0.625*x*z + 14.646*x*z/(z - 0.957) + 13.858  0.369*y**2 - 27.427                                              13  proged    numdif      all             lorenz       30       1
          24        42   3.56906   3.59261  -6.814*x + 6.823*y                          -0.766*x*z + 20.551*x                         0.577*x*y - 1.917*z + 10.999                                     14  proged    numdif      all             lorenz       30       1
          28        54   2.26255   2.26969  -6.814*x + 6.823*y                          -0.693*x*z + 17.621*x + 1.436*z - 30.0        0.577*x*y - 1.917*z + 10.999                                     15  proged    numdif      all             lorenz       30       1
          46        91   1.51557   1.46398  -0.007*x*y**2 - 6.701*x + 8.591*y - 10.828  -0.625*x*z + 14.646*x*z/(z - 0.957) + 13.858  0.992*x*y - 22.702*x/(x + 15.819) - 2.81*z + 12.346              16  proged    numdif      all             lorenz       30       1
          34        62   1.8963    1.88319  -6.456*x - 0.07*y*z + 8.323*y               -0.625*x*z + 14.646*x*z/(z - 0.957) + 13.858  0.584*x*y - 1.533*z                                              17  proged    numdif      all             lorenz       30       1
          36        67   1.59411   1.55739  -6.456*x - 0.07*y*z + 8.323*y               -0.766*x*z + 20.551*x                         0.992*x*y - 22.702*x/(x + 15.819) - 2.81*z + 12.346              18  proged    numdif      all             lorenz       30       1
          32        63   1.98088   1.97559  -6.456*x - 0.07*y*z + 8.323*y               -0.693*x*z + 17.621*x + 1.436*z - 30.0        0.577*x*y - 1.917*z + 10.999                                     19  proged    numdif      all             lorenz       30       1
          40        79   1.55127   1.52079  -6.456*x - 0.07*y*z + 8.323*y               -0.693*x*z + 17.621*x + 1.436*z - 30.0        0.992*x*y - 22.702*x/(x + 15.819) - 2.81*z + 12.346              20  proged    numdif      all             lorenz       30       1
