  complexity    length        TE    TE_inf  expr_x                                   expr_y                                 expr_z                                       index_column  method    exp_type    data_version    system      snr    init
          16        28   7.33766   7.33766  0.529*y                                  -0.035*x*z                             0.743*x*y - 3.061*z + 29.53                             0  proged    numdif      all             lorenz      inf       0
          19        35   6.88409   6.88409  0.529*y                                  -0.035*x*z                             0.614*x*y - 1.434*y - 2.311*z + 30.0                    1  proged    numdif      all             lorenz      inf       0
           9        12  10.167    10.167    0.529*y                                  0.167*z                                -1.287*y                                                2  proged    numdif      all             lorenz      inf       0
          29        59   2.64576   2.64576  -7.786*x + 7.833*y - 0.321               -0.202*x*z + 3.646*y + 1.661*z - 30.0  0.743*x*y - 3.061*z + 29.53                             3  proged    numdif      all             lorenz      inf       0
          32        66   2.525     2.525    -7.786*x + 7.833*y - 0.321               -0.202*x*z + 3.646*y + 1.661*z - 30.0  0.614*x*y - 1.434*y - 2.311*z + 30.0                    4  proged    numdif      all             lorenz      inf       0
          34        69   2.48697   2.48697  -7.792*x + 0.086*y**2 + 8.69*y - 13.699  -0.202*x*z + 3.646*y + 1.661*z - 30.0  0.743*x*y - 3.061*z + 29.53                             5  proged    numdif      all             lorenz      inf       0
          37        76   2.33915   2.33915  -7.792*x + 0.086*y**2 + 8.69*y - 13.699  -0.202*x*z + 3.646*y + 1.661*z - 30.0  0.614*x*y - 1.434*y - 2.311*z + 30.0                    6  proged    numdif      all             lorenz      inf       0
          25        44   6.79379   6.79379  -7.813*x + 7.827*y                       -0.035*x*z                             -5.122*x*y/(x - 15.219) - 6.906*y + 3.345               7  proged    numdif      all             lorenz      inf       0
          13        19   9.23709   9.23709  -7.813*x + 7.827*y                       0.167*z                                -1.287*y                                                8  proged    numdif      all             lorenz      inf       0
          27        49   3.15381   3.15381  -7.813*x + 7.827*y                       -0.202*x*z + 3.646*y + 1.661*z - 30.0  0.762*x*y - 2.045*z                                     9  proged    numdif      all             lorenz      inf       0
          28        54   2.65496   2.65496  -7.813*x + 7.827*y                       -0.202*x*z + 3.646*y + 1.661*z - 30.0  0.743*x*y - 3.061*z + 29.53                            10  proged    numdif      all             lorenz      inf       0
          31        61   2.53373   2.53373  -7.813*x + 7.827*y                       -0.202*x*z + 3.646*y + 1.661*z - 30.0  0.614*x*y - 1.434*y - 2.311*z + 30.0                   11  proged    numdif      all             lorenz      inf       0
          26        44   6.66171   6.66171  -7.813*x + 7.827*y                       -0.242*x*z + 4.711*y + 0.554*z         0.762*x*y - 2.045*z                                    12  proged    numdif      all             lorenz      inf       0
