	complexity	length	TE	TE_inf	expr_x	expr_y	expr_z	index_column	method	exp_type	data_version	system	snr	init
0	10	14	6.216957875004842	7.297797444376261	0.55*y	-0.033*x*z	-0.411*x	0	proged	numdif	all	lorenz	13	1
1	9	12	6.567276874992042	7.858154991747514	0.55*y	-0.595*x	-0.411*x	1	proged	numdif	all	lorenz	13	1
2	14	21	6.124434029268895	7.349729553761664	0.55*y	-0.595*x	0.362*x*y - 3.288*x	2	proged	numdif	all	lorenz	13	1
3	22	40	3.070272537746776	3.219767915544735	-2.258*x + 3.063*y - 7.157	-0.113*x*z + 24.729	0.362*x*y - 3.288*x	3	proged	numdif	all	lorenz	13	1
4	26	52	3.0078771073571704	3.1273033478495664	-2.258*x + 3.063*y - 7.157	-0.113*x*z + 24.729	0.374*x*y - 3.075*x - 0.204*z + 2.559	4	proged	numdif	all	lorenz	13	1
5	28	54	3.002588640337673	3.149788175787382	-2.258*x + 3.063*y - 7.157	-0.378*x*z + 6.911*x + 2.203*z - 30.0	0.362*x*y - 3.288*x	5	proged	numdif	all	lorenz	13	1
6	32	66	2.985180885697061	3.0296258061246943	-2.258*x + 3.063*y - 7.157	-0.378*x*z + 6.911*x + 2.203*z - 30.0	0.374*x*y - 3.075*x - 0.204*z + 2.559	6	proged	numdif	all	lorenz	13	1
7	19	33	3.6496545902707926	4.172716532909879	-2.707*x + 2.807*y	-0.113*x*z + 24.729	0.317*x*y - 22.19	7	proged	numdif	all	lorenz	13	1
8	20	34	3.3009766868232626	3.636112276486288	-2.707*x + 2.807*y	-0.113*x*z + 24.729	0.24*y**2 - 20.011	8	proged	numdif	all	lorenz	13	1
9	17	28	4.86181159223913	6.2298931639064286	-2.707*x + 2.807*y	-0.113*x*z + 24.729	0.115*x*y	9	proged	numdif	all	lorenz	13	1
10	18	29	4.717606553334974	6.043390227416044	-2.707*x + 2.807*y	-0.113*x*z + 24.729	0.12*y**2	10	proged	numdif	all	lorenz	13	1
11	21	35	3.1226092421923313	3.3085567887696956	-2.707*x + 2.807*y	-0.113*x*z + 24.729	0.362*x*y - 3.288*x	11	proged	numdif	all	lorenz	13	1
12	25	47	3.045490440667626	3.1905201189486077	-2.707*x + 2.807*y	-0.113*x*z + 24.729	0.374*x*y - 3.075*x - 0.204*z + 2.559	12	proged	numdif	all	lorenz	13	1
13	34	67	2.887237949600821	2.8783812321395144	-2.707*x + 2.807*y	-0.378*x*z + 6.911*x + 2.203*z - 30.0	0.048*y**2/(0.052*y + 1)**2 + 3.201*y - 30.0	13	proged	numdif	all	lorenz	13	1
14	16	28	6.045009712914624	7.020331702809776	-0.069*x*z + 2.826*y - 7.55	-0.033*x*z	-0.411*x	14	proged	numdif	all	lorenz	13	1
15	15	26	6.120008969787053	7.24130400293428	-0.069*x*z + 2.826*y - 7.55	-0.595*x	-0.411*x	15	proged	numdif	all	lorenz	13	1
