	complexity	length	TE	TE_inf	expr_x	expr_y	expr_z	index_column	method	exp_type	data_version	system	snr	init
0	17	29	7.423957825729636	7.423957825729636	0.627*y	-0.04*x*z	0.96*x**2 - 3.731*z + 30.0	0	proged	numdif	all	lorenz	inf	1
1	9	12	10.527676823404047	10.527676823404047	0.627*y	-0.623*x	-0.725*y	1	proged	numdif	all	lorenz	inf	1
2	10	14	9.56275207887811	9.56275207887811	0.627*y	-0.623*x	0.203*x*y	2	proged	numdif	all	lorenz	inf	1
3	11	15	7.7296907113313065	7.7296907113313065	0.627*y	-0.623*x	0.195*y**2	3	proged	numdif	all	lorenz	inf	1
4	21	37	6.92452897991228	6.92452897991228	0.627*y	-0.623*x	1.043*x**2 - 0.075*z**2 - 1.879*z + 30.0	4	proged	numdif	all	lorenz	inf	1
5	13	18	7.491687107978599	7.491687107978599	0.627*y	-0.015*x**3	0.195*y**2	5	proged	numdif	all	lorenz	inf	1
6	18	30	7.1276308011090315	7.1276308011090315	0.627*y	-0.015*x**3	0.96*x**2 - 3.731*z + 30.0	6	proged	numdif	all	lorenz	inf	1
7	34	68	1.6662740454409666	1.6662740454409666	-7.227*x + 7.237*y - 0.085	-0.745*x*z + 19.626*x + 3.599	0.929*x*y - 19.658*x/(x + 15.757) - 3.167*z + 24.969	7	proged	numdif	all	lorenz	inf	1
8	27	49	2.2002019190979714	2.2002019190979714	-7.326*x + 7.206*y + 0.044*z	-0.76*x*z + 20.421*x	0.581*x*y - 2.162*z + 17.252	8	proged	numdif	all	lorenz	inf	1
9	22	40	6.615960917046963	6.615960917046963	-7.235*x + 7.236*y	-0.745*x*z + 19.626*x + 3.599	0.483*x*y - 30.0	9	proged	numdif	all	lorenz	inf	1
10	23	41	5.41182588637482	5.41182588637482	-7.235*x + 7.236*y	-0.745*x*z + 19.626*x + 3.599	0.381*y**2 - 28.164	10	proged	numdif	all	lorenz	inf	1
11	33	63	1.6671937451096877	1.6671937451096877	-7.235*x + 7.236*y	-0.745*x*z + 19.626*x + 3.599	0.929*x*y - 19.658*x/(x + 15.757) - 3.167*z + 24.969	11	proged	numdif	all	lorenz	inf	1
12	35	65	1.6421953202520811	1.6421953202520811	-7.235*x + 7.236*y	-0.725*x*z + 18.852*x + 0.22*z	0.929*x*y - 19.658*x/(x + 15.757) - 3.167*z + 24.969	12	proged	numdif	all	lorenz	inf	1
13	24	42	2.2263306627591106	2.2263306627591106	-7.235*x + 7.236*y	-0.76*x*z + 20.421*x	0.581*x*y - 2.162*z + 17.252	13	proged	numdif	all	lorenz	inf	1
14	28	51	1.8277839802374414	1.8277839802374414	-6.834*x - 0.09*y*z + 9.25*y	-0.76*x*z + 20.421*x	0.581*x*y - 2.162*z + 17.252	14	proged	numdif	all	lorenz	inf	1
15	36	67	1.3800411332885938	1.3800411332885938	-6.834*x - 0.09*y*z + 9.25*y	-0.76*x*z + 20.421*x	0.929*x*y - 19.658*x/(x + 15.757) - 3.167*z + 24.969	15	proged	numdif	all	lorenz	inf	1
16	32	63	1.78869018169551	1.78869018169551	-6.834*x - 0.09*y*z + 9.25*y	-0.705*x*z + 18.31*x + 0.72*z - 13.661	0.581*x*y - 2.162*z + 17.252	16	proged	numdif	all	lorenz	inf	1
17	40	79	1.3569699882872233	1.3569699882872233	-6.834*x - 0.09*y*z + 9.25*y	-0.705*x*z + 18.31*x + 0.72*z - 13.661	0.929*x*y - 19.658*x/(x + 15.757) - 3.167*z + 24.969	17	proged	numdif	all	lorenz	inf	1
