  complexity    length       TE    TE_inf  expr_x                                                                      expr_y                                 expr_z                                                            index_column  method    exp_type    data_version    system      snr    init
          10        14  8.36674  11.8696   0.702*y                                                                     -0.042*x*z                             -0.439*x                                                                     0  proged    numdif      allonger        lorenz       13       3
           9        12  9.72477  14.3927   0.702*y                                                                     -0.668*x                               -0.439*x                                                                     1  proged    numdif      allonger        lorenz       13       3
          11        15  7.4301   10.1038   0.702*y                                                                     -0.668*x                               0.178*y**2                                                                   2  proged    numdif      allonger        lorenz       13       3
          24        46  3.27243   3.86317  -3.966*x + 4.914*y + 0.485*z - 19.438                                       -0.145*x*z + 30.0                      0.39*y**2 - 29.124                                                           3  proged    numdif      allonger        lorenz       13       3
          41        81  2.7575    2.89354  -3.966*x + 4.914*y + 0.485*z - 19.438                                       -0.208*x*z + 1.707*z                   0.005*x*y*z - 4.451*x + 7.006*y*z/(y + 5.816) - 4.074*z + 30.0               4  proged    numdif      allonger        lorenz       13       3
          30        57  2.86049   2.98158  -3.966*x + 4.914*y + 0.485*z - 19.438                                       -0.006*x*z**2 + 2.403*z - 28.021       0.552*x*y - 4.766*x                                                          5  proged    numdif      allonger        lorenz       13       3
          31        62  2.85857   2.97794  -3.966*x + 4.914*y + 0.485*z - 19.438                                       -0.006*x*z**2 + 2.403*z - 28.021       0.551*x*y - 4.778*x + 0.167                                                  6  proged    numdif      allonger        lorenz       13       3
          21        39  3.35044   3.99641  -3.832*x + 4.921*y - 7.676                                                  -0.145*x*z + 30.0                      0.39*y**2 - 29.124                                                           7  proged    numdif      allonger        lorenz       13       3
          22        40  3.34927   3.95356  -3.832*x + 4.921*y - 7.676                                                  -0.145*x*z + 30.0                      0.552*x*y - 4.766*x                                                          8  proged    numdif      allonger        lorenz       13       3
          23        45  3.3477    3.95058  -3.832*x + 4.921*y - 7.676                                                  -0.145*x*z + 30.0                      0.551*x*y - 4.778*x + 0.167                                                  9  proged    numdif      allonger        lorenz       13       3
          55       108  2.72917   2.82301  -4.022*x*y/(y + 0.288) + 4.588*y - 0.311*y/(y + 15.944) + 0.397*z - 14.733  -0.208*x*z + 1.707*z                   0.005*x*y*z - 4.451*x + 7.006*y*z/(y + 5.816) - 4.074*z + 30.0              10  proged    numdif      allonger        lorenz       13       3
          15        23  7.0741   10.0829   -4.374*x + 4.658*y                                                          -0.042*x*z                             0.164*x*y                                                                   11  proged    numdif      allonger        lorenz       13       3
          19        33  3.59404   4.3571   -4.374*x + 4.658*y                                                          -0.145*x*z + 30.0                      0.457*x*y - 30.0                                                            12  proged    numdif      allonger        lorenz       13       3
          20        34  3.37737   4.03948  -4.374*x + 4.658*y                                                          -0.145*x*z + 30.0                      0.39*y**2 - 29.124                                                          13  proged    numdif      allonger        lorenz       13       3
          27        49  3.15229   3.66047  -4.374*x + 4.658*y                                                          -0.411*x*z + 7.074*x + 2.386*z - 30.0  0.552*x*y - 4.766*x                                                         14  proged    numdif      allonger        lorenz       13       3
