	complexity	length	TE	TE_inf	expr_x	expr_y	expr_z	index_column	method	exp_type	data_version	system	snr	init
0	9	12	14.815080970729786	15.128527251341254	0.454*y	-0.451*x	-0.757*y	0	proged	numdif	allonger	lorenz	30	0
1	10	14	13.96966632113918	14.255053597513939	0.454*y	-0.451*x	0.197*x*y	1	proged	numdif	allonger	lorenz	30	0
2	11	15	13.88704349825019	14.169807198506966	0.454*y	-0.451*x	-0.015*y**3	2	proged	numdif	allonger	lorenz	30	0
3	22	41	8.885928014793137	9.0277587845083	-9.366*x + 9.434*y - 0.48	-0.896*x*z + 23.831*x + 3.179	-0.015*y**3	3	proged	numdif	allonger	lorenz	30	0
4	14	21	12.619920442249688	12.850636210170123	-9.413*x + 9.428*y	-0.035*x*z	-0.757*y	4	proged	numdif	allonger	lorenz	30	0
5	13	19	13.617885967160076	13.891035389915622	-9.413*x + 9.428*y	-0.451*x	-0.757*y	5	proged	numdif	allonger	lorenz	30	0
6	23	41	7.869258936567409	7.9451105779652575	-9.413*x + 9.428*y	-0.896*x*z + 23.831*x + 3.179	0.469*y**2 - 30.0	6	proged	numdif	allonger	lorenz	30	0
7	21	36	8.99639098845838	9.141503221596814	-9.413*x + 9.428*y	-0.896*x*z + 23.831*x + 3.179	-0.015*y**3	7	proged	numdif	allonger	lorenz	30	0
8	25	43	3.4407391725156993	3.465685099632643	-9.413*x + 9.428*y	-0.874*x*z + 22.872*x + 0.235*z	0.469*y**2 - 30.0	8	proged	numdif	allonger	lorenz	30	0
9	20	31	9.317716893134742	9.469331678520666	-9.413*x + 9.428*y	-0.907*x*z + 24.482*x	-0.015*y**3	9	proged	numdif	allonger	lorenz	30	0
10	26	48	3.3235228518625997	3.348196169823966	-9.413*x + 9.428*y	-0.846*x*z + 22.126*x + 0.853*z - 16.959	0.469*y**2 - 30.0	10	proged	numdif	allonger	lorenz	30	0
11	27	49	2.6529887700154315	2.6562837331374665	-9.413*x + 9.428*y	-0.846*x*z + 22.126*x + 0.853*z - 16.959	0.994*x*y - 2.64*z	11	proged	numdif	allonger	lorenz	30	0
12	24	43	7.343332211859432	7.4541349423054655	-9.413*x + 9.428*y	-0.846*x*z + 22.126*x + 0.853*z - 16.959	-0.015*y**3	12	proged	numdif	allonger	lorenz	30	0
13	41	77	1.2589155723588856	1.1906690612487714	-9.413*x + 9.428*y	-0.e-3*x*y*z - 0.818*x*z + 21.931*x + 0.829*z - 18.318	0.994*x*y - 2.64*z	13	proged	numdif	allonger	lorenz	30	0
14	32	63	1.9597181988109966	1.9319293041760581	-0.033*x*z - 8.023*x + 9.099*y - 1.431	-0.846*x*z + 22.126*x + 0.853*z - 16.959	0.994*x*y - 2.64*z	14	proged	numdif	allonger	lorenz	30	0
15	18	30	12.61935246459132	12.849930169261407	-9.368*x - 0.007*y*z + 9.578*y	-0.035*x*z	-0.757*y	15	proged	numdif	allonger	lorenz	30	0
16	31	58	2.38274146181639	2.374637805043696	-9.368*x - 0.007*y*z + 9.578*y	-0.846*x*z + 22.126*x + 0.853*z - 16.959	0.994*x*y - 2.64*z	16	proged	numdif	allonger	lorenz	30	0
17	45	86	1.2564658870312821	1.1878110753019397	-9.368*x - 0.007*y*z + 9.578*y	-0.e-3*x*y*z - 0.818*x*z + 21.931*x + 0.829*z - 18.318	0.994*x*y - 2.64*z	17	proged	numdif	allonger	lorenz	30	0
