	complexity	length	TE	TE_inf	expr_x	expr_y	expr_z	index_column	method	exp_type	data_version	system	snr	init
0	9	12	15.022228123098483	15.022228123098483	0.453*y	-0.449*x	-0.758*y	0	proged	numdif	allonger	lorenz	inf	0
1	10	14	14.125659879918356	14.125659879918356	0.453*y	-0.449*x	0.194*x*y	1	proged	numdif	allonger	lorenz	inf	0
2	14	21	13.000870979132978	13.000870979132978	0.453*y	-0.449*x	0.995*x*y - 2.653*z	2	proged	numdif	allonger	lorenz	inf	0
3	15	26	12.972723186772104	12.972723186772104	0.453*y	-0.449*x	0.995*x*y - 2.663*z + 0.273	3	proged	numdif	allonger	lorenz	inf	0
4	11	15	14.029521870721744	14.029521870721744	0.453*y	-0.449*x	-0.015*y**3	4	proged	numdif	allonger	lorenz	inf	0
5	18	33	12.958896589408685	12.958896589408685	0.453*y	-0.449*x	0.994*x*y - 0.02*x - 2.66*z + 0.403	5	proged	numdif	allonger	lorenz	inf	0
6	20	36	8.325668067498809	8.325668067498809	0.453*y	-0.992*x*z + 27.696*x - 0.942*y + 0.166	-0.015*y**3	6	proged	numdif	allonger	lorenz	inf	0
7	54	107	0.25872296828859825	0.25872296828859825	-9.967*x + 9.965*y + 0.001*z	-0.996*x*z + 27.796*x + 0.555*x/(x + 22.782) - 0.908*y	0.996*x*y - 0.063*x + 0.002*y*z - 2.663*z + 0.233	7	proged	numdif	allonger	lorenz	inf	0
8	31	61	0.9545153186032136	0.9545153186032136	-9.967*x + 9.965*y + 0.001*z	-0.992*x*z + 27.696*x - 0.942*y + 0.166	0.995*x*y - 2.663*z + 0.273	8	proged	numdif	allonger	lorenz	inf	0
9	37	73	0.7134461389764024	0.7134461389764024	-9.967*x + 9.965*y + 0.001*z	-0.992*x*z + 27.696*x - 0.942*y + 0.166	0.997*x*y - 2.664*z + 0.083	9	proged	numdif	allonger	lorenz	inf	0
10	43	87	0.7010754297688588	0.7010754297688588	-9.967*x + 9.965*y + 0.001*z	-0.99*x*z + 27.566*x - 0.917*y - 0.003*z**2 + 0.123*z - 0.841	0.995*x*y - 2.663*z + 0.273	10	proged	numdif	allonger	lorenz	inf	0
11	49	99	0.46705643584833334	0.46705643584833334	-9.967*x + 9.965*y + 0.001*z	-0.99*x*z + 27.566*x - 0.917*y - 0.003*z**2 + 0.123*z - 0.841	0.997*x*y - 2.664*z + 0.083	11	proged	numdif	allonger	lorenz	inf	0
12	13	19	13.890475769456634	13.890475769456634	-9.966*x + 9.966*y	-0.449*x	-0.758*y	12	proged	numdif	allonger	lorenz	inf	0
13	44	84	0.4997259272116725	0.4997259272116725	-9.966*x + 9.966*y	-0.996*x*z + 27.796*x + 0.555*x/(x + 22.782) - 0.908*y	0.995*x*y - 2.663*z + 0.273	13	proged	numdif	allonger	lorenz	inf	0
14	51	100	0.26816030594071943	0.26816030594071943	-9.966*x + 9.966*y	-0.996*x*z + 27.796*x + 0.555*x/(x + 22.782) - 0.908*y	0.996*x*y - 0.063*x + 0.002*y*z - 2.663*z + 0.233	14	proged	numdif	allonger	lorenz	inf	0
15	50	96	0.2821941752830883	0.2821941752830883	-9.966*x + 9.966*y	-0.996*x*z + 27.796*x + 0.555*x/(x + 22.782) - 0.908*y	0.997*x*y - 2.664*z + 0.083	15	proged	numdif	allonger	lorenz	inf	0
16	27	49	1.287837772894398	1.287837772894398	-9.966*x + 9.966*y	-0.992*x*z + 27.696*x - 0.942*y + 0.166	0.995*x*y - 2.653*z	16	proged	numdif	allonger	lorenz	inf	0
17	28	54	0.9682642342100225	0.9682642342100225	-9.966*x + 9.966*y	-0.992*x*z + 27.696*x - 0.942*y + 0.166	0.995*x*y - 2.663*z + 0.273	17	proged	numdif	allonger	lorenz	inf	0
18	34	66	0.7277378385953803	0.7277378385953803	-9.966*x + 9.966*y	-0.992*x*z + 27.696*x - 0.942*y + 0.166	0.997*x*y - 2.664*z + 0.083	18	proged	numdif	allonger	lorenz	inf	0
19	46	92	0.4803283748657206	0.4803283748657206	-9.966*x + 9.966*y	-0.99*x*z + 27.566*x - 0.917*y - 0.003*z**2 + 0.123*z - 0.841	0.997*x*y - 2.664*z + 0.083	19	proged	numdif	allonger	lorenz	inf	0
20	57	113	0.24925503080660966	0.24925503080660966	-9.96*x + 9.995*y - 0.214	-0.996*x*z + 27.796*x + 0.555*x/(x + 22.782) - 0.908*y	0.997*x*y - 2.664*z + 0.083	20	proged	numdif	allonger	lorenz	inf	0
21	41	83	0.7122261522089652	0.7122261522089652	-9.96*x + 9.995*y - 0.214	-0.992*x*z + 27.696*x - 0.942*y + 0.166	0.997*x*y - 2.664*z + 0.083	21	proged	numdif	allonger	lorenz	inf	0
