  index    complexity    length       TE    TE_inf  expr_x                                                                    expr_y                                                                                              index_column  method    data_version    system      snr    init
    239            61       294  1.28665   1.56053  x1/(x2*(-x1*(x1 - 2.586) - 3.655*x2 + 15.782) - 19.14)                    -0.002*x1/((1.066 - x2)*(3*x1 - 1.435*x1/(1.024 - x2) + 2*x2 - 3.118)) - 1.43 - (-x1 - 2.921)/x2             239  dso       all             lv           13       0
    158            58       280  1.31317   1.66598  0.252/(1.263 + 0.987/(x1*(x1 - 1.759)))                                   -0.002*x1/((1.066 - x2)*(3*x1 - 1.435*x1/(1.024 - x2) + 2*x2 - 3.118)) - 1.43 - (-x1 - 2.921)/x2             158  dso       all             lv           13       0
    104            51       222  1.32739   1.63371  x1**2*(x1*x2 - 5.426)                                                     -0.002*x1/((1.066 - x2)*(3*x1 - 1.435*x1/(1.024 - x2) + 2*x2 - 3.118)) - 1.43 - (-x1 - 2.921)/x2             104  dso       all             lv           13       0
     77            49       219  1.3374    1.66494  x1**2*(x1 - 4.733)                                                        -0.002*x1/((1.066 - x2)*(3*x1 - 1.435*x1/(1.024 - x2) + 2*x2 - 3.118)) - 1.43 - (-x1 - 2.921)/x2              77  dso       all             lv           13       0
     97            47       234  1.35425   1.79674  x1**2*(x1*x2 - 5.426)                                                     -0.017*x1 - (0.017*x2 + 0.008/(1.07 - x2))/((x2 - 0.967)*(x2 + 0.502/(1.285 - x2))) + 0.086                   97  dso       all             lv           13       0
     70            45       231  1.36228   1.81064  x1**2*(x1 - 4.733)                                                        -0.017*x1 - (0.017*x2 + 0.008/(1.07 - x2))/((x2 - 0.967)*(x2 + 0.502/(1.285 - x2))) + 0.086                   70  dso       all             lv           13       0
    466            44       235  1.37339   2.20074  x1**2*x2/(-x1 - (0.078*x1 + 0.013)/(x1 + x2 - 2.156) - 1.753 + 4.187/x2)  x1 + 0.006/(-x2*(x2 - 0.865) + 1.173)                                                                        466  dso       all             lv           13       0
    439            42       217  1.3737    2.23009  x1**2*x2/(-x1 - 1.116*x2 - (0.122*x1 + 0.02)/(x1 + x2 - 2.156) + 2.702)   x1 + 0.006/(-x2*(x2 - 0.865) + 1.173)                                                                        439  dso       all             lv           13       0
     94            38       184  1.38514   1.81118  x1**2*(x1*x2 - 5.426)                                                     0.007 + 0.002/(x2 + 0.929/(1.018 - x2)) - 0.001/(x1*(0.97 - x2))                                              94  dso       all             lv           13       0
     67            36       181  1.40004   1.84484  x1**2*(x1 - 4.733)                                                        0.007 + 0.002/(x2 + 0.929/(1.018 - x2)) - 0.001/(x1*(0.97 - x2))                                              67  dso       all             lv           13       0
      7            17       100  1.42579   1.78709  -2.492*x1                                                                 x1 + 0.006/(-x2*(x2 - 0.865) + 1.173)                                                                          7  dso       all             lv           13       0
      4            13        69  1.51288   2.48444  -2.492*x1                                                                 -1.262*x1/(0.964 - x2)                                                                                         4  dso       all             lv           13       0
     55            12        71  1.6518    3.16225  x1**2*(x1 - 4.733)                                                        2.28*x1 - 0.212                                                                                               55  dso       all             lv           13       0
     28            10        66  1.7533    3.63618  -3.806*x1**2                                                              2.28*x1 - 0.212                                                                                               28  dso       all             lv           13       0
      0             6        43  1.80052   3.8617   -2.492*x1                                                                 1.806*x1                                                                                                       0  dso       all             lv           13       0
