  index    complexity    length        TE     TE_inf  expr_x                                expr_y                                                                                  index_column  method    data_version    system      snr    init
    179            38       243  0.362743  0.0824207  -9.075*x2 - 34.56*x2*(x2 - 0.976)/x1  x2*(x2*((x1*x2 - 0.561)*(0.815*x1 + 0.815*x2*(x1 - 6.621) - 1.882) + 1.292) - 0.937)             179  dso       all             lv           30       1
    176            30       175  0.367016  0.0998418  -9.075*x2 - 34.56*x2*(x2 - 0.976)/x1  x2*(x2*((x1 - 4.638)*(x1*x2 - 1.02) + 0.689) - 1.018)                                            176  dso       all             lv           30       1
    124            23       101  0.386067  0.117358   x2*(-12.153*x2 + 9.826/x1)            x2*(-x2 - 2.68 + 5.305/x1)                                                                       124  dso       all             lv           30       1
    100            21       122  0.577843  0.457382   (0.065 - 14.636*x2)*(x2 - 0.348)      x2*(-x2 - 2.68 + 5.305/x1)                                                                       100  dso       all             lv           30       1
     76            19        98  0.732278  0.650851   x2*(5.034 - 14.51*x2)                 x2*(-x2 - 2.68 + 5.305/x1)                                                                        76  dso       all             lv           30       1
    169            18        98  0.920092  0.845722   -9.075*x2 - 34.56*x2*(x2 - 0.976)/x1  -2.233*x2**2                                                                                     169  dso       all             lv           30       1
    168            16        95  1.09872   1.07914    -9.075*x2 - 34.56*x2*(x2 - 0.976)/x1  -1.324*x2                                                                                        168  dso       all             lv           30       1
    120            14        71  1.45429   1.46963    x2*(-12.153*x2 + 9.826/x1)            -1.324*x2                                                                                        120  dso       all             lv           30       1
     72            10        68  2.29363   2.3668     x2*(5.034 - 14.51*x2)                 -1.324*x2                                                                                         72  dso       all             lv           30       1
      0             6        44  5.44577   5.68276    -3.657*x2                             -1.324*x2                                                                                          0  dso       all             lv           30       1
