  index    complexity    length         TE     TE_inf  expr_x                                      expr_y                                                                            index_column  method    data_version    system      snr    init
     69            41       227  0.0737599  0.0737599  -2.874*x1 - 5.846*x2 + 8.621                -0.021*x1/(-1.107 + (x1*(x2 - 0.36)/(x1/(1.058*x2 + 1.14) + 2*x2) + 0.476)/x2)              69  dso       all             lv          inf       1
     86            40       216  0.0754739  0.0754739  -2.874*x1 - 5.846*x2 + 8.621                x2/(x1*(2.167*x1/(-0.631*x1 - 4.486 - 2.531*x2**2/x1 + 8.579/x1) + 1.461))                  86  dso       all             lv          inf       1
     68            39       223  0.080754   0.080754   -2.874*x1 - 5.846*x2 + 8.621                -0.023*x1/(-3.552 + (x1*(x2 + 2.018)/(x1/(1.636*x2 - 0.006) + x2) + 0.1)/x2)                68  dso       all             lv          inf       1
    123            37       234  0.085607   0.085607   0.652*x1**2 - 6.624*x1 - 6.309*x2 + 14.015  x1*x2/(7.794 + (-6.397*x1*(0.464*x1 - 1.262) + 8.222*x2 - 31.628)/x1)                      123  dso       all             lv          inf       1
     85            32       211  0.0866616  0.0866616  -2.874*x1 - 5.846*x2 + 8.621                x1*x2/(7.794 + (-6.397*x1*(0.464*x1 - 1.262) + 8.222*x2 - 31.628)/x1)                       85  dso       all             lv          inf       1
     63            22       155  0.0890521  0.0890521  -2.874*x1 - 5.846*x2 + 8.621                -2.632*x2 - 0.941 + (2.632*x2 + 2.811)/x1                                                   63  dso       all             lv          inf       1
     61            18       132  0.161446   0.161446   -2.874*x1 - 5.846*x2 + 8.621                -1.791*x2 - 1.315 + 3.915/x1                                                                61  dso       all             lv          inf       1
     60            16       134  0.207418   0.207418   -2.874*x1 - 5.846*x2 + 8.621                -0.501*x1 - 1.689*x2 + 1.489                                                                60  dso       all             lv          inf       1
     41            14       117  0.480818   0.480818   -13.468*x2*(x2 - 0.34)                      -0.501*x1 - 1.689*x2 + 1.489                                                                41  dso       all             lv          inf       1
     58            13        90  0.645937   0.645937   -2.874*x1 - 5.846*x2 + 8.621                -2.2*x2**2                                                                                  58  dso       all             lv          inf       1
     76            11        88  0.664801   0.664801   -2.874*x1 - 5.846*x2 + 8.621                -1.32*x2                                                                                    76  dso       all             lv          inf       1
     38             9        70  2.23933    2.23933    -13.468*x2*(x2 - 0.34)                      -1.32*x2                                                                                    38  dso       all             lv          inf       1
      0             6        42  5.46624    5.46624    -3.543*x2                                   -1.32*x2                                                                                     0  dso       all             lv          inf       1
