	index	complexity	length	TE	TE_inf	expr_x	expr_y	index_column	method	data_version	system	snr	init
9	179	38	243	0.3627429260214146	0.08242073833291724	-9.075*x2 - 34.56*x2*(x2 - 0.976)/x1	x2*(x2*((x1*x2 - 0.561)*(0.815*x1 + 0.815*x2*(x1 - 6.621) - 1.882) + 1.292) - 0.937)	179	dso	all	lv	30	1
8	176	30	175	0.3670158611973973	0.09984176552570662	-9.075*x2 - 34.56*x2*(x2 - 0.976)/x1	x2*(x2*((x1 - 4.638)*(x1*x2 - 1.02) + 0.689) - 1.018)	176	dso	all	lv	30	1
5	124	23	101	0.3860674626090608	0.1173575325825294	x2*(-12.153*x2 + 9.826/x1)	x2*(-x2 - 2.68 + 5.305/x1)	124	dso	all	lv	30	1
3	100	21	122	0.5778429819526817	0.4573822640310469	(0.065 - 14.636*x2)*(x2 - 0.348)	x2*(-x2 - 2.68 + 5.305/x1)	100	dso	all	lv	30	1
2	76	19	98	0.7322775159730918	0.6508514088408778	x2*(5.034 - 14.51*x2)	x2*(-x2 - 2.68 + 5.305/x1)	76	dso	all	lv	30	1
7	169	18	98	0.9200923762908787	0.8457218619941969	-9.075*x2 - 34.56*x2*(x2 - 0.976)/x1	-2.233*x2**2	169	dso	all	lv	30	1
6	168	16	95	1.0987235201193684	1.0791364025618568	-9.075*x2 - 34.56*x2*(x2 - 0.976)/x1	-1.324*x2	168	dso	all	lv	30	1
4	120	14	71	1.454287326366778	1.469628244436065	x2*(-12.153*x2 + 9.826/x1)	-1.324*x2	120	dso	all	lv	30	1
1	72	10	68	2.293633364972923	2.3667956873009466	x2*(5.034 - 14.51*x2)	-1.324*x2	72	dso	all	lv	30	1
0	0	6	44	5.445773488785025	5.682761135926368	-3.657*x2	-1.324*x2	0	dso	all	lv	30	1
