  index    complexity    length        TE    TE_inf  expr_x                                                   expr_y                                                   index_column  method    data_version    system      snr    init
    222            43       252  0.328313  0.102395  -7.813*x1 + 86.396*x1/(4.224*x1**2 - 4.224*x1 + 12.624)  -x2 + 2.01 + 2.494/(0.925 - (3.002 + 0.013*x2/x1)/x1)             222  dso       allonger        lv           30       3
    215            33       186  0.335874  0.131247  -7.813*x1 + 86.396*x1/(4.224*x1**2 - 4.224*x1 + 12.624)  x1/(0.386*x1 - 1.253) - x2 + 1.995                                215  dso       allonger        lv           30       3
    212            27       144  0.383811  0.227635  -7.813*x1 + 86.396*x1/(4.224*x1**2 - 4.224*x1 + 12.624)  x1*x2*(0.656 - x1)                                                212  dso       allonger        lv           30       3
     89            24       144  0.467969  0.336409  x1*(-1.341*x1 - 1.341*x2 + 2.25)                         x1/(0.386*x1 - 1.253) - x2 + 1.995                                 89  dso       allonger        lv           30       3
    107            21       124  0.613568  0.536378  -x1*(1.344*x1 + 1.344*x2 - 2.27) - 0.007                 x1*x2*(0.656 - x1)                                                107  dso       allonger        lv           30       3
     26            19        98  0.771806  0.701327  -1.715*x1**2                                             x1/(0.386*x1 - 1.253) - x2 + 1.995                                 26  dso       allonger        lv           30       3
     86            18       102  0.903909  0.867356  x1*(-1.341*x1 - 1.341*x2 + 2.25)                         x1*x2*(0.656 - x1)                                                 86  dso       allonger        lv           30       3
      5            17        95  1.3463    1.3257    -2.083*x1                                                x1/(0.386*x1 - 1.253) - x2 + 1.995                                  5  dso       allonger        lv           30       3
     25            16        71  2.31843   2.37211   -1.715*x1**2                                             x1/(0.766 - 2.578/x1)                                              25  dso       allonger        lv           30       3
     23            13        56  3.68842   3.78348   -1.715*x1**2                                             x1*x2*(0.656 - x1)                                                 23  dso       allonger        lv           30       3
      3            11        52  4.72943   4.86702   -2.083*x1                                                x1*x2/(x1 - 3.285)                                                  3  dso       allonger        lv           30       3
      0             6        44  5.97901   6.16091   -2.083*x1                                                -1.72*x1                                                            0  dso       allonger        lv           30       3
