  index    complexity    length          TE      TE_inf  expr_x                                                                                                                          expr_y                                                                                                                      index_column  method    data_version    system      snr    init
    278            92       433  0.00115386  0.00115386  (-0.99*x1 + 0.99*(-x1**2 + 2*x1 - x2 + 1.999)/(260.715 + (1.06*x1 - 0.53*x2 - 260.215)/x1))*(x1 + 2.016*x2 - 3.022)             x1 - (x1*((x1 + (x2 - 0.e-3/(1.002 - x1))/x2)*(3.449*x2 - 2.931) + 1.358/(x1 + x2)) + 2.636*x2**2 - 7.281*x2 + 4.017)/x2             278  dso       allonger        lv          inf       0
    298            91       451  0.00117416  0.00117416  (-2.985*x1 + 2.985*(-x1*(x1**2 + 0.004) + 1)/(110.773 + (1568.69*x1 - 784.345*x2 + 673.463)/x1))*(0.332*x1 + 0.668*x2 - 1.001)  x1 - (x1*((x1 + (x2 - 0.e-3/(1.002 - x1))/x2)*(3.449*x2 - 2.931) + 1.358/(x1 + x2)) + 2.636*x2**2 - 7.281*x2 + 4.017)/x2             298  dso       allonger        lv          inf       0
    276            83       400  0.00118057  0.00118057  (-0.99*x1 + 0.99*(-x1**2 + 2*x1 - x2 + 1.999)/(260.715 + (1.06*x1 - 0.53*x2 - 260.215)/x1))*(x1 + 2.016*x2 - 3.022)             x1 - (x1*(x1 + 1)*(3.226*x2 - 2.07) + 2.69*x2**2 - 7.635*x2 + 4.508)/x2                                                              276  dso       allonger        lv          inf       0
    296            82       418  0.0011912   0.0011912   (-2.985*x1 + 2.985*(-x1*(x1**2 + 0.004) + 1)/(110.773 + (1568.69*x1 - 784.345*x2 + 673.463)/x1))*(0.332*x1 + 0.668*x2 - 1.001)  x1 - (x1*(x1 + 1)*(3.226*x2 - 2.07) + 2.69*x2**2 - 7.635*x2 + 4.508)/x2                                                              296  dso       allonger        lv          inf       0
    396            80       417  0.00121565  0.00121565  x1 - 1.234*x1*(-0.005*x1*(x2 - 1.686)*(-2*x1 + x2 - 1.001)/(x1 - 1.0) + 0.811*x2)*(x1 + 2*x2 - 2.0)/x2                          x1 - (x1*(x1 + 1)*(3.226*x2 - 2.07) + 2.69*x2**2 - 7.635*x2 + 4.508)/x2                                                              396  dso       allonger        lv          inf       0
    376            76       393  0.00121623  0.00121623  -0.999*x1*x2 + x1 - 0.982*x1*(-0.008*x1*x2*(-2*x1 + x2 - 1.001)/(x1 - 1.0) + 1.018*x2)*(x1 + x2 - 1.999)/x2                     x1 - (x1*(x1 + 1)*(3.226*x2 - 2.07) + 2.69*x2**2 - 7.635*x2 + 4.508)/x2                                                              376  dso       allonger        lv          inf       0
    112            47       283  0.00280778  0.00280778  -2.133*x1*(x1*(-0.581*x1 + 0.581*x2)/x2 + x2 - 1.531)                                                                           -3.031*x2/(1.319*x1*(x1 + x2/(x2*(x1 - 0.543) + x2) - 3.644) + 1.319*x1 + 2.337) + 2.594                                             112  dso       allonger        lv          inf       0
    132            45       255  0.00331063  0.00331063  -2.171*x1*x2 + x1 - 4.736*x1/(-x1 - 2.035)                                                                                      -3.031*x2/(1.319*x1*(x1 + x2/(x2*(x1 - 0.543) + x2) - 3.644) + 1.319*x1 + 2.337) + 2.594                                             132  dso       allonger        lv          inf       0
    111            37       240  0.00433853  0.00433853  -2.133*x1*(x1*(-0.581*x1 + 0.581*x2)/x2 + x2 - 1.531)                                                                           -4.294*x1*x2*(-0.212*x1*x2 + x1 - 0.004*x2 + 0.028) - x2 + 2.0                                                                       111  dso       allonger        lv          inf       0
    131            35       212  0.00457284  0.00457284  -2.171*x1*x2 + x1 - 4.736*x1/(-x1 - 2.035)                                                                                      -4.294*x1*x2*(-0.212*x1*x2 + x1 - 0.004*x2 + 0.028) - x2 + 2.0                                                                       131  dso       allonger        lv          inf       0
    129            34       185  0.00510837  0.00510837  -2.171*x1*x2 + x1 - 4.736*x1/(-x1 - 2.035)                                                                                      -2.144*x1*x2*(-0.427*x1*x2 + 2*x1 + 0.043) - x2 + 2.0                                                                                129  dso       allonger        lv          inf       0
     89            33       226  0.0101205   0.0101205   -2.441*x1 - (2.441*x1 + 0.133)*(x2 - 2.438) - 0.058                                                                             -2.144*x1*x2*(-0.427*x1*x2 + 2*x1 + 0.043) - x2 + 2.0                                                                                 89  dso       allonger        lv          inf       0
    187            29       206  0.0133696   0.0133696   -0.702*x1*x2*(x2 + (x1 + 1.64)*(-0.313*x1*x2 + x1) - 1.31)                                                                      x1*(x1 - 0.173)*(3.002*x2 - 16.122)                                                                                                  187  dso       allonger        lv          inf       0
    147            26       181  0.0278699   0.0278699   -0.705*x1*(-0.914*x1**2 + x2)*(x1 + x2 - 1.34)                                                                                  x1*(x1 - 0.173)*(3.002*x2 - 16.122)                                                                                                  147  dso       allonger        lv          inf       0
     69            25       159  0.0314099   0.0314099   -1.576*x1*(x1 + x2 - 1.484)                                                                                                     -2.144*x1*x2*(-0.427*x1*x2 + 2*x1 + 0.043) - x2 + 2.0                                                                                 69  dso       allonger        lv          inf       0
     66            17       123  0.0901979   0.0901979   -1.576*x1*(x1 + x2 - 1.484)                                                                                                     -0.469*x2**2*(x1 + 0.851) + 1.597                                                                                                     66  dso       allonger        lv          inf       0
      5            13        91  0.575764    0.575764    -2.211*x1                                                                                                                       -0.469*x2**2*(x1 + 0.851) + 1.597                                                                                                      5  dso       allonger        lv          inf       0
      2            10        49  1.0771      1.0771      -2.211*x1                                                                                                                       x1/(x1 - 1.125)                                                                                                                        2  dso       allonger        lv          inf       0
      3             9        70  3.25939     3.25939     -2.211*x1                                                                                                                       -7.374*x1*(x1 - 0.123)                                                                                                                 3  dso       allonger        lv          inf       0
      1             8        62  4.10902     4.10902     -2.211*x1                                                                                                                       0.059 - 3.369*x1                                                                                                                       1  dso       allonger        lv          inf       0
      0             6        43  5.48391     5.48391     -2.211*x1                                                                                                                       -3.204*x1                                                                                                                              0  dso       allonger        lv          inf       0
