  index    complexity    length          TE      TE_inf  expr_x                                                                                 expr_y                                                            index_column  method    data_version    system      snr    init
    265            49       325  0.00175257  0.00175257  x1*(-x1*(x2*(-0.077*x1**2 + 0.654*x1 - 1.812) + 3.637) + 2.639*x1 - 3.639*x2 + 2.993)  -0.702*x2*(x1 + (0.918 - x2)*(0.845*x1*x2 - 4.036*x2 - 1.717))             265  dso       allonger        lv          inf       1
    264            47       300  0.00178289  0.00178289  x1*(-x1*(x2*(-0.077*x1**2 + 0.654*x1 - 1.812) + 3.637) + 2.639*x1 - 3.639*x2 + 2.993)  -0.703*x2*(x1 + (0.919 - x2)*(0.843*x1*x2 - 4.019*x2 - 1.717))             264  dso       allonger        lv          inf       1
    214            43       286  0.00210115  0.00210115  2*x1 + (-1.123*x1**2 + x1 - 3.053)*(-0.136*x1*x2 + x2 + 0.869) + 2.837                 -0.702*x2*(x1 + (0.918 - x2)*(0.845*x1*x2 - 4.036*x2 - 1.717))             214  dso       allonger        lv          inf       1
    213            41       261  0.00211607  0.00211607  2*x1 + (-1.123*x1**2 + x1 - 3.053)*(-0.136*x1*x2 + x2 + 0.869) + 2.837                 -0.703*x2*(x1 + (0.919 - x2)*(0.843*x1*x2 - 4.019*x2 - 1.717))             213  dso       allonger        lv          inf       1
    211            39       230  0.00287995  0.00287995  2*x1 + (-1.123*x1**2 + x1 - 3.053)*(-0.136*x1*x2 + x2 + 0.869) + 2.837                 x2*(-0.782*x1 - x2 + 3.415/(0.384*x1 + 1.393))                             211  dso       allonger        lv          inf       1
    226            32       217  0.00308373  0.00308373  0.083*x1*(-x1 - 2.0*x2 + 3.0)*(-0.459*x1*(x1 + 6.274) + 5.728*x1 + 7.805)              x2*(-0.988*x1 - x2 + 1.97)                                                 226  dso       allonger        lv          inf       1
    209            31       187  0.00373262  0.00373262  2*x1 + (-1.123*x1**2 + x1 - 3.053)*(-0.136*x1*x2 + x2 + 0.869) + 2.837                 x2*(-0.988*x1 - x2 + 1.97)                                                 209  dso       allonger        lv          inf       1
     90            22       128  0.00437648  0.00437648  (x1 - 0.014)*(-x1 - 2.001*x2 + 3.0)                                                    x2*(-0.988*x1 - x2 + 1.97)                                                  90  dso       allonger        lv          inf       1
     56            20       104  0.00742183  0.00742183  x1*(-x1 - 1.995*x2 + 3.0)                                                              x2*(-0.988*x1 - x2 + 1.97)                                                  56  dso       allonger        lv          inf       1
    124            19       121  0.094923    0.094923    -2.648*x2*(x1 + 4.382*x2 - 3.935)                                                      x2*(-0.988*x1 - x2 + 1.97)                                                 124  dso       allonger        lv          inf       1
     53            17        99  0.18077     0.18077     x1*(-x1 - 1.995*x2 + 3.0)                                                              x2*(2.466 - 1.374*x1)                                                       53  dso       allonger        lv          inf       1
     86            16       101  0.535107    0.535107    (x1 - 0.014)*(-x1 - 2.001*x2 + 3.0)                                                    -0.495*x1*x2                                                                86  dso       allonger        lv          inf       1
     52            14        77  0.537141    0.537141    x1*(-x1 - 1.995*x2 + 3.0)                                                              -0.495*x1*x2                                                                52  dso       allonger        lv          inf       1
     51            13        74  0.575502    0.575502    x1*(-x1 - 1.995*x2 + 3.0)                                                              -1.254*x2                                                                   51  dso       allonger        lv          inf       1
    119            12        91  1.81885     1.81885     -2.648*x2*(x1 + 4.382*x2 - 3.935)                                                      -1.254*x2                                                                  119  dso       allonger        lv          inf       1
     35            10        74  2.22565     2.22565     -16.435*x2*(x2 - 0.359)                                                                -0.495*x1*x2                                                                35  dso       allonger        lv          inf       1
     34             9        71  4.23675     4.23675     -16.435*x2*(x2 - 0.359)                                                                -1.254*x2                                                                   34  dso       allonger        lv          inf       1
      1             7        47  5.46799     5.46799     -3.119*x2                                                                              -0.495*x1*x2                                                                 1  dso       allonger        lv          inf       1
      0             6        44  6.97089     6.97089     -3.119*x2                                                                              -1.254*x2                                                                    0  dso       allonger        lv          inf       1
