  index    complexity    length          TE      TE_inf  expr_x                                                                                                               expr_y                                                                                                                         index_column  method    data_version    system      snr    init
    341            84       433  0.00536783  0.00536783  (2.037 - x2)*(x2*(x1*(x2 - 0.894)/(14.628 - 1.784*x1) + 0.634) + x2 + 1.02)*(-x1*x2*(x2 - 0.079) - 0.36*x1 + 1.081)  -x2*(x1 + 0.011*x2*(-901.813*x2**2*(-x1**2 + 3.997*x1*x2)/(55.445*x1**2 - x1/(x1 + x2) + x2 - 3555.193) + 91.001)) + 2.0*x2             341  dso       allonger        lv          inf       2
    338            68       399  0.00552744  0.00552744  (2.037 - x2)*(x2*(x1*(x2 - 0.894)/(14.628 - 1.784*x1) + 0.634) + x2 + 1.02)*(-x1*x2*(x2 - 0.079) - 0.36*x1 + 1.081)  -x2*(x1 + x2*(0.005*x2**3*(x1 - 7.913)/(-0.185*x1 + x2**2 - 2.534) + 0.989)) + 1.996*x2                                                 338  dso       allonger        lv          inf       2
    318            66       373  0.00589023  0.00589023  (2.071 - x2)*(x2*(x1*x2**2/(53.406 - 6.344*x1) + 1.5) + 0.998)*(-x1*x2*(x2 - 0.08) - 0.358*x1 + 1.073)               -x2*(x1 + x2*(0.002*x1*x2*(x1 - 7.905)/(-0.271*x1 + x2**2 - 1.836) + 0.991)) + 2.001*x2                                                 318  dso       allonger        lv          inf       2
    184            52       300  0.0100777   0.0100777   (2.672 - x2)*(0.106*x1*x2 + 0.744)*(-x1*x2*(x2 + 0.278) - 0.751*x1 + 2.252)                                          -x2*(x1 + x2*(-0.005*x1*x2**2*(x1 - 6.3)*(x1 - x2 - 4.676) + 1.075)) + 2.009*x2                                                         184  dso       allonger        lv          inf       2
    183            49       314  0.0110112   0.0110112   (2.672 - x2)*(0.106*x1*x2 + 0.744)*(-x1*x2*(x2 + 0.278) - 0.751*x1 + 2.252)                                          -x2*(x1 + x2*(-0.839*x2*(x1 - 0.237)*(x1 - 4.428*x2 + 0.948) + 1.886)) + 2.002*x2                                                       183  dso       allonger        lv          inf       2
    182            48       273  0.0200077   0.0200077   (2.672 - x2)*(0.106*x1*x2 + 0.744)*(-x1*x2*(x2 + 0.278) - 0.751*x1 + 2.252)                                          -x2*(x1 + x2*(-0.001*x1**2*x2**2*(x1 - 7.526) + 0.835)) + 1.932*x2                                                                      182  dso       allonger        lv          inf       2
    177            41       250  0.0211963   0.0211963   (2.672 - x2)*(0.106*x1*x2 + 0.744)*(-x1*x2*(x2 + 0.278) - 0.751*x1 + 2.252)                                          70.99*x2*(-0.6 - (x2 - 43.866)/(2*x1 + 69.041))                                                                                         177  dso       allonger        lv          inf       2
    176            38       246  0.0239441   0.0239441   (2.672 - x2)*(0.106*x1*x2 + 0.744)*(-x1*x2*(x2 + 0.278) - 0.751*x1 + 2.252)                                          x2*(-49.522 + 2603.286/(1.271*x1 + x2 + 49.977))                                                                                        176  dso       allonger        lv          inf       2
    175            33       211  0.0341535   0.0341535   (2.672 - x2)*(0.106*x1*x2 + 0.744)*(-x1*x2*(x2 + 0.278) - 0.751*x1 + 2.252)                                          -0.971*x2*(x1 + x2 - 0.914) + x2                                                                                                        175  dso       allonger        lv          inf       2
     79            20       129  0.122491    0.122491    x2*(-3.076*x1 - 10.451*x2 + 11.181)                                                                                  (0.002 - x2)*(x1 + x2 - 2.023)                                                                                                           79  dso       allonger        lv          inf       2
     80            19       127  0.232821    0.232821    x2*(-3.076*x1 - 10.451*x2 + 11.181)                                                                                  -0.971*x2*(x1 + x2 - 0.914) + x2                                                                                                         80  dso       allonger        lv          inf       2
     97            16       118  0.737049    0.737049    x2*(-3.076*x1 - 10.451*x2 + 11.181)                                                                                  -1.247*x2*(x1 - 1.651)                                                                                                                   97  dso       allonger        lv          inf       2
      1             9        33  2.41497     2.41497     -10.89*x2                                                                                                            -x1*x2 + x2                                                                                                                               1  dso       allonger        lv          inf       2
      0             6        44  8.02503     8.02503     -10.89*x2                                                                                                            -2.878*x2                                                                                                                                 0  dso       allonger        lv          inf       2
