  index    complexity    length          TE      TE_inf  expr_x                                                                                                                                                 expr_y                                                            index_column  method    data_version    system      snr    init
    432            75       393  0.00410893  0.00410893  (x1*(-x2 + (x1 - 1.001)*(x1*(x1*x2**2 - x2)*(-0.128*x1*(0.222*x2*(x2 - 1) - x2 + 1.877) + 0.029) - 0.516)) + x1)*(-0.063*x1*x2**2 + 0.063*x2 + 2.057)  0.605*x2*(-1.662*x1 - x2) + 3.33 - 1.816/x2                                432  dso       allonger        lv          inf       3
    364            59       331  0.00700075  0.00700075  (2.213 - 0.641*x1)*(x1*(-x2 + (x1**3*(0.015*x1*(-0.403*x2*(x2 - 1) + x2) - 0.054) - 0.087)*(x1*(x1 + 5.081) + x1 - 5.924)) + x1)                       0.605*x2*(-1.662*x1 - x2) + 3.33 - 1.816/x2                                364  dso       allonger        lv          inf       3
    196            44       270  0.0107362   0.0107362   (1.603 - 0.276*x1)*(x1*(-x2 + (0.514 - 0.674*x1)*(x1 + 0.602)) + x1)                                                                                   (0.184*x2 - 0.019)*(-5.78*x1 - x2 - 12.264) + 7.061 - 4.149/x2             196  dso       allonger        lv          inf       3
    194            40       229  0.0114156   0.0114156   (1.603 - 0.276*x1)*(x1*(-x2 + (0.514 - 0.674*x1)*(x1 + 0.602)) + x1)                                                                                   0.605*x2*(-1.662*x1 - x2) + 3.33 - 1.816/x2                                194  dso       allonger        lv          inf       3
    243            36       229  0.0134399   0.0134399   -4.32*x2*(x1 - 1.207)/(x1 + x2*(0.3*x1*x2 - 2.681*x1 + 1.605*x2)) + x2 - 3.625                                                                         x2*(-0.993*x1 - 0.991*x2 + 1.981)                                          243  dso       allonger        lv          inf       3
    192            33       205  0.0138847   0.0138847   (1.603 - 0.276*x1)*(x1*(-x2 + (0.514 - 0.674*x1)*(x1 + 0.602)) + x1)                                                                                   x2*(-0.993*x1 - 0.991*x2 + 1.981)                                          192  dso       allonger        lv          inf       3
    175            32       184  0.0187723   0.0187723   (2.698 - 0.355*x1)*(-x1*(x2*(0.285*x1 + 1.661) - x2) + x1)                                                                                             x2*(-0.993*x1 - 0.991*x2 + 1.981)                                          175  dso       allonger        lv          inf       3
    110            31       213  0.0200344   0.0200344   -x1*(0.999*x1 + 1.951*x2 - 2.918) + 0.001                                                                                                              0.45*x2*(-2.243*x1 - x2 - 1.909) + 4.883 - 2.73/x2                         110  dso       allonger        lv          inf       3
    109            30       192  0.0224038   0.0224038   -x1*(0.999*x1 + 1.951*x2 - 2.918) + 0.001                                                                                                              0.605*x2*(-1.662*x1 - x2) + 3.33 - 1.816/x2                                109  dso       allonger        lv          inf       3
    107            23       168  0.0262492   0.0262492   -x1*(0.999*x1 + 1.951*x2 - 2.918) + 0.001                                                                                                              x2*(-0.993*x1 - 0.991*x2 + 1.981)                                          107  dso       allonger        lv          inf       3
     90            21       127  0.0304641   0.0304641   2*x1*(-0.485*x1 - x2 + 1.485)                                                                                                                          x2*(-0.993*x1 - 0.991*x2 + 1.981)                                           90  dso       allonger        lv          inf       3
     71            20       122  0.783372    0.783372    x1*(-1.598*x1 - x2 + 1.939)                                                                                                                            x2*(-0.993*x1 - 0.993*x2 + 1.986)                                           71  dso       allonger        lv          inf       3
     19            13        57  1.16712     1.16712     -1.287*x1*x2                                                                                                                                           -x1*x2 - x2 + 2.057                                                         19  dso       allonger        lv          inf       3
      2            12        54  1.20245     1.20245     -2.096*x1                                                                                                                                              -x1*x2 - x2 + 2.057                                                          2  dso       allonger        lv          inf       3
     34            10        66  2.07652     2.07652     x1*(4.34 - 3.425*x2)                                                                                                                                   -1.348*x1                                                                   34  dso       allonger        lv          inf       3
     17             7        47  2.13559     2.13559     -1.287*x1*x2                                                                                                                                           -1.348*x1                                                                   17  dso       allonger        lv          inf       3
      0             6        44  4.45477     4.45477     -2.096*x1                                                                                                                                              -1.348*x1                                                                    0  dso       allonger        lv          inf       3
