	index	complexity	length	TE	TE_inf	expr_x	expr_y	index_column	method	data_version	system	snr	init
16	432	75	393	0.004108933919127321	0.004108933919127321	(x1*(-x2 + (x1 - 1.001)*(x1*(x1*x2**2 - x2)*(-0.128*x1*(0.222*x2*(x2 - 1) - x2 + 1.877) + 0.029) - 0.516)) + x1)*(-0.063*x1*x2**2 + 0.063*x2 + 2.057)	0.605*x2*(-1.662*x1 - x2) + 3.33 - 1.816/x2	432	dso	allonger	lv	inf	3
15	364	59	331	0.007000746538960146	0.007000746538960146	(2.213 - 0.641*x1)*(x1*(-x2 + (x1**3*(0.015*x1*(-0.403*x2*(x2 - 1) + x2) - 0.054) - 0.087)*(x1*(x1 + 5.081) + x1 - 5.924)) + x1)	0.605*x2*(-1.662*x1 - x2) + 3.33 - 1.816/x2	364	dso	allonger	lv	inf	3
13	196	44	270	0.010736183990760116	0.010736183990760116	(1.603 - 0.276*x1)*(x1*(-x2 + (0.514 - 0.674*x1)*(x1 + 0.602)) + x1)	(0.184*x2 - 0.019)*(-5.78*x1 - x2 - 12.264) + 7.061 - 4.149/x2	196	dso	allonger	lv	inf	3
12	194	40	229	0.011415572987901561	0.011415572987901561	(1.603 - 0.276*x1)*(x1*(-x2 + (0.514 - 0.674*x1)*(x1 + 0.602)) + x1)	0.605*x2*(-1.662*x1 - x2) + 3.33 - 1.816/x2	194	dso	allonger	lv	inf	3
14	243	36	229	0.013439911713732197	0.013439911713732197	-4.32*x2*(x1 - 1.207)/(x1 + x2*(0.3*x1*x2 - 2.681*x1 + 1.605*x2)) + x2 - 3.625	x2*(-0.993*x1 - 0.991*x2 + 1.981)	243	dso	allonger	lv	inf	3
11	192	33	205	0.013884740848206649	0.013884740848206649	(1.603 - 0.276*x1)*(x1*(-x2 + (0.514 - 0.674*x1)*(x1 + 0.602)) + x1)	x2*(-0.993*x1 - 0.991*x2 + 1.981)	192	dso	allonger	lv	inf	3
10	175	32	184	0.018772343954315783	0.018772343954315783	(2.698 - 0.355*x1)*(-x1*(x2*(0.285*x1 + 1.661) - x2) + x1)	x2*(-0.993*x1 - 0.991*x2 + 1.981)	175	dso	allonger	lv	inf	3
9	110	31	213	0.020034353270907745	0.020034353270907745	-x1*(0.999*x1 + 1.951*x2 - 2.918) + 0.001	0.45*x2*(-2.243*x1 - x2 - 1.909) + 4.883 - 2.73/x2	110	dso	allonger	lv	inf	3
8	109	30	192	0.022403751995604786	0.022403751995604786	-x1*(0.999*x1 + 1.951*x2 - 2.918) + 0.001	0.605*x2*(-1.662*x1 - x2) + 3.33 - 1.816/x2	109	dso	allonger	lv	inf	3
7	107	23	168	0.026249210251257194	0.026249210251257194	-x1*(0.999*x1 + 1.951*x2 - 2.918) + 0.001	x2*(-0.993*x1 - 0.991*x2 + 1.981)	107	dso	allonger	lv	inf	3
6	90	21	127	0.030464089851937652	0.030464089851937652	2*x1*(-0.485*x1 - x2 + 1.485)	x2*(-0.993*x1 - 0.991*x2 + 1.981)	90	dso	allonger	lv	inf	3
5	71	20	122	0.7833716012146539	0.7833716012146539	x1*(-1.598*x1 - x2 + 1.939)	x2*(-0.993*x1 - 0.993*x2 + 1.986)	71	dso	allonger	lv	inf	3
3	19	13	57	1.1671187855656906	1.1671187855656906	-1.287*x1*x2	-x1*x2 - x2 + 2.057	19	dso	allonger	lv	inf	3
1	2	12	54	1.2024539113193955	1.2024539113193955	-2.096*x1	-x1*x2 - x2 + 2.057	2	dso	allonger	lv	inf	3
4	34	10	66	2.0765230116191242	2.0765230116191242	x1*(4.34 - 3.425*x2)	-1.348*x1	34	dso	allonger	lv	inf	3
2	17	7	47	2.135587572338323	2.135587572338323	-1.287*x1*x2	-1.348*x1	17	dso	allonger	lv	inf	3
0	0	6	44	4.45477356272104	4.45477356272104	-2.096*x1	-1.348*x1	0	dso	allonger	lv	inf	3
