  complexity    length        TE    TE_inf  expr_x                                               expr_y                                                               index_column  method    exp_type    data_version    system      snr    init
           7        10  2.90489   2.90489   -1.142*x*y                                           -1.465*x                                                                        0  proged    numdif      all             lv          inf       3
           9        13  2.35037   2.35037   -1.142*x*y                                           -0.928*x**2                                                                     1  proged    numdif      all             lv          inf       3
          24        50  0.224005  0.224005  -0.438*x*y - 1.794*x - 2.032*y + 3.987               0.197*x*y - 2.484*x - 2.232*y + 4.441                                           2  proged    numdif      all             lv          inf       3
          20        41  0.271404  0.271404  -0.438*x*y - 1.794*x - 2.032*y + 3.987               -2.023*x - 2.017*y + 4.025                                                      3  proged    numdif      all             lv          inf       3
           6         8  3.34084   3.34084   -2.223*x                                             -1.465*x                                                                        4  proged    numdif      all             lv          inf       3
          10        16  1.06485   1.06485   -2.223*x                                             0.126 - 0.96*x**2                                                               5  proged    numdif      all             lv          inf       3
          16        32  0.410159  0.410159  -2.818*x - 2.509*y + 4.911                           -2.023*x - 2.017*y + 4.025                                                      6  proged    numdif      all             lv          inf       3
          13        23  0.579683  0.579683  -1.324*x**2                                          -2.023*x - 2.017*y + 4.025                                                      7  proged    numdif      all             lv          inf       3
          12        19  0.876227  0.876227  -1.324*x**2                                          0.126 - 0.96*x**2                                                               8  proged    numdif      all             lv          inf       3
          30        60  0.165469  0.165469  -1.142*x**3 - 1.764*y - 1.089*y/(y - 3.138) + 1.616  0.197*x*y - 2.484*x - 2.232*y + 4.441                                           9  proged    numdif      all             lv          inf       3
          26        51  0.176134  0.176134  -1.142*x**3 - 1.764*y - 1.089*y/(y - 3.138) + 1.616  -2.023*x - 2.017*y + 4.025                                                     10  proged    numdif      all             lv          inf       3
          31        61  0.158356  0.158356  -1.142*x**3 - 1.764*y - 1.089*y/(y - 3.138) + 1.616  0.006*x**5 - 2.264*x - 2.316*y + 4.607                                         11  proged    numdif      all             lv          inf       3
          43        83  0.152334  0.152334  -1.142*x**3 - 1.764*y - 1.089*y/(y - 3.138) + 1.616  -4.435*x**2*y/(x + 4.69) - 0.03*x*y/(x - 3.031) - 0.701*y + 1.408              12  proged    numdif      all             lv          inf       3
          40        79  0.154402  0.154402  -1.142*x**3 - 1.764*y - 1.089*y/(y - 3.138) + 1.616  -0.693*x**2*y - 0.728*x - 1.205*x/(x - 3.256) - 0.865*y + 1.739                13  proged    numdif      all             lv          inf       3
