	complexity	length	TE	TE_inf	expr_x	expr_y	index_column	method	exp_type	data_version	system	snr	init
0	9	13	0.929659106033095	0.7546545978623773	-0.93*x*y	-4.556*x**2	0	proged	numdif	all	lv	30	0
1	7	10	2.391681017848497	2.469987780863454	-2.217*x	-1.274*x*y	1	proged	numdif	all	lv	30	0
2	6	8	2.8013170018370643	2.93055926215182	-2.217*x	-2.99*x	2	proged	numdif	all	lv	30	0
3	8	11	1.0278699754611595	0.8587311039162862	-2.217*x	-4.556*x**2	3	proged	numdif	all	lv	30	0
4	10	16	0.8661244295687025	0.7173534934970809	-2.217*x	0.022 - 4.599*x**2	4	proged	numdif	all	lv	30	0
5	12	22	0.8063435198808673	0.6578469265305831	-2.217*x	-1.122*x*y - 0.977*y + 2.005	5	proged	numdif	all	lv	30	0
6	13	21	0.7012657846350288	0.4673941536667994	-0.359*x*y**2	0.022 - 4.599*x**2	6	proged	numdif	all	lv	30	0
7	15	27	0.5977717625653943	0.4185027943375452	-0.359*x*y**2	-1.122*x*y - 0.977*y + 2.005	7	proged	numdif	all	lv	30	0
8	17	31	0.5871272051769858	0.4039689460776005	-1.722*x*y + 1.991*x	-1.122*x*y - 0.977*y + 2.005	8	proged	numdif	all	lv	30	0
9	18	32	0.5723549607949293	0.3518318077558255	-2.368*x**2 - 0.684*x	-1.122*x*y - 0.977*y + 2.005	9	proged	numdif	all	lv	30	0
