  complexity    length          TE      TE_inf  expr_x                                                     expr_y                                                     index_column  method    exp_type    data_version    system      snr    init
           9        13  2.85035     2.85035     -5.0*y**2                                                  -0.495*x*y                                                            0  proged    numdif      allonger        lv          inf       1
           8        11  4.71885     4.71885     -5.0*y**2                                                  -1.254*y                                                              1  proged    numdif      allonger        lv          inf       1
          13        20  1.54615     1.54615     -5.0*y**2                                                  -1.374*x*y + 2.466*y                                                  2  proged    numdif      allonger        lv          inf       1
           7        10  5.4681      5.4681      -3.119*y                                                   -0.495*x*y                                                            3  proged    numdif      allonger        lv          inf       1
           6         8  6.97099     6.97099     -3.119*y                                                   -1.254*y                                                              4  proged    numdif      allonger        lv          inf       1
          15        27  0.532377    0.532377    -0.108*x**3 - 1.993*x*y + 2.926                            -0.495*x*y                                                            5  proged    numdif      allonger        lv          inf       1
          23        46  0.0170678   0.0170678   -0.108*x**3 - 1.993*x*y + 2.926                            -0.952*x*y - 0.216*x + 1.096*y + 0.65                                 6  proged    numdif      allonger        lv          inf       1
          14        25  0.570576    0.570576    -0.108*x**3 - 1.993*x*y + 2.926                            -1.254*y                                                              7  proged    numdif      allonger        lv          inf       1
          22        42  0.04511     0.04511     -0.108*x**3 - 1.993*x*y + 2.926                            -0.186*x**2*y - 0.155*x + 0.466                                       8  proged    numdif      allonger        lv          inf       1
          20        39  0.101523    0.101523    -0.108*x**3 - 1.993*x*y + 2.926                            -0.602*x*y - 0.359*x + 1.075                                          9  proged    numdif      allonger        lv          inf       1
          24        43  0.0120848   0.0120848   -0.108*x**3 - 1.993*x*y + 2.926                            -1.077*x*y + 3.235*y/(y + 1.428)                                     10  proged    numdif      allonger        lv          inf       1
          19        34  0.150321    0.150321    -3.995*x*y**2 + 3.232*y                                    -0.602*x*y - 0.359*x + 1.075                                         11  proged    numdif      allonger        lv          inf       1
          31        63  0.00530247  0.00530247  -0.92*x**2 - 2.002*x*y + 2.569*x + 0.573                   -0.974*x*y - 0.048*x - 0.793*y**2 + 1.767*y + 0.145                  12  proged    numdif      allonger        lv          inf       1
          27        50  0.00816415  0.00816415  -0.92*x**2 - 2.002*x*y + 2.569*x + 0.573                   -1.077*x*y + 3.235*y/(y + 1.428)                                     13  proged    numdif      allonger        lv          inf       1
          34        70  0.00328024  0.00328024  -0.928*x**2 - 1.941*x*y + 2.592*x - 0.189*y + 0.58         -0.974*x*y - 0.048*x - 0.793*y**2 + 1.767*y + 0.145                  14  proged    numdif      allonger        lv          inf       1
          30        57  0.0063463   0.0063463   -0.928*x**2 - 1.941*x*y + 2.592*x - 0.189*y + 0.58         -1.077*x*y + 3.235*y/(y + 1.428)                                     15  proged    numdif      allonger        lv          inf       1
          55       111  0.00317205  0.00317205  0.048*x**2*y**2 - 1.037*x**2 - 2.112*x*y + 3.115*x - 0.01  -0.997*x*y - 1.122*y**2 + 2.589*y - 2.506*y/(y + 4.184)              16  proged    numdif      allonger        lv          inf       1
