  complexity    length         TE     TE_inf  expr_x                                                             expr_y                                                            index_column  method    exp_type    data_version    system      snr    init
          15        27  0.827799   0.827799   -0.543*x**2 - 2.316*x*y + 4.879                                    -0.821*x*y                                                                   0  proged    numdif      allonger        lv          inf       2
          23        46  0.100891   0.100891   -0.543*x**2 - 2.316*x*y + 4.879                                    -1.064*x*y - 0.218*x + 1.343*y + 0.656                                       1  proged    numdif      allonger        lv          inf       2
          22        42  0.127312   0.127312   -0.543*x**2 - 2.316*x*y + 4.879                                    -0.085*x**2 - 0.658*x*y + 0.76                                               2  proged    numdif      allonger        lv          inf       2
          20        39  0.212058   0.212058   -0.543*x**2 - 2.316*x*y + 4.879                                    -1.243*x*y + 2.027*y + 0.009                                                 3  proged    numdif      allonger        lv          inf       2
          19        34  0.220192   0.220192   -0.543*x**2 - 2.316*x*y + 4.879                                    -1.247*x*y + 2.059*y                                                         4  proged    numdif      allonger        lv          inf       2
           6         8  5.73456    5.73456    -5.0*y                                                             -2.878*y                                                                     5  proged    numdif      allonger        lv          inf       2
          10        15  2.45738    2.45738    -2.354*x*y**2                                                      -0.821*x*y                                                                   6  proged    numdif      allonger        lv          inf       2
          12        20  1.64358    1.64358    -2.361*x*y**2 + 0.082                                              -0.821*x*y                                                                   7  proged    numdif      allonger        lv          inf       2
          11        18  2.45094    2.45094    -2.361*x*y**2 + 0.082                                              -2.878*y                                                                     8  proged    numdif      allonger        lv          inf       2
          14        25  0.935331   0.935331   -0.134*x**3 - 5.0*y + 3.537                                        -0.821*x*y                                                                   9  proged    numdif      allonger        lv          inf       2
          13        23  0.987019   0.987019   -0.134*x**3 - 5.0*y + 3.537                                        -2.878*y                                                                    10  proged    numdif      allonger        lv          inf       2
          18        32  0.500282   0.500282   -0.134*x**3 - 5.0*y + 3.537                                        -1.247*x*y + 2.059*y                                                        11  proged    numdif      allonger        lv          inf       2
          26        53  0.0344244  0.0344244  -0.813*x**2 - 2.106*x*y + 1.847*x + 1.776                          -1.064*x*y - 0.218*x + 1.343*y + 0.656                                      12  proged    numdif      allonger        lv          inf       2
           9        13  3.68524    3.68524    -5.0*y**4                                                          -0.821*x*y                                                                  13  proged    numdif      allonger        lv          inf       2
          35        71  0.0300401  0.0300401  -0.113*x**3 - 2.087*x*y - 0.317*x*y/(y - 2.212) - 0.427*y + 3.063  -1.064*x*y - 0.218*x + 1.343*y + 0.656                                      14  proged    numdif      allonger        lv          inf       2
          45        90  0.0128981  0.0128981  -0.113*x**3 - 2.087*x*y - 0.317*x*y/(y - 2.212) - 0.427*y + 3.063  -0.163*x**2*y - 0.412*x - 1.937*y - 2.66*y/(y - 2.438) + 1.236              15  proged    numdif      allonger        lv          inf       2
