	complexity	length	TE	TE_inf	expr_x	expr_y	index_column	method	exp_type	data_version	system	snr	init
0	9	13	2.8503502890315766	2.8503502890315766	-5.0*y**2	-0.495*x*y	0	proged	numdif	allonger	lv	inf	1
1	8	11	4.718845832521545	4.718845832521545	-5.0*y**2	-1.254*y	1	proged	numdif	allonger	lv	inf	1
2	13	20	1.5461515695224273	1.5461515695224273	-5.0*y**2	-1.374*x*y + 2.466*y	2	proged	numdif	allonger	lv	inf	1
3	7	10	5.468098269718048	5.468098269718048	-3.119*y	-0.495*x*y	3	proged	numdif	allonger	lv	inf	1
4	6	8	6.970985691491256	6.970985691491256	-3.119*y	-1.254*y	4	proged	numdif	allonger	lv	inf	1
5	15	27	0.5323766101514228	0.5323766101514228	-0.108*x**3 - 1.993*x*y + 2.926	-0.495*x*y	5	proged	numdif	allonger	lv	inf	1
6	23	46	0.01706782858812874	0.01706782858812874	-0.108*x**3 - 1.993*x*y + 2.926	-0.952*x*y - 0.216*x + 1.096*y + 0.65	6	proged	numdif	allonger	lv	inf	1
7	14	25	0.570575894240414	0.570575894240414	-0.108*x**3 - 1.993*x*y + 2.926	-1.254*y	7	proged	numdif	allonger	lv	inf	1
8	22	42	0.045110021856320584	0.045110021856320584	-0.108*x**3 - 1.993*x*y + 2.926	-0.186*x**2*y - 0.155*x + 0.466	8	proged	numdif	allonger	lv	inf	1
9	20	39	0.1015227610748019	0.1015227610748019	-0.108*x**3 - 1.993*x*y + 2.926	-0.602*x*y - 0.359*x + 1.075	9	proged	numdif	allonger	lv	inf	1
10	24	43	0.012084750871246433	0.012084750871246433	-0.108*x**3 - 1.993*x*y + 2.926	-1.077*x*y + 3.235*y/(y + 1.428)	10	proged	numdif	allonger	lv	inf	1
11	19	34	0.15032101133076686	0.15032101133076686	-3.995*x*y**2 + 3.232*y	-0.602*x*y - 0.359*x + 1.075	11	proged	numdif	allonger	lv	inf	1
12	31	63	0.0053024725580848135	0.0053024725580848135	-0.92*x**2 - 2.002*x*y + 2.569*x + 0.573	-0.974*x*y - 0.048*x - 0.793*y**2 + 1.767*y + 0.145	12	proged	numdif	allonger	lv	inf	1
13	27	50	0.008164150388019832	0.008164150388019832	-0.92*x**2 - 2.002*x*y + 2.569*x + 0.573	-1.077*x*y + 3.235*y/(y + 1.428)	13	proged	numdif	allonger	lv	inf	1
14	34	70	0.0032802448065831725	0.0032802448065831725	-0.928*x**2 - 1.941*x*y + 2.592*x - 0.189*y + 0.58	-0.974*x*y - 0.048*x - 0.793*y**2 + 1.767*y + 0.145	14	proged	numdif	allonger	lv	inf	1
15	30	57	0.0063463034670221226	0.0063463034670221226	-0.928*x**2 - 1.941*x*y + 2.592*x - 0.189*y + 0.58	-1.077*x*y + 3.235*y/(y + 1.428)	15	proged	numdif	allonger	lv	inf	1
16	55	111	0.0031720529809275777	0.0031720529809275777	0.048*x**2*y**2 - 1.037*x**2 - 2.112*x*y + 3.115*x - 0.01	-0.997*x*y - 1.122*y**2 + 2.589*y - 2.506*y/(y + 4.184)	16	proged	numdif	allonger	lv	inf	1
